Name,Handle,Timestamp,Content
Alparslan Bayraktar,@aBayraktar1,2024-01-25T12:00:16.000Z,"Bugün itibarıyla lisanssız yenilenebilir yatırımları için 7 bin 500 megavatlık ilave kapasiteyi ilan ediyoruz.

Aynı tüketim noktası ve şehirdeki yatırımcılara belli bir kapasiteye kadar öncelik verilecek. Özellikle sanayicilerimiz, başta güneş ve rüzgar olmak üzere yenilenebilir…"
Alparslan Bayraktar,@aBayraktar1,2024-01-25T12:00:16.000Z,"Bugün itibarıyla lisanssız yenilenebilir yatırımları için 7 bin 500 megavatlık ilave kapasiteyi ilan ediyoruz.

Aynı tüketim noktası ve şehirdeki yatırımcılara belli bir kapasiteye kadar öncelik verilecek. Özellikle sanayicilerimiz, başta güneş ve rüzgar olmak üzere yenilenebilir…"
Alparslan Bayraktar,@aBayraktar1,2024-01-24T17:09:39.000Z,"Cumhurbaşkanımız Sayın  ve İran Cumhurbaşkanı Sayın İbrahim Reisi’nin katılımı ile Cumhurbaşkanlığı Külliyesi’nde düzenlenen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi Sekizinci Toplantısı’na iştirak ettik. 

Toplantı sonrasında Bakanlığımız ile İran Petrol…"
Alparslan Bayraktar,@aBayraktar1,2024-01-24T11:43:37.000Z,Cumhurbaşkanımız ve Genel Başkanımız Sayın ‘ın liderliğinde Ankara'yı yeniden eser siyaseti ile buluşturmak için #HazırızKararlıyızAnkara Büyükşehir Belediye Başkan Adayımız Sayın  başta olmak üzere tüm ilçe belediye başkan adaylarımızla Başkentimizi…
Alparslan Bayraktar,@aBayraktar1,2024-01-24T09:59:40.000Z,"Hollanda Büyükelçisi Sayın Joep Wijnands’ı Bakanlığımızda kabul ettik.

İki ülke arasındaki mevcut enerji iş birliklerini değerlendirerek özellikle yeşil enerji dönüşümü kapsamında ortak çalışma imkanlarını ele aldık."
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-25T11:33:50.000Z,"Adalet Bakanımız Sayın Yılmaz Tunç, ‘Yeni Anayasa Genel Değerlendirme Çalıştayı’na katıldı. https://adalet.gov.tr/adalet-bakani-yilmaz-tunc-yeni-anayasa-genel-degerlendirme-calistayi-nda-konustu…"
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-25T08:03:54.000Z,"#Canlı Yayın Adalet Bakanımız Sayın Yılmaz Tunç, Yeni Anayasa Genel Değerlendirme Çalıştayı'nda konuşuyor."
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-24T13:18:16.000Z,"Adalet Bakanımız Sayın Yılmaz Tunç, İstanbul Beykent Üniversitesi Start-Up Hukuk Kulübü, Beykent Hukuk Kulübü ve Uluslararası Hukuk Kulübü öğrencilerini, Bakanlığımızda kabul etti."
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-25T11:33:50.000Z,"Adalet Bakanımız Sayın Yılmaz Tunç, ‘Yeni Anayasa Genel Değerlendirme Çalıştayı’na katıldı. https://adalet.gov.tr/adalet-bakani-yilmaz-tunc-yeni-anayasa-genel-degerlendirme-calistayi-nda-konustu…"
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-23T11:59:09.000Z,"#Canlı Yayın Adalet Bakanımız Sayın Yılmaz Tunç, 'Ombudsman Bartınlılarla Buluşuyor' toplantısında konuşuyor.#Bartın"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T16:18:18.000Z,"Mezun olduğum Karadeniz Teknik Üniversitesi'nde ""#UFEST KTÜ’den Başarı Hikayeleri Programı""na katıldık.

Dünümü, bugünümü ve yarınımı gençlerimizle paylaştım.

Ulaşımdan haberleşmeye mega projelerden gelecek için tasarladığımız eserlere kadar birçok konuyu konuştuk.UFEST,…"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T14:26:27.000Z,Ulaşımın her modunun neşe ve keyifle birleştiği yegâne yer; #UFEST'teydik!Eğlencenin ulaştıran yüzü olan festival aracılığıyla Trabzon'da Türkiye Yüzyılı'nın aydınlık gençleriyle buluştuk. #BakanKampüste#TürkiyeHızlanıyor 
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T13:06:33.000Z,"AK Parti Trabzon İl Başkanlığı'nda dava arkadaşlarımızla bir araya geldik.

Trabzon için hep birlikte çalışmaya devam edeceğiz.#TürkiyeHızlanıyor Trabzon"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T12:18:22.000Z,Ortahisar'dan başlayarak Meydan'da biten bir şehir turu attık.Trabzon
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T10:29:15.000Z,"Trabzon Valiliğini ziyaret ederek Valimiz Sayın Aziz Yıldırım ile makamında bir araya geldik.

Karadeniz'in incisi şehrimizin ihtiyaçları hakkında kendisinden bilgi aldık.

Trabzon'umuz, Türkiye Yüzyılı’nın öncü şehri olmaya devam edecek.Trabzon"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T16:18:18.000Z,"Mezun olduğum Karadeniz Teknik Üniversitesi'nde ""#UFEST KTÜ’den Başarı Hikayeleri Programı""na katıldık.

Dünümü, bugünümü ve yarınımı gençlerimizle paylaştım.

Ulaşımdan haberleşmeye mega projelerden gelecek için tasarladığımız eserlere kadar birçok konuyu konuştuk.UFEST,…"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T10:04:41.000Z,"Karadeniz'in en mavisi Trabzon'umuzu daha çevreci, daha erişilebilir bir şehir haline getirmek ve ulaşım ağını daha fonksiyonel kılmak amacıyla tasarlanan ""Trabzon Sürdürülebilir Kentsel Ulaşım Planı Projesi Açılış Töreni""ni gerçekleştirdik. Yenilenebilir, temiz,…"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T08:09:25.000Z,#Canlı |  Trabzon Sürdürülebilir Kentsel Ulaşım Planı Projesi Açılış Töreni | Trabzon
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T08:01:32.000Z,Karadeniz'in bordo mavisi#Trabzon'dayız.
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T06:00:49.000Z,"Ülkemizi kesintisiz, yerli ve millî raylı sistem ağlarıyla donatıyor; Türkiye’nin en derin metro istasyonu ""Gayrettepe - Kağıthane Metro Hattı"" ile metrobüsü ve ulaşımın tüm modlarını İstanbul Havalimanı'na kesintisiz bağlıyoruz! ""Gayrettepe – Kağıthane Metro Hattı’’…"
"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-01-24T20:06:21.000Z,"Yarıyıl etkinliklerimiz devam ediyor…

Deprem bölgesini şehir şehir dolaşıyor, çocuklarımızla kucaklaşıyoruz "
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2023-06-08T15:58:37.000Z,DUYURU !
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T18:00:30.000Z," Türkiye Yüzyılı’nın Emektarları Çalıştayı

SSK ve Bağ-Kur emekli aylıklarının zam oranları Resmî Gazete’de yayımlandıktan sonra oluşan aylık farklar, yaklaşık bir hafta içerisinde emekli vatandaşlarımızın hesabına yatırılacak.#EmeklilerYılı"
