,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Mehmet Simsek,@memetsimsek,2024-02-02T20:23:39.000Z,1.0,"The decision made by the former President of the Central Bank, Mrs. Hafize Gaye Erkan, is entirely personal and at her own discretion. We respect her decision and are grateful for her service.

The new Governor, who is a well respected macroeconomist with an extraordinary depth of knowledge and expertise, will be appointed in line with my recommendation.

Under the leadership of President Recep Tayyip Erdoğan, our economic program continues seamlessly and with a strong determination. 

The support and confidence of President Erdoğan in our economic team and the program are unwavering.

As a team, we are committed to implementing our disinflation program and take necessary steps to achieve price stability.",1.1K,1.2K,8K,1.8M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1753514539260248516,tweet_id:1753514539260248516,,0.0,
1,T.C. Hazine ve Maliye Bakanlığı,@HMBakanligi,2024-02-02T19:07:20.000Z,1.0,Hazine ve Maliye Bakanımız Sayın Mehmet ŞİMŞEK'in (  ) Basın Açıklaması - 02.02.2024https://hmb.gov.tr/haberler/basin-aciklamasi-11…,1K,1.8K,5.9K,3.5M,[],['@memetsimsek'],[],https://pbs.twimg.com/profile_images/1664923864915165187/ai28hVH2_normal.jpg,https://twitter.com/HMBakanligi/status/1753495335341613452,tweet_id:1753495335341613452,https://pbs.twimg.com/media/GFWqrivW0AE2b_X?format=jpg&name=small,1.0,
2,Mehmet Simsek,@memetsimsek,2024-02-02T13:12:30.000Z,1.0,"Ocak ayı verileri dış ticaret açığındaki gerilemenin sürdüğünü, Programın çalıştığını teyit ediyor.

Geçen yıl Mayıs ayında 122,2 milyar dolara ulaşan yıllık dış ticaret açığı 24,3 milyar dolar iyileşerek Ocak’ta 97,9 milyar dolara geriledi.",459,257,2.1K,264K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1753406035803455699,tweet_id:1753406035803455699,https://pbs.twimg.com/media/GFVZfsmXgAAJFcn?format=jpg&name=small,2.0,0.0
3,Mehmet Simsek,@memetsimsek,2024-02-02T08:01:32.000Z,1.0,"Sevgili Gençler, 
Geleceğinizi karartmayın. 

Banka hesaplarınızı kimseye kullandırmayın. Böylece kazara yasa dışı faaliyetlere ortak olmayın.",1.2K,727,5.1K,1M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1753327778001301803,tweet_id:1753327778001301803,https://pbs.twimg.com/media/GFUGrgAWkAAU9dV?format=jpg&name=small,3.0,1.0
4,Mehmet Simsek,@memetsimsek,2024-01-31T11:23:12.000Z,1.0,,758,319,2.4K,419K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1752653755672035637,tweet_id:1752653755672035637,,4.0,2.0
5,Mehmet Simsek,@memetsimsek,2024-02-02T13:12:30.000Z,1.0,"Ocak ayı verileri dış ticaret açığındaki gerilemenin sürdüğünü, Programın çalıştığını teyit ediyor.

Geçen yıl Mayıs ayında 122,2 milyar dolara ulaşan yıllık dış ticaret açığı 24,3 milyar dolar iyileşerek Ocak’ta 97,9 milyar dolara geriledi.",459,257,2.1K,264K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1753406035803455699,tweet_id:1753406035803455699,https://pbs.twimg.com/media/GFVZfsmXgAAJFcn?format=jpg&name=small,5.0,3.0
6,Mehmet Simsek,@memetsimsek,2024-01-31T09:32:11.000Z,1.0,,1.5K,505,4.7K,788K,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1752625814422667512,tweet_id:1752625814422667512,,6.0,4.0
7,Mehmet Simsek,@memetsimsek,2024-01-27T08:41:21.000Z,1.0,,1.9K,747,6.7K,2.8M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1751163473650655508,tweet_id:1751163473650655508,https://pbs.twimg.com/media/GE1MtnAW8AA6n5J?format=jpg&name=small,7.0,5.0
8,Mehmet Simsek,@memetsimsek,2024-01-26T11:17:07.000Z,1.0,,1.1K,1.2K,7K,1.5M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1750840282654867734,tweet_id:1750840282654867734,https://pbs.twimg.com/media/GEw79HaX0AA1XUR?format=jpg&name=small,8.0,6.0
9,Mehmet Simsek,@memetsimsek,2024-01-23T08:47:34.000Z,1.0,"Orta Vadeli Program’da taahhüt ettiğimiz Kamu İktisadi Teşebbüsleri (KİT) reformunun ilk aşamasını hayata geçirmek için çalışmalarımızı tamamladık. 

KİT’lerin daha etkin ve verimli çalışmasını sağlayarak ekonomimize katkılarını artıracağız.",23K,1K,4.6K,1.2M,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1749715486231683476,tweet_id:1749715486231683476,https://pbs.twimg.com/media/GEgs4OfWEAAmVJN?format=jpg&name=small,9.0,7.0
