,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-02-03T11:34:11.000Z,1.0,"Irak’ın kuzeyindeki harekât bölgesinde şehit olan Mehmetçiğimiz Piyade Uzman Çavuş Kadir Dingil'e Allah’tan rahmet, ailesine sabır diliyorum.

Milletimizin başı sağ olsun. ",12,55,231,10K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1753743681130029503,tweet_id:1753743681130029503,,,
1,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-02-02T17:22:49.000Z,1.0,,38.0,27.0,146.0,5.2K,[],['@EmineErdogan'],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1753469032009764867,tweet_id:1753469032009764867,https://pbs.twimg.com/media/GFWSyUdXcAAdndb?format=jpg&name=360x360,0.0,0.0
2,Emine Erdoğan,@EmineErdogan,2024-02-02T17:11:03.000Z,1.0,,37.0,173.0,541.0,9K,[],[],[],https://pbs.twimg.com/profile_images/1550500280994775041/7KOMZ5Ru_normal.jpg,https://twitter.com/EmineErdogan/status/1753466067706347558,tweet_id:1753466067706347558,https://pbs.twimg.com/media/GFWQFyAWUAAOG5K?format=jpg&name=360x360,1.0,1.0
3,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-02-02T16:42:13.000Z,1.0,,136.0,170.0,512.0,37K,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1753458813720481900,tweet_id:1753458813720481900,,2.0,2.0
4,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-02-02T13:57:53.000Z,1.0,,14.0,38.0,151.0,7.8K,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1753417459346898998,tweet_id:1753417459346898998,https://pbs.twimg.com/media/GFVj2ImWMAEIzh9?format=jpg&name=360x360,3.0,3.0
5,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-02-02T15:23:28.000Z,1.0,,19.0,48.0,160.0,9.7K,[],[],[],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1753438993788678173,tweet_id:1753438993788678173,https://pbs.twimg.com/media/GFV3bZFWgAEC5lI?format=jpg&name=360x360,4.0,4.0
6,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-02-02T14:25:45.000Z,1.0,,41.0,102.0,386.0,9.4K,[],['@abdullahozdemir'],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1753424469840761223,tweet_id:1753424469840761223,https://pbs.twimg.com/media/GFVqQgxWsAAZrep?format=jpg&name=360x360,5.0,5.0
7,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-02-02T11:40:02.000Z,1.0,,41.0,127.0,837.0,24K,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1753382766647943495,tweet_id:1753382766647943495,https://pbs.twimg.com/media/GFVEVKmXkAAgAQa?format=jpg&name=small,6.0,6.0
8,Anadolu Ajansı,@anadoluajansi,2024-01-31T11:48:48.000Z,1.0,"Aile ve Sosyal Hizmetler Bakanı Göktaş, AA ""Yılın Kareleri"" oylamasına katıldı

❝Gazze'de Anadolu Ajansı önemli çalışmalar yaptı. Yaşanan katliamları dünyaya duyurdu. Bu fotoğraf orada yaşanan katliamın bir soykırım olduğunu gösteriyor❞ http://yilinkareleri.aa.com.tr",37.0,54.0,259.0,35K,[],[],['\\U0001f449\\U0001f3fb'],https://pbs.twimg.com/profile_images/1664695988626378753/N_5Q_Qrk_normal.jpg,https://twitter.com/anadoluajansi/status/1752660195711299814,tweet_id:1752660195711299814,https://pbs.twimg.com/ext_tw_video_thumb/1752660057404194816/pu/img/024h-hjfykoY4iqA.jpg,7.0,7.0
9,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-31T16:37:51.000Z,1.0,,46.0,89.0,452.0,11K,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1752732939136246245,tweet_id:1752732939136246245,https://pbs.twimg.com/media/GFL1UIeWQAAEiDL?format=jpg&name=360x360,8.0,8.0
10,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-31T15:19:13.000Z,1.0,"Birleşmiş Milletler Mülteciler Yüksek Komiserliği (UNHCR) Türkiye Temsilcisi Sn. Angela Li Rosi ve beraberindeki heyet ile Bakanlığımızda bir görüşme gerçekleştirdik.

Görüşmede Bakanlığımız ve UNHCR arasındaki kapsamlı iş birliğini sürdürmeye yönelik değerlendirmelerde bulunduk.",44.0,131.0,565.0,15K,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1752713150103761401,tweet_id:1752713150103761401,https://pbs.twimg.com/media/GFLjUSiWwAAxIYe?format=jpg&name=small,9.0,9.0
