,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-02-03T11:59:19.000Z,1.0,"Yeri dolmayacak bir aydınımızla daha bugün vedalaştık.

Türkiye sevdalısı, ilim meşalesi #AlevAlatlı'yı Eyüp Sultan Camii'nde kılınan cenaze namazının ardından ebediyete uğurladık.

Allah rahmet eylesin.

Mekânı cennet olsun.",2,26,135,3.9K,['#AlevAlatlı'],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1753750009013534770,tweet_id:1753750009013534770,https://pbs.twimg.com/media/GFaSU98WEAAMeOZ?format=jpg&name=360x360,,
1,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-02-02T11:17:42.000Z,1.0,,2.0,29.0,167.0,6.1K,['#AlevAlatlı'],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1753377146632818720,tweet_id:1753377146632818720,https://pbs.twimg.com/media/GFU_ORMW8AAcGQ2?format=jpg&name=small,0.0,0.0
2,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-02-02T09:21:23.000Z,1.0,,2.0,39.0,179.0,5.8K,"['#ABD', '#İngiltere']",[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1753347875281473866,tweet_id:1753347875281473866,https://pbs.twimg.com/media/GFUklxDXQAEljLx?format=jpg&name=360x360,1.0,1.0
3,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-02-02T07:44:22.000Z,1.0,"Kültür varlığı kaçakçılığı ile sürdürdüğümüz mücadele hız kesmeden devam ediyor.

 #ABD’den ve #İngiltere’den iadesini sağladığımız 42 eserimizin tanıtımını gerçekleştiriyoruz.
 #Canlı  Antalya Arkeoloji Müzesi",4.0,48.0,174.0,5.5K,"['#ABD', '#İngiltere', '#Canlı']",[],"['\\U0001f4e1', '\\U0001f4cd']",https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1753323460707713353,tweet_id:1753323460707713353,,2.0,2.0
4,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-02-01T07:00:30.000Z,1.0,"Ülkemizin 2023 yılı turizm verilerini, gelecek turizm hedeflerimizi ve Bakanlığımızın çalışmalarını  ekranlarında anlatıyoruz.",34.0,85.0,240.0,17K,[],['@BloombergHT'],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1752950033828413466,tweet_id:1752950033828413466,,3.0,3.0
5,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-31T12:36:57.000Z,1.0,,19.0,70.0,260.0,13K,[],[],['\\U0001f3c6'],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1752672313902809366,tweet_id:1752672313902809366,https://pbs.twimg.com/media/GFK-KzUXMAAgrt1?format=jpg&name=360x360,4.0,4.0
6,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-31T12:30:35.000Z,1.0,"Ülkemizi ziyaret eden turistlerin otel dışına çıkmasını sağlayabilmek, sezonu uzatarak 12 aya yayabilmek ve tüm şehirlerimizi turistle buluşturabilmek üzere #GeceMüzeciliği'ni başlattık.",14.0,57.0,297.0,18K,['#GeceMüzeciliği'],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1752670713545101542,tweet_id:1752670713545101542,https://pbs.twimg.com/ext_tw_video_thumb/1752670564127322113/pu/img/_uh8oqYsLRje5O_m.jpg,5.0,5.0
7,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-31T10:57:19.000Z,1.0,"Turizmde yeni rekorlara imza atacağız...

2024 yılında 60 milyon ziyaretçi, 60 milyar dolar turizm geliri hedefliyoruz.",27.0,71.0,283.0,11K,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1752647241414680901,tweet_id:1752647241414680901,https://pbs.twimg.com/ext_tw_video_thumb/1752647117636517888/pu/img/9_9PQJEkrnqOq9vX.jpg,6.0,6.0
8,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-31T10:07:15.000Z,1.0,"Turizmde rekor yılı

2023 yılında en çok ziyaretçi ağırladığımız ülkeler sırasıyla Rusya Federasyonu, Almanya ve İngiltere (Birleşik Krallık) oldu.",14.0,66.0,288.0,13K,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1752634641146585520,tweet_id:1752634641146585520,https://pbs.twimg.com/ext_tw_video_thumb/1752634536704290816/pu/img/lk4h0a2u7coZZr50.jpg,7.0,7.0
9,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-31T08:44:48.000Z,1.0,1 Şubat Perşembe günü saat 10.00'da Bloomberg HT’nin canlı yayın konuğu olacağım.,21.0,93.0,307.0,20K,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1752613890997817689,tweet_id:1752613890997817689,https://pbs.twimg.com/media/GFKJCqqX0AAxQEk?format=jpg&name=small,8.0,8.0
