,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,Numan Kurtulmuş,@NumanKurtulmus,2024-02-03T12:13:27.000Z,1.0,"Irak'ın kuzeyinde gerçekleşen hain terör saldırısı sonucu şehid olan kahraman Mehmetçiğimiz Piyade Uzman Çavuş Kadir Dingil’e Cenâb-ı Allah’tan rahmet; ailesine ve yakınlarına sabır, yaralı askerlerimize de acil şifalar diliyorum.

Aziz milletimizin başı sağ olsun. ",8.0,29.0,147.0,13K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753753564587933921,tweet_id:1753753564587933921,,0.0,,
1,Numan Kurtulmuş,@NumanKurtulmus,2024-02-03T11:43:22.000Z,1.0,"Dâr-ı bekâya irtihal eden kıymetli mütefekkir Alev Alatlı Hanımefendi'yi dualarla Hakk'a uğurladık. 

Bilge tavrı ve kıymetli eserleriyle hafızalarımızda ve yüreğimizde yeri bakidir. 

Mekânı cennet, makamı âlî olsun.",15.0,34.0,283.0,10K,[],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753745993525284995,tweet_id:1753745993525284995,https://pbs.twimg.com/media/GFaOqDMWcAA5qJO?format=jpg&name=small,1.0,,
2,Numan Kurtulmuş,@NumanKurtulmus,2024-02-02T11:30:16.000Z,1.0,"Türk düşünce dünyasının cesur ve sağduyulu bilgelerinden Alev Alatlı Hanımefendi'ye Allah'tan rahmet, ailesine, sevenlerine ve yakınlarına sabır diliyorum. 

Milletimizin başı sağ olsun.",43.0,80.0,525.0,15K,[],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753380309637165336,tweet_id:1753380309637165336,https://pbs.twimg.com/media/GFVCGYgXwAA35JL?format=jpg&name=small,2.0,0.0,0.0
3,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T18:42:49.000Z,1.0,"❝Bu tartışmaların bir tarafı olmak için değil; tartışmaların makul, hukuki, demokratik ve anayasal bir çerçevede çözülebilmesi için gayret sarf eden birisi olarak bunları paylaşmayı bir vazife telakki ediyorum.❞TFMD 2024 Yılın Basın Fotoğrafları Ödül Töreni",105.0,184.0,819.0,77K,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753126776501674167,tweet_id:1753126776501674167,https://pbs.twimg.com/ext_tw_video_thumb/1753126450364837888/pu/img/iF0sMOEXDc2Ic-Dy.jpg,3.0,1.0,1.0
4,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T18:40:36.000Z,1.0,"❝Başta uluslararası sistemin siyasi mekanizmaları olmak üzere, bu soykırım boyutlarına varan katliamları durduracak bir siyaset mekanizması bulunmuyor, ortada görünmüyor.❞TFMD 2024 Yılın Basın Fotoğrafları Ödül Töreni",38.0,42.0,253.0,14K,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753126216003887345,tweet_id:1753126216003887345,https://pbs.twimg.com/ext_tw_video_thumb/1753126029797871616/pu/img/CGMg6nSy06U_NETF.jpg,4.0,2.0,2.0
5,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T18:39:12.000Z,1.0,"❝Depremdeki bütün o acıların içerisinde bizim en çok gıptayla baktığımız husus, bu milletin yardımlaşma duygusuydu.❞TFMD 2024 Yılın Basın Fotoğrafları Ödül Töreni",37.0,53.0,367.0,16K,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753125867432108118,tweet_id:1753125867432108118,https://pbs.twimg.com/ext_tw_video_thumb/1753125561818341376/pu/img/fh7sdJIqJOg7w13t.jpg,5.0,3.0,3.0
6,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T18:20:29.000Z,1.0,"Türkiye Foto Muhabirleri Derneği’nin Gazi Meclisimizde düzenlediği “Yılın Basın Fotoğrafları 2024 Ödül Töreni ve Deprem Fotoğrafları Sergisi”ne katıldık.

Böylesine anlamlı bir etkinliğe katılarak eserleriyle tarihe not düşen tüm fotoğraf sanatçılarımıza teşekkür ediyorum. Başta dereceye giren foto muhabirleri olmak üzere hepimizin yüreğini yakan 6 Şubat ‘Asrın Felaketi’nde büyük bir özveriyle çalışan basın mensuplarımızı bir kez daha tebrik ediyorum.",51.0,53.0,323.0,13K,[],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753121154133336071,tweet_id:1753121154133336071,https://pbs.twimg.com/media/GFRWYXNWIAAppJx?format=jpg&name=360x360,6.0,4.0,4.0
7,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T16:33:15.000Z,1.0,#CANLIYAYIN  Türkiye Foto Muhabirleri Derneği tarafından düzenlenen Yılın Basın Fotoğrafları Ödül Töreni'ndeyiz,287.0,44.0,233.0,17K,['#CANLIYAYIN'],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753094169831289129,tweet_id:1753094169831289129,,7.0,5.0,5.0
8,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T13:55:40.000Z,1.0,"Gençlik ve Spor Bakanlığımızca düzenlenen Diplomat Akademi Kampı'nın kapanış dersinde Türkiye'nin farklı şehirlerinden gelen ve diplomasi alanında eğitim gören üniversiteli gençlerimizle 1. Meclis binasında bir araya geldik.

Millî Mücadele zaferini kazanan ve Cumhuriyetimizi ilan eden bu tarihi mekanda, Türkiye'ye ve dünyaya yol gösterecek genç kardeşlerimizi ağırlamaktan mutluluk duydum.

Sözü güçlü, gücü tesirli, kendi eksenini tayin eden Türkiye Yüzyılı hedefine inanmış, kenetlenmiş ve kararlı şekilde yürüyen; yeni bir dünya sistemini kuracak gençlerimize bu yolda başarılar diliyorum.",65.0,181.0,785.0,22K,[],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753054511864717789,tweet_id:1753054511864717789,https://pbs.twimg.com/media/GFQZxyfWcAAsnsM?format=jpg&name=small,8.0,6.0,6.0
9,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T11:17:13.000Z,1.0,"#CANLIYAYIN   Gençlik ve Spor Bakanlığı bünyesinde 1. Meclis'te gerçekleştirilen ""Diplomat Akademi Kampı Kapanış Dersi""nde gençlerimizle bir aradayız",109.0,120.0,481.0,23K,['#CANLIYAYIN'],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753014636046336143,tweet_id:1753014636046336143,,9.0,7.0,7.0
