,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Unnamed: 0
0,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-02T11:49:24.000Z,1.0,"Bu toprakların yetiştirdiği kıymetli mütefekkirlerden Alev Alatlı hocamıza Allah'tan rahmet, sevenlerine sabır dilerim. 

Milletimizin ve edebiyat camiasının başı sağ olsun…",0.0,0.0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753385123041464760,tweet_id:1753385123041464760,0.0
1,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-02T01:11:09.000Z,1.0,"︎︎ⓘ Alperen Şengün’ü onurlandırma tweetidir!

Şu an tüm basketbolseverlerin aynı şeyi düşündüğünü biliyorum… Bizi gururlandırmaya devam edeceksin kardeşim!",36.0,146.0,1.1K,70K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753224501221883948,tweet_id:1753224501221883948,1.0
2,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-02T01:11:09.000Z,1.0,"︎︎ⓘ Alperen Şengün’ü onurlandırma tweetidir!

Şu an tüm basketbolseverlerin aynı şeyi düşündüğünü biliyorum… Bizi gururlandırmaya devam edeceksin kardeşim!",36.0,146.0,1.1K,70K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753224501221883948,tweet_id:1753224501221883948,2.0
3,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-02T11:49:24.000Z,1.0,"Bu toprakların yetiştirdiği kıymetli mütefekkirlerden Alev Alatlı hocamıza Allah'tan rahmet, sevenlerine sabır dilerim. 

Milletimizin ve edebiyat camiasının başı sağ olsun…",0.0,0.0,0,0,[],[],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753385123041464760,tweet_id:1753385123041464760,3.0
4,Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-02-01T14:00:05.000Z,1.0,"Bizim illeri sensiz, bizim illeri sessiz bırakalı 25 yıl oldu...

Müzik dünyamızın efsane ismi Barış Manço'yu aramızdan ayrılışının 25. yılında özlemle, rahmetle yâd ediyoruz.",2.0,141.0,368,13K,[],[],[],https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1753055625024524358,tweet_id:1753055625024524358,4.0
5,Hamza Yerlikaya,@hamzayerlikaya,2024-02-01T09:46:08.000Z,1.0,,10.0,46.0,416,25K,[],[],"['\\U0001f3c0', '\\U0001f3c0', '\\U0001f3c0']",https://pbs.twimg.com/profile_images/1620785458820030464/_ENAqiUp_normal.jpg,https://twitter.com/hamzayerlikaya/status/1752991715361734943,tweet_id:1752991715361734943,5.0
6,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-02T01:11:09.000Z,1.0,"︎︎ⓘ Alperen Şengün’ü onurlandırma tweetidir!

Şu an tüm basketbolseverlerin aynı şeyi düşündüğünü biliyorum… Bizi gururlandırmaya devam edeceksin kardeşim!",36.0,146.0,1.1K,70K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753224501221883948,tweet_id:1753224501221883948,6.0
7,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-01T15:09:04.000Z,1.0,"Diplomat Akademi Kampı'mızın kapanış dersini Birinci Meclis’te gerçekleştirdik.

Türkiye’nın dört bir yanından kampımıza katılan öğrenci kardeşlerimize ve onlara değerli bilgilerini aktaran TBMM Başkanımız Sayın 'a teşekkür ediyorum. #GSBYurtlarıKampta",8.0,155.0,482,17K,['#GSBYurtlarıKampta'],['@NumanKurtulmus'],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753072985492410549,tweet_id:1753072985492410549,7.0
8,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T13:55:40.000Z,1.0,,64.0,179.0,753,22K,[],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753054511864717789,tweet_id:1753054511864717789,8.0
9,Numan Kurtulmuş,@NumanKurtulmus,2024-02-01T11:17:13.000Z,1.0,"#CANLIYAYIN   Gençlik ve Spor Bakanlığı bünyesinde 1. Meclis'te gerçekleştirilen ""Diplomat Akademi Kampı Kapanış Dersi""nde gençlerimizle bir aradayız",109.0,121.0,468,22K,['#CANLIYAYIN'],[],[],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1753014636046336143,tweet_id:1753014636046336143,9.0
