,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-02-02T11:27:25.000Z,1.0,"Ülkemiz edebiyatının ve düşünce dünyamızın önemli isimlerinden #AlevAlatlı'ya Allah'tan rahmet, ailesine ve tüm sevenlerine başsağlığı diliyoruz.

Mekânı cennet olsun.",3.0,75.0,237.0,11K,['#AlevAlatlı'],[],[],https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1753379590364385555,tweet_id:1753379590364385555,https://pbs.twimg.com/media/GFVBcesWkAAKO6W?format=jpg&name=small,0.0,0.0
1,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-02-02T10:52:48.000Z,1.0,"ABD ve İngiltere'den iadesini sağladığımız 42 tarihî eser Antalya Arkeoloji Müzesi'nde sergileniyor.

Bakanımız : ""Kültür varlığı kaçakçılığının önlenmesi ve eserlerimizin iadesi çalışmalarımıza hız kesmeden devam ediyoruz.""

Ayrıntısı http://basin.ktb.gov.tr/TR-365156/abd-ve-ingiltere39den-iadesi-saglanan-42-tarihi-eser-antalya-arkeoloji-muzesi39nde-sergileniyor.html…",2.0,20.0,74.0,5.1K,[],['@MehmetNuriErsoy'],['\\U0001f449'],https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1753370881768796214,tweet_id:1753370881768796214,https://pbs.twimg.com/ext_tw_video_thumb/1753370795122819072/pu/img/tgO8hIFE283BRAtM.jpg,1.0,1.0
2,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-02-02T07:42:21.000Z,1.0,Kültür varlığı kaçakçılığı ile sürdürdüğümüz mücadele kapsamında #ABD’den ve #İngiltere’den iadesini sağladığımız 42 eserimizin tanıtımını Antalya Arkeoloji Müzemizde gerçekleştiriyoruz.,3.0,31.0,81.0,5.2K,"['#ABD', '#İngiltere']",[],[],https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1753322949871051139,tweet_id:1753322949871051139,,2.0,2.0
3,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-02-01T11:47:26.000Z,1.0,"Bakanımız , Bloomberg HT'nin canlı yayın konuğu oldu.

Ayrıntısı http://basin.ktb.gov.tr/TR-365127/bakan-ersoy-bloomberg-ht39nin-canli-yayin-konugu-oldu.html…",2.0,19.0,88.0,5.6K,[],['@MehmetNuriErsoy'],['\\U0001f449'],https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1753022239253954690,tweet_id:1753022239253954690,https://pbs.twimg.com/media/GFP8bniWMAA8gOa?format=jpg&name=small,3.0,3.0
4,Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-02-01T07:00:30.000Z,1.0,"Ülkemizin 2023 yılı turizm verilerini, gelecek turizm hedeflerimizi ve Bakanlığımızın çalışmalarını  ekranlarında anlatıyoruz.",34.0,85.0,240.0,17K,[],['@BloombergHT'],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1752950033828413466,tweet_id:1752950033828413466,,4.0,4.0
5,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-01-31T13:07:45.000Z,1.0,"Türkiye 2023 yılında, bir önceki yıla göre yüzde 10 artışla 56,7 milyon ziyaretçi ağırladı. 

Turizm geliri ise yüzde 17 arttı ve 54,3 milyar dolara ulaştı.  Rusya Federasyonu  Almanya  İngiltere (Birleşik Krallık)

Ayrıntısı http://basin.ktb.gov.tr/TR-365098/2023-turizmde-rekor-yili-oldu.html…",4.0,35.0,100.0,6.9K,[],[],"['1\\u20e3', '\\U0001f1f7\\U0001f1fa', '2\\u20e3', '\\U0001f1e9\\U0001f1ea', '3\\u20e3', '\\U0001f1ec\\U0001f1e7', '\\U0001f449']",https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1752680066100728015,tweet_id:1752680066100728015,https://pbs.twimg.com/media/GFLFO1HXUAAWgaW?format=jpg&name=small,5.0,5.0
6,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-01-31T07:16:09.000Z,1.0," Basın Toplantısı

""2023 Yılı Turizm Verileri Değerlendirme Toplantısı""  #Canlı",3.0,47.0,139.0,22K,['#Canlı'],['@AkmIstanbul'],"['\\U0001f534', '\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1752591583264833704,tweet_id:1752591583264833704,,6.0,6.0
7,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-01-26T11:37:26.000Z,1.0,"Türkiye ile Gürcistan arasında ""Kültürel İş Birliği Programı"" imzalandı. Bakanımız :  ""Kültürün her alanında ilişkilerimizi daha da ileriye taşımak istiyoruz.""

Ayrıntısı http://basin.ktb.gov.tr/TR-364695/turkiye-ile-gurcistan-arasinda-kulturel-is-birligi-programi-imzalandi.html…",10.0,17.0,95.0,7.7K,[],['@MehmetNuriErsoy'],"['\\U0001f1f9\\U0001f1f7', '\\U0001f1ec\\U0001f1ea', '\\U0001f449']",https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1750845398325883014,tweet_id:1750845398325883014,,7.0,7.0
8,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-01-26T09:57:43.000Z,1.0,,2.0,5.0,57.0,8.2K,[],[],[],https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1750820302739603596,tweet_id:1750820302739603596,https://pbs.twimg.com/media/GEwo3lcWYAAoJvX?format=jpg&name=small,8.0,8.0
9,T.C. Kültür ve Turizm Bakanlığı,@TCKulturTurizm,2024-01-26T06:36:19.000Z,1.0,"Yeşilçam'ın emektarlarından Hikmet Taşdemir'e Allah'tan rahmet, ailesine ve tüm sanat camiamıza başsağlığı diliyoruz.

Mekânı cennet olsun.",5.0,14.0,96.0,7.3K,[],[],[],https://pbs.twimg.com/profile_images/1665684516009066496/tWm1FVRR_normal.jpg,https://twitter.com/TCKulturTurizm/status/1750769620389101643,tweet_id:1750769620389101643,https://pbs.twimg.com/media/GEv7sRYWUAApSl2?format=jpg&name=360x360,9.0,9.0
