,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Emine Erdoğan,@EmineErdogan,2024-02-03T10:04:34.000Z,1.0,,63,219,714,33K,[],[],[],https://pbs.twimg.com/profile_images/1550500280994775041/7KOMZ5Ru_normal.jpg,https://twitter.com/EmineErdogan/status/1753721127963185232,tweet_id:1753721127963185232,https://pbs.twimg.com/media/GFU9fD8XYAAK-ef?format=jpg&name=360x360,,
1,İbrahim Yumaklı,@ibrahimyumakli,2024-02-03T10:06:08.000Z,1.0,,12,83,264,9.5K,[],[],"['\\U0001f4a7', '\\U0001f91d']",https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753721523796332944,tweet_id:1753721523796332944,https://pbs.twimg.com/amplify_video_thumb/1753721325279940608/img/cEu9XPwKMZ86OXCM.jpg,,
2,T.C. Tarım ve Orman Bakanlığı,@TCTarim,2024-02-02T17:56:08.000Z,1.0,"❝Sokağa çıktığımızda yeşil iş makinalarımızı gören, bizi gören her insanımız bize geldi kucak açtı❞

Devlet, millet bir olduk; hep birlikte Türkiye olduk. #AsrınBirlikteliği",2.0,39.0,93.0,3.9K,['#AsrınBirlikteliği'],['@dsigovtr'],[],https://pbs.twimg.com/profile_images/1720066060555030528/dhucT10M_normal.jpg,https://twitter.com/TCTarim/status/1753477415903363348,tweet_id:1753477415903363348,https://pbs.twimg.com/ext_tw_video_thumb/1753477314698936320/pu/img/NYhYFuElEhVPu7w5.jpg,0.0,0.0
3,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T17:23:03.000Z,1.0,,37.0,28.0,113.0,8K,[],[],['\\U0001f60e'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753469090931355993,tweet_id:1753469090931355993,https://pbs.twimg.com/media/GFWSzClXcAAFXWP?format=jpg&name=360x360,1.0,1.0
4,Milli Parklar,@milliparklar,2024-02-02T07:07:47.000Z,1.0,"Hayat, Sulak Alanlar ve İnsanlar ile İç İçe.",0.0,74.0,212.0,10K,[],[],['\\U0001f4ab'],https://pbs.twimg.com/profile_images/1631548953685635072/FE0GzukO_normal.jpg,https://twitter.com/milliparklar/status/1753314253312852077,tweet_id:1753314253312852077,https://pbs.twimg.com/ext_tw_video_thumb/1753313843424452608/pu/img/o4Rzo2wdZb9X6aqX.jpg,2.0,2.0
5,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T16:59:19.000Z,1.0,"225 milyon 746 bin TL tarımsal destekleme ödemesini bugün çiftçilerimizin hesaplarına aktarıyoruz.

Hayırlı ve bereketli olsun.",108.0,78.0,227.0,12K,[],[],['\\U0001f331'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753463118116589739,tweet_id:1753463118116589739,https://pbs.twimg.com/media/GFWNZ2vW4AAzjwQ?format=jpg&name=small,3.0,3.0
6,Su Verimliliği Seferberliği,@suverimliligiTR,2024-02-02T12:48:56.000Z,1.0,Sanayide kullanılan suyun %50’ye yakın kullanım azaltılması potansiyeli var. Endüstriyel Su Verimliliği Eylem Planımız hazır.#SudaSıfırKayıp #SuVerimliliği,1.0,22.0,69.0,3.5K,"['#SudaSıfırKayıp', '#SuVerimliliği']",[],[],https://pbs.twimg.com/profile_images/1695030042525396992/DGgNwu1B_normal.jpg,https://twitter.com/suverimliligiTR/status/1753400105669968287,tweet_id:1753400105669968287,https://pbs.twimg.com/media/GFVUE7tXsAA_0QE.jpg,4.0,4.0
7,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T17:23:03.000Z,1.0,,37.0,28.0,114.0,8K,[],[],['\\U0001f60e'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753469090931355993,tweet_id:1753469090931355993,https://pbs.twimg.com/media/GFWSzClXcAAFXWP?format=jpg&name=360x360,5.0,5.0
8,Milli Parklar,@milliparklar,2024-02-02T07:07:47.000Z,1.0,"Hayat, Sulak Alanlar ve İnsanlar ile İç İçe.",0.0,74.0,212.0,10K,[],[],['\\U0001f4ab'],https://pbs.twimg.com/profile_images/1631548953685635072/FE0GzukO_normal.jpg,https://twitter.com/milliparklar/status/1753314253312852077,tweet_id:1753314253312852077,https://pbs.twimg.com/ext_tw_video_thumb/1753313843424452608/pu/img/o4Rzo2wdZb9X6aqX.jpg,6.0,6.0
9,T.C. Tarım ve Orman Bakanlığı,@TCTarim,2024-02-02T17:56:08.000Z,1.0,"❝Sokağa çıktığımızda yeşil iş makinalarımızı gören, bizi gören her insanımız bize geldi kucak açtı❞

Devlet, millet bir olduk; hep birlikte Türkiye olduk. #AsrınBirlikteliği",2.0,39.0,95.0,3.9K,['#AsrınBirlikteliği'],['@dsigovtr'],[],https://pbs.twimg.com/profile_images/1720066060555030528/dhucT10M_normal.jpg,https://twitter.com/TCTarim/status/1753477415903363348,tweet_id:1753477415903363348,https://pbs.twimg.com/ext_tw_video_thumb/1753477314698936320/pu/img/NYhYFuElEhVPu7w5.jpg,7.0,7.0
