,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Hakan Fidan,@HakanFidan,2024-02-03T12:16:04.000Z,1.0,"Irak’ın kuzeyinde şehit düşen Piyade Uzman Çavuş Kadir Dingil’e Allah’tan rahmet, ailesi ve yakınlarına sabır, yaralanan askerlerimize acil şifa diliyorum. Aziz milletimizin başı sağ olsun. ",99,457,2.9K,94K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1753754221185266057,tweet_id:1753754221185266057,,,
1,T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-02-03T11:37:55.000Z,1.0,"Irak'ın kuzeyinde şehit olan Piyade Uzman Çavuş Kadir Dingil'e Allah'tan rahmet, kederli ailesine ve yakınlarına sabır, yaralanan askerlerimize acil şifalar diliyoruz.

Başımız sağ olsun.",11,92,419,17K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1753744623829176703,tweet_id:1753744623829176703,https://pbs.twimg.com/media/GFaFmM8WwAAhg-V?format=jpg&name=small,,
2,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-02T18:22:45.000Z,1.0,,28.0,48.0,142,10K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753484115456758217,tweet_id:1753484115456758217,,0.0,0.0
3,T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-02-02T16:51:43.000Z,1.0,,0.0,15.0,106,9.9K,[],['@deikiletisim'],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1753461205245501766,tweet_id:1753461205245501766,https://pbs.twimg.com/media/GFWLoJLWIAEjrMR?format=jpg&name=small,1.0,1.0
4,T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-02-02T08:17:12.000Z,1.0,"Bakan Yardımcımız Büyükelçi Ahmet Yıldız, Lübnan Dışişleri ve Göçmenler Bakanlığı Genel Sekreteri Hani Chemaitelly’yle biraraya gelmiştir. 

Görüşmede bölgesel gelişmeler ve Lübnan’la ikili ilişkilerimiz ele alınmıştır.",7.0,35.0,303,15K,[],[],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1753331722039554135,tweet_id:1753331722039554135,https://pbs.twimg.com/media/GFUV6B1WAAA7iaZ?format=jpg&name=small,2.0,2.0
5,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-01T16:20:11.000Z,1.0,"Cumhurbaşkanımız , Türkiye’ye çalışma ziyaretinde bulunan Nijer Başbakanı ve Ekonomi ve Finans Bakanı Ali Mahamane Lamine Zeine’yi Cumhurbaşkanlığı Külliyesinde kabul etti.",371.0,597.0,3K,154K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753090882666913989,tweet_id:1753090882666913989,https://pbs.twimg.com/media/GFQ63MYXMAcK7n3?format=jpg&name=small,3.0,3.0
6,T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-02-01T16:06:46.000Z,1.0,,6.0,33.0,314,18K,[],[],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1753087503832072636,tweet_id:1753087503832072636,https://pbs.twimg.com/media/GFQ3vbQXsAANUPO?format=jpg&name=360x360,4.0,4.0
7,T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-02-02T16:51:43.000Z,1.0,,0.0,15.0,106,9.9K,[],['@deikiletisim'],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1753461205245501766,tweet_id:1753461205245501766,https://pbs.twimg.com/media/GFWLoJLWIAEjrMR?format=jpg&name=small,5.0,5.0
8,T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-02-02T08:17:12.000Z,1.0,"Bakan Yardımcımız Büyükelçi Ahmet Yıldız, Lübnan Dışişleri ve Göçmenler Bakanlığı Genel Sekreteri Hani Chemaitelly’yle biraraya gelmiştir. 

Görüşmede bölgesel gelişmeler ve Lübnan’la ikili ilişkilerimiz ele alınmıştır.",7.0,35.0,303,15K,[],[],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1753331722039554135,tweet_id:1753331722039554135,https://pbs.twimg.com/media/GFUV6B1WAAA7iaZ?format=jpg&name=small,6.0,6.0
9,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-02T18:22:45.000Z,1.0,,28.0,48.0,150,11K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753484115456758217,tweet_id:1753484115456758217,,7.0,7.0
