,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0
0,T.C. İçişleri Bakanlığı,@TC_icisleri,2024-02-02T15:59:06.000Z,1.0,,22,65,425,23K,[],[],"['3\\ufe0f\\u20e3', '5\\ufe0f\\u20e3', '4\\ufe0f\\u20e3', '0\\ufe0f\\u20e3', '1\\ufe0f\\u20e3', '\\u2757\\ufe0f', '6\\ufe0f\\u20e3', '\\u2757']",https://pbs.twimg.com/profile_images/1670015817964978177/K8jfzo_M_normal.jpg,https://twitter.com/TC_icisleri/status/1753447962829611393,tweet_id:1753447962829611393,https://pbs.twimg.com/ext_tw_video_thumb/1753444159963164672/pu/img/5RMZVkOjm9x6EQlN.jpg,0.0
1,Ali Yerlikaya,@AliYerlikaya,2024-02-02T11:22:48.000Z,1.0,"Bilim ve edebiyat alanındaki çalışmaları, engin birikimi ve yaptığı öncü çalışmalarıyla hafızalarımıza kazınan Yazar ve Eğitimci Alev Alatlı Hanımefendi’ye Allah’tan rahmet, ailesine, yakınlarına ve okurlarına başsağlığı diliyorum.

Mekanı cennet olsun.",150,525,4.3K,187K,[],[],[],https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753378428647027077,tweet_id:1753378428647027077,https://pbs.twimg.com/media/GFVAYpqWYAAp8yk?format=jpg&name=small,1.0
2,T.C. İçişleri Bakanlığı,@TC_icisleri,2024-02-02T10:55:29.000Z,1.0,,14,41,327,24K,[],[],[],https://pbs.twimg.com/profile_images/1670015817964978177/K8jfzo_M_normal.jpg,https://twitter.com/TC_icisleri/status/1753371555055214859,tweet_id:1753371555055214859,https://pbs.twimg.com/media/GFU5vQsWQAA3J8w?format=jpg&name=360x360,2.0
3,Ali Yerlikaya,@AliYerlikaya,2024-02-02T07:12:56.000Z,1.0,AFAD Afet ve Acil Durum Yönetimi Merkezi’nde 6 Şubat Depremleriyle ilgili Açıklamamızı gerçekleştiriyoruz.  Ankara  #CanlıYayın,167,317,1.7K,166K,['#CanlıYayın'],[],"['\\U0001f4cd', '\\U0001f4e1', '\\U0001f3a5']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753315548606165120,tweet_id:1753315548606165120,,3.0
4,Ali Yerlikaya,@AliYerlikaya,2024-02-02T04:52:30.000Z,1.0,,253,710,5.5K,350K,[],[],"['\\u2757\\ufe0f', '1\\ufe0f\\u20e3', '3\\ufe0f\\u20e3', '\\u2757\\ufe0f']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753280205630972019,tweet_id:1753280205630972019,https://pbs.twimg.com/ext_tw_video_thumb/1753279516267401216/pu/img/agC87JcIuK_iv_tb.jpg,4.0
5,T.C. İçişleri Bakanlığı,@TC_icisleri,2024-02-01T16:42:32.000Z,1.0,,70,222,647,130K,[],[],"['\\U0001faaa', '\\u2757']",https://pbs.twimg.com/profile_images/1670015817964978177/K8jfzo_M_normal.jpg,https://twitter.com/TC_icisleri/status/1753096504582054392,tweet_id:1753096504582054392,https://pbs.twimg.com/media/GFQ-L7qWYAAWvcy?format=jpg&name=small,5.0
6,Ali Yerlikaya,@AliYerlikaya,2024-02-01T14:31:10.000Z,1.0,,227,631,4.7K,302K,[],[],"['1\\ufe0f\\u20e3', '5\\ufe0f\\u20e3', '\\u2757']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753063447833571805,tweet_id:1753063447833571805,https://pbs.twimg.com/amplify_video_thumb/1753063342460096512/img/Trz9csN5ID59_pS4.jpg,6.0
7,Mehmet Sağlam,@av_mehmetsaglam,2024-02-01T12:51:36.000Z,1.0,"Nüfus ve Vatandaşlık İşleri Genel Müdürlüğümüzde çalışma toplantısı gerçekleştirdik.

Nüfus ve Vatandaşlık İşleri Genel Müdürümüz Sn.  ve çalışma arkadaşlarımıza başarılar dilerim. #HayatınızınHerAnında",19,80,335,32K,['#HayatınızınHerAnında'],['@itasyapan'],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1683875890625753092/2wUEzu6Z_normal.jpg,https://twitter.com/av_mehmetsaglam/status/1753038388398043601,tweet_id:1753038388398043601,https://pbs.twimg.com/media/GFQLEWHWUAERnwn?format=jpg&name=small,7.0
8,T.C. İçişleri Bakanlığı,@TC_icisleri,2024-02-01T13:52:29.000Z,1.0,"O;
Türk müzik dünyasının unutulmaz ismi, Anadolu irfanıyla yoğrulmuş bir modern zamanlar ozanıydı.
Nice ölümsüz eserlerin sahibi, 
sadece “Adam Olacak Çocuklar”ın değil;
“7'den 77'ye” herkesin ‘Barış Abisi’ydi.#BarışManço'yu vefatının 25. yılında rahmetle ve saygıyla anıyoruz.",18,112,838,37K,['#BarışManço'],[],[],https://pbs.twimg.com/profile_images/1670015817964978177/K8jfzo_M_normal.jpg,https://twitter.com/TC_icisleri/status/1753053708911264221,tweet_id:1753053708911264221,https://pbs.twimg.com/media/GFQZDd6XoAADmyv?format=jpg&name=small,8.0
9,Ali Yerlikaya,@AliYerlikaya,2024-02-01T11:21:03.000Z,1.0,,4.1K,5.5K,39K,4.5M,[],[],[],https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753015603265208670,tweet_id:1753015603265208670,https://pbs.twimg.com/amplify_video_thumb/1753015546721759232/img/4yGCY7YZbENo2jgj.jpg,9.0
