,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0
0,Recep Tayyip Erdoğan,@RTErdogan,2024-02-03T13:55:11.000Z,True,Hatay Deprem Konutları Kura ve Anahtar Teslim Töreni,317,1.2K,3K,136K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753779167089263073,tweet_id:1753779167089263073,,
1,Ali Yerlikaya,@AliYerlikaya,2024-02-03T13:31:42.000Z,True,Cumhurbaşkanımız Sayın 'ın teşrifleriyle Hatay'da düzenlenen ''Deprem Konutları Kura ve Anahtar Teslim Töreni'ni gerçekleştiriyoruz.  Hatay  #CanlıYayın,42,94,619,54K,['#CanlıYayın'],['@RTErdogan'],"['\\U0001f4cd', '\\U0001f4e1', '\\U0001f3a5']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753773255331115448,tweet_id:1753773255331115448,,
2,Ali Yerlikaya,@AliYerlikaya,2024-02-03T08:46:07.000Z,True,,123,349,2.2K,111K,[],[],"['7\\ufe0f\\u20e3', '\\U0001f7e5', '\\u274c', '3\\ufe0f\\u20e3', '4\\ufe0f\\u20e3', '\\u2757\\ufe0f']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753701386833809809,tweet_id:1753701386833809809,https://pbs.twimg.com/ext_tw_video_thumb/1753699866293768192/pu/img/dMtNxDX4JKU4wb3m.jpg,0.0
3,Ali Yerlikaya,@AliYerlikaya,2024-02-03T05:15:50.000Z,True,,531,703,5.2K,300K,[],[],"['\\U0001f7e5', '\\u2757\\ufe0f']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753648465698029699,tweet_id:1753648465698029699,https://pbs.twimg.com/ext_tw_video_thumb/1753647266877915136/pu/img/GGBUTHV4mJXp8QSE.jpg,1.0
4,Ali Yerlikaya,@AliYerlikaya,2024-02-02T11:22:48.000Z,True,"Bilim ve edebiyat alanındaki çalışmaları, engin birikimi ve yaptığı öncü çalışmalarıyla hafızalarımıza kazınan Yazar ve Eğitimci Alev Alatlı Hanımefendi’ye Allah’tan rahmet, ailesine, yakınlarına ve okurlarına başsağlığı diliyorum.

Mekanı cennet olsun.",188,711,6.1K,257K,[],[],[],https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753378428647027077,tweet_id:1753378428647027077,https://pbs.twimg.com/media/GFVAYpqWYAAp8yk?format=jpg&name=small,2.0
5,Ali Yerlikaya,@AliYerlikaya,2024-02-02T07:12:56.000Z,True,AFAD Afet ve Acil Durum Yönetimi Merkezi’nde 6 Şubat Depremleriyle ilgili Açıklamamızı gerçekleştiriyoruz.  Ankara  #CanlıYayın,195,397,2.2K,205K,['#CanlıYayın'],[],"['\\U0001f4cd', '\\U0001f4e1', '\\U0001f3a5']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753315548606165120,tweet_id:1753315548606165120,,3.0
6,Ali Yerlikaya,@AliYerlikaya,2024-02-02T04:52:30.000Z,True,,272,820,6.3K,396K,[],[],"['\\u2757\\ufe0f', '1\\ufe0f\\u20e3', '3\\ufe0f\\u20e3', '\\u2757\\ufe0f']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753280205630972019,tweet_id:1753280205630972019,,4.0
7,Ali Yerlikaya,@AliYerlikaya,2024-02-01T14:31:10.000Z,True,,230,644,4.9K,318K,[],[],"['1\\ufe0f\\u20e3', '5\\ufe0f\\u20e3', '\\u2757']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753063447833571805,tweet_id:1753063447833571805,https://pbs.twimg.com/amplify_video_thumb/1753063342460096512/img/Trz9csN5ID59_pS4.jpg,5.0
8,Ali Yerlikaya,@AliYerlikaya,2024-02-01T11:21:03.000Z,True,,4.1K,5.6K,40K,4.7M,[],[],[],https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1753015603265208670,tweet_id:1753015603265208670,https://pbs.twimg.com/amplify_video_thumb/1753015546721759232/img/4yGCY7YZbENo2jgj.jpg,6.0
9,Ali Yerlikaya,@AliYerlikaya,2024-02-01T05:06:09.000Z,True,,351,967,6.5K,470K,[],[],"['\\u274c', '1\\ufe0f\\u20e3', '1\\ufe0f\\u20e3', '1\\ufe0f\\u20e3', '4\\ufe0f\\u20e3', '5\\ufe0f\\u20e3', '6\\ufe0f\\u20e3', '3\\ufe0f\\u20e3', '3\\ufe0f\\u20e3', '9\\ufe0f\\u20e3', '4\\ufe0f\\u20e3', '2\\ufe0f\\u20e3', '0\\ufe0f\\u20e3']",https://pbs.twimg.com/profile_images/1683250850553114625/wqvEuMun_normal.jpg,https://twitter.com/AliYerlikaya/status/1752921254292496797,tweet_id:1752921254292496797,https://pbs.twimg.com/ext_tw_video_thumb/1752919832339660800/pu/img/VeZacQ22NABTT-6g.jpg,7.0
