,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-02-03T13:18:19.000Z,True,Hatay Deprem Konutları Kura Çekimi ve Anahtar Teslim Töreni,4,11,34,4.7K,[],[],[],https://pbs.twimg.com/profile_images/1645327453265469440/rEKDiYq7_normal.jpg,https://twitter.com/csbgovtr/status/1753769887682748849,tweet_id:1753769887682748849,,,
1,Mehmet Özhaseki,@mehmetozhaseki,2024-02-03T07:14:19.000Z,True,"Gayretle, aşkla, şevkle çalıştık… Şimdi de “Bismillah” diyerek Cumhurbaşkanımız Sayın ’ın liderliğinde evlerimizin teslimine başlıyoruz.

Hayırlı olsun Türkiye…

Asrın Birlikteliği ",1.2K,469,1.5K,138K,[],['@RTErdogan'],"['\\U0001f3e1', '\\U0001f1f9\\U0001f1f7', '\\U0001f1f9\\U0001f1f7', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1753678286662635764,tweet_id:1753678286662635764,https://pbs.twimg.com/amplify_video_thumb/1753677990184022017/img/hs0kA3rtoLcQUaIe.jpg,,
2,Mehmet Özhaseki,@mehmetozhaseki,2024-02-03T13:09:33.000Z,True,,22,36,183,7.9K,[],[],"['\\U0001f4cc', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1753767680539037937,tweet_id:1753767680539037937,https://pbs.twimg.com/media/GFaiZlqXIAAOdZu?format=jpg&name=360x360,,
3,"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-02-03T11:21:03.000Z,True,A Haber Özel Röportaj Hatay,3,9,27,4.2K,[],[],[],https://pbs.twimg.com/profile_images/1645327453265469440/rEKDiYq7_normal.jpg,https://twitter.com/csbgovtr/status/1753740377394479597,tweet_id:1753740377394479597,,,
4,"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-02-03T10:27:19.000Z,True,Hatay Atatürk Caddesi Emlak Konut Şantiyesi Basın Açıklaması,6,9,42,4.5K,[],[],[],https://pbs.twimg.com/profile_images/1645327453265469440/rEKDiYq7_normal.jpg,https://twitter.com/csbgovtr/status/1753726855692321068,tweet_id:1753726855692321068,,,
5,"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-02-03T09:49:33.000Z,True,"Cumhurbaşkanımız Sayın ’ın teşrifleriyle, bugün Hatay’da afet konutlarımızın ve köy evlerimizin anahtar teslimini gerçekleştiriyoruz.   3 Şubat 2024 Cumartesi  16.00",2,55,152,6.5K,[],['@RTErdogan'],"['\\U0001f3e1', '\\U0001f511', '\\U0001f5d3\\ufe0f', '\\u23f0']",https://pbs.twimg.com/profile_images/1645327453265469440/rEKDiYq7_normal.jpg,https://twitter.com/csbgovtr/status/1753717350610723239,tweet_id:1753717350610723239,https://pbs.twimg.com/ext_tw_video_thumb/1753717287197032448/pu/img/FQAuIvkWw-Khu4jH.jpg,,
6,"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-02-03T09:04:50.000Z,True,"Gayretle, aşkla, şevkle çalıştık… Şimdi de “Bismillah” diyerek Cumhurbaşkanımız Sayın ’ın liderliğinde evlerimizin teslimine başlıyoruz.

Hayırlı olsun Türkiye…

Asrın Birlikteliği ",0,5,21,642,[],['@RTErdogan'],"['\\U0001f3e1', '\\U0001f1f9\\U0001f1f7', '\\U0001f1f9\\U0001f1f7', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1645327453265469440/rEKDiYq7_normal.jpg,https://twitter.com/csbgovtr/status/1753706098513563952,tweet_id:1753706098513563952,https://pbs.twimg.com/ext_tw_video_thumb/1753705800588005376/pu/img/KGOsx2fDIW9b0eVv.jpg,0.0,
7,"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-02-03T07:36:46.000Z,True,Devletimiz var olsun ,6,47,173,6.8K,[],[],"['\\U0001f1f9\\U0001f1f7', '\\U0001f1f9\\U0001f1f7', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1645327453265469440/rEKDiYq7_normal.jpg,https://twitter.com/csbgovtr/status/1753683936343928959,tweet_id:1753683936343928959,https://pbs.twimg.com/ext_tw_video_thumb/1753683886540771331/pu/img/eR4Y75-ivqFKMwyM.jpg,1.0,
8,Mehmet Özhaseki,@mehmetozhaseki,2024-02-02T18:17:45.000Z,True,Devletimiz var olsun  ,14,33,122,4.3K,[],[],"['\\U0001f3e1', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1753482855962087447,tweet_id:1753482855962087447,https://pbs.twimg.com/amplify_video_thumb/1753482616450203648/img/EhbOKMxVhDTmaI4a.jpg,2.0,0.0
9,"T.C. Çevre, Şehircilik ve İklim Dğş. Bakanlığı",@csbgovtr,2024-02-02T17:22:23.000Z,True,"Deprem bölgesinde, iki ay içinde  bin konutumuzu teslim ediyoruz.

Hayırlı olsun.",11,12,36,5.1K,[],[],"['7\\ufe0f\\u20e3', '5\\ufe0f\\u20e3']",https://pbs.twimg.com/profile_images/1645327453265469440/rEKDiYq7_normal.jpg,https://twitter.com/csbgovtr/status/1753468920214831548,tweet_id:1753468920214831548,https://pbs.twimg.com/ext_tw_video_thumb/1753468830309842944/pu/img/Z_mPnxHmX_99JeFa.jpg,3.0,1.0
