,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Unnamed: 0.1,Unnamed: 0
0,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2023-06-08T15:58:37.000Z,1.0,DUYURU !,1.8K,912.0,1.8K,291K,[],[],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1666837139751940096,tweet_id:1666837139751940096,0.0,0.0
1,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-02-01T15:46:40.000Z,1.0,Bakanımız  ’ın Türkiye Emekliler Derneği Ziyareti#EmeklilerYılı,756,204.0,429,45K,['#EmeklilerYılı'],['@isikhanvedat'],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1753082447825178658,tweet_id:1753082447825178658,1.0,1.0
2,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-29T17:35:49.000Z,1.0,Kamu Toplu İş Sözleşmeleri Ek Çerçeve Anlaşma Protokolü İmzalandıhttps://csgb.gov.tr/haberler/kamu-toplu-is-sozlesmeleri-ek-cerceve-anlasma-protokolu-imzalandi/…,883,249.0,551,89K,[],[],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1752022751613792375,tweet_id:1752022751613792375,2.0,2.0
3,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-29T16:27:30.000Z,1.0,,9.9K,698.0,1.2K,131K,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1752005557358080195,tweet_id:1752005557358080195,3.0,3.0
4,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2023-06-08T15:58:37.000Z,1.0,DUYURU !,1.8K,912.0,1.8K,291K,[],[],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1666837139751940096,tweet_id:1666837139751940096,4.0,4.0
5,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-02-01T15:46:40.000Z,1.0,Bakanımız  ’ın Türkiye Emekliler Derneği Ziyareti#EmeklilerYılı,756,204.0,429,45K,['#EmeklilerYılı'],['@isikhanvedat'],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1753082447825178658,tweet_id:1753082447825178658,5.0,5.0
6,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-28T12:56:11.000Z,1.0,"Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. , Kanal 7 Yayınında “Başkent Kulisi” Programında Gündeme ve Çalışma Hayatına İlişkin Soruları Yanıtladı",632,180.0,383,48K,[],['@isikhanvedat'],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1751589992202227890,tweet_id:1751589992202227890,6.0,6.0
7,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-28T10:22:29.000Z,1.0, 17.002 lira olarak belirlediğimiz asgari ücrette neden 2 lira var? Teknik detayı nasıl hesaplandı? “Bu 2 lira çalışanların bir üst vergi dilimine taşınması için mi yapıldı” dezenformasyonuna karşı cevabım;,961,251.0,580,64K,[],[],"['\\U0001f534', '\\U0001f4cc', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1751551311210803584,tweet_id:1751551311210803584,7.0,7.0
8,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-27T17:34:49.000Z,1.0,"Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. , yarın saat 11:45’te Kanal 7 “Başkent Kulisi” programının yayın konuğu olacaktır.",3.3K,868.0,1.2K,105K,[],['@isikhanvedat'],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1751297721560899696,tweet_id:1751297721560899696,8.0,8.0
9,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-27T10:41:06.000Z,1.0,2024 #EmeklilerYılı / Türkiye Yüzyılı’nın Emektarları Çalıştayı,1K,240.0,492,63K,['#EmeklilerYılı'],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1751193606738600302,tweet_id:1751193606738600302,9.0,9.0
