,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link
0,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-02T11:49:24.000Z,True,"Bu toprakların yetiştirdiği kıymetli mütefekkirlerden Alev Alatlı hocamıza Allah'tan rahmet, sevenlerine sabır dilerim. 

Milletimizin ve edebiyat camiasının başı sağ olsun…",6,109,380,12K,[],[],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753385123041464760,tweet_id:1753385123041464760,https://pbs.twimg.com/media/GFVGeY7WoAAcy2R?format=jpg&name=small
1,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-02T01:11:09.000Z,True,"︎︎ⓘ Alperen Şengün’ü onurlandırma tweetidir!

Şu an tüm basketbolseverlerin aynı şeyi düşündüğünü biliyorum… Bizi gururlandırmaya devam edeceksin kardeşim!",35,171,1.4K,96K,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753224501221883948,tweet_id:1753224501221883948,https://pbs.twimg.com/media/GFS0YiYX0AAjI9I?format=jpg&name=small
2,Dr. Osman Aşkın Bak,@OA_BAK,2024-02-01T15:09:04.000Z,True,"Diplomat Akademi Kampı'mızın kapanış dersini Birinci Meclis’te gerçekleştirdik.

Türkiye’nın dört bir yanından kampımıza katılan öğrenci kardeşlerimize ve onlara değerli bilgilerini aktaran TBMM Başkanımız Sayın 'a teşekkür ediyorum. #GSBYurtlarıKampta",9,164,516,18K,['#GSBYurtlarıKampta'],['@NumanKurtulmus'],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1753072985492410549,tweet_id:1753072985492410549,https://pbs.twimg.com/media/GFQqlXTXEAALEN2?format=jpg&name=360x360
3,Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-02-01T14:00:05.000Z,True,"Bizim illeri sensiz, bizim illeri sessiz bırakalı 25 yıl oldu...

Müzik dünyamızın efsane ismi Barış Manço'yu aramızdan ayrılışının 25. yılında özlemle, rahmetle yâd ediyoruz.",3,150,389,14K,[],[],[],https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1753055625024524358,tweet_id:1753055625024524358,https://pbs.twimg.com/amplify_video_thumb/1753055503683330048/img/9KF2AO6NFzBxy65v.jpg
4,Dr. Osman Aşkın Bak,@OA_BAK,2024-01-29T10:25:08.000Z,True,"8. Tematik Kış Kamplarımız başladı.

Biz de İnsan Hakları ve Hukuk Kampı'nda ülkemizin dört bir yanından gelen gençlerimizle buluştuk.

Katılan tüm öğrencilerimize keyifli ve verimli bir kamp süreci dilerim.#GSBYurtlarıKamptaİstanbul • GSB Haydar Aliyev Yurdu",112,324,918,28K,['#GSBYurtlarıKampta'],[],"['\\U0001f64b\\U0001f3fb\\u200d\\u2642\\ufe0f', '\\U0001f4cd']",https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1751914367744950427,tweet_id:1751914367744950427,https://pbs.twimg.com/media/GFAM0-jX0AA5OaS?format=jpg&name=360x360
5,Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-01-28T15:39:13.000Z,True,"Başkent'te soğuk kış günlerinde yapılacak en iyi aktivitelerden biri sıcacık gençlik merkezlerimizin kapısını çalmak...

Bakalım Mamak Gençlik Merkezi'nde zaman nasıl geçiyor? ",9,117,309,15K,[],[],['\\U0001f447\\U0001f3fb'],https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1751631021190078897,tweet_id:1751631021190078897,https://pbs.twimg.com/amplify_video_thumb/1751630839056633856/img/vxfs4HbTzd_jy_x-.jpg
6,Dr. Osman Aşkın Bak,@OA_BAK,2024-01-28T13:28:51.000Z,True,"Cumhurbaşkanımız Sayın 'ın teşrifleriyle gerçekleştirilen AK Parti Eskişehir İlçe Belediye Başkan Adayları Toplantısı’na katıldık.

AK Partimiz Eskişehir’e çok yakışacak! Hayırlı, uğurlu olsun.",25,80,488,22K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1751598210760519759,tweet_id:1751598210760519759,https://pbs.twimg.com/media/GE7tOriWcAAT3Jb?format=jpg&name=360x360
7,Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-01-27T17:12:20.000Z,True,Gençlik Radyosu'nda sizin için harika bir çalma listesi oluşturduk.Cumartesi akşamınıza renk katsın...Listede seni hangi şarkı karşıladı?https://gsb.gov.tr/radyo/,6,107,253,11K,[],[],"['\\U0001f4fb', '\\U0001f3b6', '\\U0001f517']",https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1751292064958947656,tweet_id:1751292064958947656,https://pbs.twimg.com/media/GE3W2TmWIAAYZ6t?format=jpg&name=small
8,Dr. Osman Aşkın Bak,@OA_BAK,2024-01-27T14:25:16.000Z,True,"Fatih Belediyemizin düzenlediği Geleneksel Çocuk Oyunları etkinliğine katıldık.

Bugün Fatih’te olduğu gibi Gazze’de ve dünyanın her yerinde çocuklarımızın yüzleri gülsün inşallah…",16,160,616,21K,[],[],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1751250020135792729,tweet_id:1751250020135792729,https://pbs.twimg.com/media/GE2wm1EXAAAhM9m?format=jpg&name=small
9,Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-01-27T08:30:21.000Z,True,Bu akımdan geri kalacağımızı düşünmeniz bizi üzer. ,3,138,353,21K,[],[],['\\U0001f431'],https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1751160703371612212,tweet_id:1751160703371612212,https://pbs.twimg.com/amplify_video_thumb/1751160622207700992/img/lh2pvY92eoQVgA8B.jpg
