,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Hafize Gaye Erkan,@hafizegayeerkan,2024-02-02T19:06:03.000Z,1.0,"Kamuoyunun malumu olduğu üzere 8 Haziran 2023 tarihinden bu yana Türkiye Cumhuriyet Merkez Bankası Başkanlığı görevini sürdürmekteyim.

Her bir karış toprağı için bedel ödenmiş bu topraklarda doğmuş, büyümüş, eğitim görmüş bir vatan evladı olarak, bu kutsal görev şahsıma tevdi edildiğinde kişisel koşullarımı hiç önemsemeden ülkeme geldim ve görevimin başına geçtim. O dönemde de daha yaşını doldurmamış bir evladın annesi olarak böyle yoğun bir görevi sürdürmenin zorluklarının elbette farkındaydım. Devletimize ve milletimize hizmet edebilmek adına bugüne kadar yorulmadan gece gündüz görevimin başında yer aldım. Gelinen noktada ekonomi programımız meyvelerini vermeye başlamıştır. Rezervlerimizdeki artış, ekonomik veriler ile enflasyonun ana eğilimine dair göstergeler bu başarının kanıtıdır.

Tüm bu olumlu gelişmelere karşın kamuoyunun malumu olduğu üzere son dönemde şahsıma yönelik büyük bir itibar suikasti kampanyası düzenlenmiştir. Bu süreçten ailem ve dahası henüz bir buçuk yaşına bile girmemiş günahsız evladımın daha fazla etkilenmemesi için, Sayın Cumhurbaşkanımızdan ilk günden beri şerefle yürüttüğüm görevimden affımı talep etmiş bulunuyorum.

Türkiye Cumhuriyet Merkez Bankası’nın ilk kadın başkanı olma gururunu yaşamama vesile olan Sayın Hazine ve Maliye Bakanımıza ve yaklaşık 9 aydır bu görevi beraber sürdürdüğüm, gece gündüz demeden her biri büyük bir özveriyle çalışan mesai arkadaşlarıma teşekkürü bir borç biliyorum. 

Hasseten Amerika’da özel sektörde geçen 22 yıllık yöneticilik ve bankacılık tecrübemden sonra, evladıma da bırakacağım en büyük miras olan ülkeme ve milletime hizmet etme imkanını bana sunan ve görev sürem boyunca desteklerini hiçbir zaman esirgemeyen Sayın Cumhurbaşkanımıza şükran ve minnetlerimi arz ediyorum.

Saygılarımla.",9.1K,6.3K,20K,12M,[],[],[],https://pbs.twimg.com/profile_images/1688588102321815566/TSzTzJ-o_normal.jpg,https://twitter.com/hafizegayeerkan/status/1753495012183003212,tweet_id:1753495012183003212,,0.0,
1,Hafize Gaye Erkan,@hafizegayeerkan,2024-02-01T13:46:08.000Z,1.0,,206,355,2.2K,237K,[],[],[],https://pbs.twimg.com/profile_images/1688588102321815566/TSzTzJ-o_normal.jpg,https://twitter.com/hafizegayeerkan/status/1753052111326110151,tweet_id:1753052111326110151,https://pbs.twimg.com/media/GFP5XeIWYAAJupF?format=jpg&name=small,1.0,0.0
2,Merkez Bankası,@Merkez_Bankasi,2024-02-01T11:34:37.000Z,1.0,Türkiye Cumhuriyet Merkez Bankası ve İspanya Merkez Bankası arasında merkez bankacılığı konularında iş birliğinin geliştirilmesine zemin oluşturmak üzere Mutabakat Zaptı imzalanmıştır: http://tcmb.tl/tzf9081,40,63,779,289K,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1753019016916910532,tweet_id:1753019016916910532,https://pbs.twimg.com/media/GFP5XeIWYAAJupF?format=jpg&name=small,2.0,1.0
3,Merkez Bankası,@Merkez_Bankasi,2024-02-01T11:01:55.000Z,1.0,25 Ocak 2024 Tarihli Para Politikası Kurulu Toplantı Özeti: http://tcmb.tl/tx6e7d0,12,20,136,53K,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1753010785465356567,tweet_id:1753010785465356567,,3.0,2.0
4,Hafize Gaye Erkan,@hafizegayeerkan,2024-01-18T19:10:44.000Z,1.0,,0,2.4K,10K,3M,[],[],[],https://pbs.twimg.com/profile_images/1688588102321815566/TSzTzJ-o_normal.jpg,https://twitter.com/hafizegayeerkan/status/1748060372261613587,tweet_id:1748060372261613587,,4.0,3.0
5,Hafize Gaye Erkan,@hafizegayeerkan,2024-02-01T13:46:08.000Z,1.0,,206,355,2.2K,237K,[],[],[],https://pbs.twimg.com/profile_images/1688588102321815566/TSzTzJ-o_normal.jpg,https://twitter.com/hafizegayeerkan/status/1753052111326110151,tweet_id:1753052111326110151,https://pbs.twimg.com/media/GFP5XeIWYAAJupF?format=jpg&name=small,5.0,4.0
6,Hafize Gaye Erkan,@hafizegayeerkan,2023-11-09T17:30:42.000Z,1.0,Cumhuriyetimizin kurucusu Gazi Mustafa Kemal Atatürk'ü ebediyete intikalinin 85. yılında saygı ve minnetle anıyorum.,761,142,2.5K,387K,[],[],[],https://pbs.twimg.com/profile_images/1688588102321815566/TSzTzJ-o_normal.jpg,https://twitter.com/hafizegayeerkan/status/1722668044609008049,tweet_id:1722668044609008049,https://pbs.twimg.com/media/F-glc_CXoAA6je0?format=jpg&name=small,6.0,5.0
7,Hafize Gaye Erkan,@hafizegayeerkan,2024-02-01T13:46:08.000Z,1.0,,206,355,2.2K,237K,[],[],[],https://pbs.twimg.com/profile_images/1688588102321815566/TSzTzJ-o_normal.jpg,https://twitter.com/hafizegayeerkan/status/1753052111326110151,tweet_id:1753052111326110151,https://pbs.twimg.com/media/GFP5XeIWYAAJupF?format=jpg&name=small,7.0,6.0
8,Merkez Bankası,@Merkez_Bankasi,2024-02-01T11:34:37.000Z,1.0,Türkiye Cumhuriyet Merkez Bankası ve İspanya Merkez Bankası arasında merkez bankacılığı konularında iş birliğinin geliştirilmesine zemin oluşturmak üzere Mutabakat Zaptı imzalanmıştır: http://tcmb.tl/tzf9081,40,63,779,289K,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1753019016916910532,tweet_id:1753019016916910532,https://pbs.twimg.com/media/GFP5XeIWYAAJupF?format=jpg&name=small,8.0,7.0
9,Hafize Gaye Erkan,@hafizegayeerkan,2023-10-29T08:06:36.000Z,1.0,"29 Ekim Cumhuriyet Bayramımız, Cumhuriyetimizin 100. yılı kutlu olsun!",157,150,1.8K,256K,[],[],[],https://pbs.twimg.com/profile_images/1688588102321815566/TSzTzJ-o_normal.jpg,https://twitter.com/hafizegayeerkan/status/1718539817968108002,tweet_id:1718539817968108002,https://pbs.twimg.com/media/F9l62i9XIAAMU1Z?format=jpg&name=small,9.0,8.0
