,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Recep Tayyip Erdoğan,@RTErdogan,2024-02-03T13:55:11.000Z,True,Hatay Deprem Konutları Kura ve Anahtar Teslim Töreni,284,1.1K,2.8K,127K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753779167089263073,tweet_id:1753779167089263073,,,
1,İbrahim Yumaklı,@ibrahimyumakli,2024-02-03T12:08:07.000Z,True,,3,19,90,3.4K,"['#GerçekBelediyecilik', '#TürkiyeYüzyılı', '#Yenidenİstanbul']",[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753752221064249835,tweet_id:1753752221064249835,https://pbs.twimg.com/media/GFaUVfJWsAATgQK?format=jpg&name=small,,
2,İbrahim Yumaklı,@ibrahimyumakli,2024-02-03T11:59:54.000Z,True,"Kastamonulu Dernek Başkanlarımız ve kanaat önderlerimizle İstanbul Ümraniye’de bir araya geldik.

Memleketten ve İstanbul’dan konuştuk, hasbihal ettik...

Aklın yolu bir. İnşallah İstanbul’umuzu hizmet odaklı #GerçekBelediyecilik ile yeniden buluşturacağız.",2,21,110,4K,['#GerçekBelediyecilik'],[],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753750152555229543,tweet_id:1753750152555229543,https://pbs.twimg.com/media/GFaScSeWgAAuemg?format=jpg&name=360x360,,
3,Emine Erdoğan,@EmineErdogan,2024-02-03T10:04:34.000Z,True,,63,218,711,33K,[],[],[],https://pbs.twimg.com/profile_images/1550500280994775041/7KOMZ5Ru_normal.jpg,https://twitter.com/EmineErdogan/status/1753721127963185232,tweet_id:1753721127963185232,https://pbs.twimg.com/media/GFU9fD8XYAAK-ef?format=jpg&name=360x360,,
4,İbrahim Yumaklı,@ibrahimyumakli,2024-02-03T10:06:08.000Z,True,,12,83,263,9.5K,[],[],"['\\U0001f4a7', '\\U0001f91d']",https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753721523796332944,tweet_id:1753721523796332944,https://pbs.twimg.com/amplify_video_thumb/1753721325279940608/img/cEu9XPwKMZ86OXCM.jpg,,
5,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T19:28:06.000Z,True,#TürkiyeYüzyılı’nda Kocaeli’ye yaptığımız yatırımlar artarak devam edecek.,24,75,278,12K,['#TürkiyeYüzyılı'],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753500560672670026,tweet_id:1753500560672670026,https://pbs.twimg.com/media/GFWvdfBWgAA-_4y?format=jpg&name=small,0.0,
6,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T17:23:03.000Z,True,"Ülkemizin dört bir yanında Teknofest kuşağı gençlerimiz yetişmeye devam ediyor.Darıca’da lise öğrencisi gençlerimiz otomasyonlu topraksız tarım serasında modern tarım tekniklerini öğrenirken aynı zamanda suyu verimli kullanarak üretim yapıyorlar. 

Gençler, sizinle gurur duyuyoruz.Derince Çınarlı Mesleki ve Teknik Anadolu Lisesi",37,23,105,7.5K,[],[],['\\U0001f60e'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753469090931355993,tweet_id:1753469090931355993,https://pbs.twimg.com/media/GFWSzClXcAAFXWP?format=jpg&name=360x360,1.0,0.0
7,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T16:59:19.000Z,True,"225 milyon 746 bin TL tarımsal destekleme ödemesini bugün çiftçilerimizin hesaplarına aktarıyoruz.

Hayırlı ve bereketli olsun.",106,75,220,12K,[],[],['\\U0001f331'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753463118116589739,tweet_id:1753463118116589739,https://pbs.twimg.com/media/GFWNZ2vW4AAzjwQ?format=jpg&name=small,2.0,1.0
8,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T16:18:00.000Z,True,"Milletimizin gönlünde taht kuran Cumhur İttifakı, her bir mensubuyla gönül birliği içerisinde milletimize hizmet etmek için HAZIR!Milliyetçi Hareket Partisi Kocaeli İl BaşkanlığıBüyük Birlik Partisi Kocaeli İl Başkanlığı

Cumhur İttifakı ortaklarımıza nazik misafirperverlikleri için teşekkür ediyorum.",61,28,144,5.7K,[],[],"['\\U0001f4cd', '\\U0001f4cd']",https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753452720244031586,tweet_id:1753452720244031586,https://pbs.twimg.com/media/GFWDzppXIAA2Now?format=jpg&name=360x360,3.0,2.0
9,İbrahim Yumaklı,@ibrahimyumakli,2024-02-02T15:18:56.000Z,True,"AK Parti Kocaeli İl Başkanlığı’mızı ziyaret ederek kıymetli yol arkadaşlarımızla hasret giderdik.

Kocaeli her zamanki yerinde,
Cumhurbaşkanımız Sayın ’ın yanında. 31 Mart’ta Kocaeli’yi #GerçekBelediyecilik ile yeniden buluşturmak için yorulmadan çalışan il teşkilatımıza, kadınlarımıza ve gençlerimize kolaylıklar diliyorum.",24,30,128,4.9K,['#GerçekBelediyecilik'],['@RTErdogan'],"['\\U0001f4cd', '\\U0001f44f']",https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1753437856608006300,tweet_id:1753437856608006300,https://pbs.twimg.com/media/GFV2aveXsAANsvY?format=jpg&name=360x360,4.0,3.0
