,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-23T19:54:30.000Z,1.0,"𝟐𝟎𝟐𝟒 𝐄𝐌𝐄𝐊𝐋𝐈̇𝐋𝐄𝐑 𝐘𝐈𝐋𝐈

Sayın Cumhurbaşkanımız ve Hükümetlerimiz kıymetli emeklilerimizi sadece seçim dönemlerinde hatırlamadı. Emeklilerimizin her daim yanında olduk, başımızın tacı yaptık. Bu yüzden 2024 yılını Emekliler Yılı olarak kutlamaya karar verdik.",5.1K,605,1.4K,172K,[],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1749883323713781956,tweet_id:1749883323713781956,https://pbs.twimg.com/amplify_video_thumb/1749882631498371073/img/f-irqO-Apgb0jlXC.jpg,0.0,0.0
1,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-02-02T16:37:40.000Z,1.0,"Türk Havacılık Uzay Sanayii’ni ziyaret ederek Genel Müdürümüz Sayın Prof. Dr.  ve Yönetim Kurulu Başkanımız Sayın Prof. Dr. Rafet Bozdoğan’ın ev sahipliğinde, havacılık ve uzay teknolojilerinde yıllar boyunca akamete uğramış serüvenimizin yeniden şahlanışına tanıklık ettik. Bakanlığımız olarak TUSAŞ ile istihdam alanında iş birliği içerisinde yürüttüğümüz programları ve projeleri geliştirerek devam ettireceğiz.

Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın güçlü liderliğinde, kendi gök kubbemizde hür ve bağımsız Türkiye maceramıza destek vermek için durmaksızın çalışacağız.

Ufku, gökyüzünde ve daha ötesinde olan mühendislerimiz ile savunma sanayi alanında çalışan tüm personelimize başarılar diliyorum. #MilliTeknolojiHamlesi ",254,64,151,9.1K,[],['@Temel_Kotil'],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1753457668369346651,tweet_id:1753457668369346651,https://pbs.twimg.com/media/GFWIc4jWEAAU5ld?format=jpg&name=360x360,1.0,1.0
2,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T16:23:02.000Z,1.0,"Daha 8 ay öncesinde 85 milyonu kucaklaştırmaktan dem vuranlar bugün sabah akşam kavga ediyor.

Gün geçmiyor ki milletçe yüzümüzü kızartacak bir skandallarına, bir itiraflarına, bilhassa gençlerimizin siyaset kurumuna yönelik güvenini zedeleyen bir ayak oyunlarına şahit olmayalım.

Bu durumdan dolayı toplumumuzun belli kesimlerinde yayılan karamsarlık dalgasını demokrasimiz adına ürkütücü buluyoruz. 

Muvafık veya muhalif fark etmeksizin siyaset kurumunun ana görevi topluma umut aşılamaktır.

Burada oluşacak en küçük bir zafiyetin, geçmişte olduğu gibi, ülkemize ve demokrasimize ağır faturaları olacaktır.

Biz, böyle bir tablonun oluşmaması için elimizden geleni yapmaya devam edeceğiz.

Kendini muhalif olarak tanımlayan vatandaşlarımızı da kucaklamaya, herkesin sorunlarına çözüm üretmeye, herkesin sesine kulak vermeye devam edecek, millî birlik ve beraberliğimizin bozulmasına müsaade etmeyeceğiz.",1.1K,2.1K,6.5K,383K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753453985808171515,tweet_id:1753453985808171515,,2.0,2.0
3,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T12:45:09.000Z,1.0,AK Parti Bursa İlçe Belediye Başkan Adayları Tanıtım Toplantısı,851,2.3K,6.3K,246K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753399155135762688,tweet_id:1753399155135762688,,3.0,3.0
4,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-02-02T11:17:10.000Z,1.0,"❝İnsan olmanın kefâreti sevmeyi bilmektir...❞

Bu güzel sözün sahibi, düşünce dünyamızın usta yazarı ve münevveri, Cumhurbaşkanlığı Kültür ve Sanat Büyük Ödülü’ne layık görülen kıymetli Alev Alatlı’nın vefat haberini üzüntüyle öğrendim.

Hepimizin başı sağolsun. Allah rahmet eylesin, mekanı cennet olsun.",171,70,209,13K,[],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1753377010238255319,tweet_id:1753377010238255319,https://pbs.twimg.com/media/GFU_F7pWMAAvUzk?format=jpg&name=small,4.0,4.0
5,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-02-02T07:00:40.000Z,1.0,"Sosyal Güvenlik Kurumumuzun Bedeli Ödenecek İlaçlar Listesi’nde yapılan düzenleme ile 11’i yerli üretim olmak üzere 13 ilacı daha geri ödeme listesine aldık.

İlaçların hastalarımıza şifa olmasını temenni eder, vatandaşlarımıza sağlıklı bir ömür dilerim.https://sgk.gov.tr/Duyuru/Detay/20232-Donem-Tibbi-ve-Ekonomik-Degerlendirme-Komisyonu-Kararlarina-Istinaden-Bedeli-Odenecek-Ilaclar-Listesinde-Yapilan-Duzenlemeler-Hakkinda-Duyuru-2024-02-01-07-18-03…",546,218,435,30K,[],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1753312461560611288,tweet_id:1753312461560611288,https://pbs.twimg.com/media/GFUEYqqW8AA6Sb1?format=jpg&name=small,5.0,5.0
6,T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-02-01T15:46:40.000Z,1.0,Bakanımız  ’ın Türkiye Emekliler Derneği Ziyareti#EmeklilerYılı,828,227,478,59K,['#EmeklilerYılı'],['@isikhanvedat'],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1753082447825178658,tweet_id:1753082447825178658,https://pbs.twimg.com/amplify_video_thumb/1753082155561881600/img/14EWnT5CA1tH7KGH.jpg,6.0,6.0
7,Recep Tayyip Erdoğan,@RTErdogan,2024-02-01T11:51:28.000Z,1.0,Diyanet Akademisi Başkanlığı 1'inci Dönem Aday Din Görevlileri Mezuniyet Merasimi,1.2K,3.9K,11K,481K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753023254590079032,tweet_id:1753023254590079032,,7.0,7.0
8,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-02-01T07:37:12.000Z,1.0,"“Bâkî kalan bu kubbede bir hoş sadâ imiş”

Geride bıraktığı eserleri hala gönlümüzde. Kıymetli sanatçımız #BarışManço’yu özlem ve rahmetle anıyorum.",423,136,481,29K,['#BarışManço'],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1752959267429052474,tweet_id:1752959267429052474,https://pbs.twimg.com/media/GFPDKB2X0AAhHB9?format=jpg&name=small,8.0,8.0
9,Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-31T15:47:21.000Z,1.0,Türkiye Kamu Çalışanları Kalkınma ve Dayanışma Vakfı Genel Başkanı Sayın Ebubekir Korkmaz’ı ve kıymetli Yönetim Kurulu’nu Bakanlığımızda ağırladık.,1.1K,213,577,43K,[],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1752720229908558122,tweet_id:1752720229908558122,https://pbs.twimg.com/media/GFLpwZLXgAAHu78?format=jpg&name=small,9.0,9.0
