,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,Mehmet Fatih KACIR,@mfatihkacir,2024-01-10T17:28:33.000Z,1.0,"“O iş bizde.”

Gurur Duy Türkiye! ",249.0,1.4K,7.4K,822K,[],[],"['\\U0001f680', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1745135554721632653,tweet_id:1745135554721632653,https://pbs.twimg.com/amplify_video_thumb/1745135348873641984/img/wb_L15hYpj7ofOrC.jpg,0.0,0.0
1,AA Canlı,@AACanli,2024-02-02T14:51:04.000Z,1.0, Türkiye'nin ilk astronotu Alper Gezeravcı'nın da içinde yer aldığı Ax-3 ekibi için Uluslararası Uzay İstasyonu'nda uğurlama töreni düzenleniyor Töreni Türkçe simultane çeviri eşliğinde Anadolu Ajansı hesaplarından izleyin,9.0,44,139,17K,[],[],"['\\U0001f468\\U0001f3fb\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1664696090799624194/dKye9wqA_normal.jpg,https://twitter.com/AACanli/status/1753430842485989776,tweet_id:1753430842485989776,,1.0,1.0
2,Mehmet Fatih KACIR,@mfatihkacir,2024-02-02T14:33:04.000Z,1.0,,13.0,67,401,27K,[],[],['\\u23f0'],https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753426312142762287,tweet_id:1753426312142762287,https://pbs.twimg.com/media/GFVr7ytWIAA65SS?format=jpg&name=small,2.0,2.0
3,Mehmet Fatih KACIR,@mfatihkacir,2024-01-10T17:28:33.000Z,1.0,"“O iş bizde.”

Gurur Duy Türkiye! ",249.0,1.4K,7.4K,822K,[],[],"['\\U0001f680', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1745135554721632653,tweet_id:1745135554721632653,https://pbs.twimg.com/amplify_video_thumb/1745135348873641984/img/wb_L15hYpj7ofOrC.jpg,3.0,3.0
4,Mehmet Fatih KACIR,@mfatihkacir,2024-02-02T13:59:53.000Z,1.0,,4.0,54,242,16K,[],[],[],https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753417962210414754,tweet_id:1753417962210414754,https://pbs.twimg.com/media/GFU4HvqW0AAzRho?format=jpg&name=360x360,4.0,4.0
5,Mehmet Fatih KACIR,@mfatihkacir,2024-02-02T13:20:39.000Z,1.0,,3.0,37,139,4.3K,['#TürkUzayBilimMisyonu'],[],"['\\U0001f52c', '\\U0001f9ea', '\\U0001f9ec', '\\U0001f9eb', '\\U0001f9d1\\u200d\\U0001f680']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753408088516800774,tweet_id:1753408088516800774,https://pbs.twimg.com/media/GFVbW47WwAAemj_?format=jpg&name=360x360,5.0,5.0
6,Mehmet Fatih KACIR,@mfatihkacir,2024-02-02T12:39:49.000Z,1.0,,7.0,67,522,12K,[],[],[],https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753397812228718697,tweet_id:1753397812228718697,https://pbs.twimg.com/media/GFVSA_UXEAAyO6s?format=jpg&name=small,6.0,6.0
7,Mehmet Fatih KACIR,@mfatihkacir,2024-02-02T08:50:10.000Z,1.0,,40.0,41,234,7.8K,['#TürkUzayBilimMisyonu'],[],"['\\U0001f52c', '\\U0001f9ea', '\\U0001f9ec', '\\U0001f9eb', '\\U0001f9d1\\u200d\\U0001f680']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753340017311993899,tweet_id:1753340017311993899,https://pbs.twimg.com/media/GFUdczLWcAAucuI?format=jpg&name=360x360,7.0,7.0
8,Türkiye Uzay Ajansı,@tuajans,2024-02-02T07:05:08.000Z,1.0,"Türkiye’nin ilk Astronotu , Hatay Nuri Üysen Ortaokulu’nda deprem bölgesinde eğitimlerini sürdüren öğrencilerimizin sorularını yanıtladı.",3.0,72,388,25K,[],['@TURKastro'],[],https://pbs.twimg.com/profile_images/1717521600264675328/ck66kZe7_normal.jpg,https://twitter.com/tuajans/status/1753313585973846096,tweet_id:1753313585973846096,,8.0,8.0
9,Mehmet Fatih KACIR,@mfatihkacir,2024-02-02T07:00:26.000Z,1.0,"Bugün 17:50’de Uluslararası Uzay İstasyonu’nda “Veda Töreni” düzenlenecek.

Artık bizim de istasyonda adımız, uzayda izimiz var. ",7.0,111,739,43K,[],[],"['\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1753312402681073715,tweet_id:1753312402681073715,https://pbs.twimg.com/media/GFTFWDkWsAEK2sz?format=jpg&name=small,9.0,9.0
