,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Unnamed: 0
0,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T11:46:51.000Z,1.0,,0,8,18,528,[],['@namikgorentr'],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753384484068642874,tweet_id:1753384484068642874,0.0
1,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T11:22:45.000Z,1.0,,9,19,63,3.3K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753378417221800219,tweet_id:1753378417221800219,1.0
2,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T11:00:54.000Z,1.0,,19,13,47,3K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753372917230874683,tweet_id:1753372917230874683,2.0
3,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T09:27:29.000Z,1.0,,7,23,86,4.6K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753349407674700095,tweet_id:1753349407674700095,3.0
4,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T08:46:53.000Z,1.0,,30,50,136,31K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753339190811787313,tweet_id:1753339190811787313,4.0
5,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T07:48:23.000Z,1.0,#Canlı | 2024 Yılı Ocak Ayı Dış Ticaret Rakamları Açıklaması,16,41,130,7.6K,['#Canlı'],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753324468397879407,tweet_id:1753324468397879407,5.0
6,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T07:23:00.000Z,1.0,,9,26,130,5K,[],['@ersinyazici1'],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753318082377117735,tweet_id:1753318082377117735,6.0
7,T.C. Ticaret Bakanlığı,@ticaret,2024-02-01T16:00:21.000Z,1.0,"Ticaret Bakanlığı Gümrük Muhafaza ekiplerince, Ankara’da bir depoya düzenlenen operasyonda 3 milyon 244 bin Türk Lirası değerinde makaron ele geçirildi.

Olayla ilgili soruşturma Ankara Cumhuriyet Başsavcılığı nezdinde devam ederken, 1 kişi tutuklanarak cezaevine sevk edildi.",6,45,200,12K,[],[],[],https://pbs.twimg.com/profile_images/1665304758846980098/EfSr7TH-_normal.jpg,https://twitter.com/ticaret/status/1753085889721270503,tweet_id:1753085889721270503,7.0
8,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-01T15:08:26.000Z,1.0,,33,46,216,10K,[],['@TOBBiletisim'],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753072825642909765,tweet_id:1753072825642909765,8.0
9,Recep Tayyip Erdoğan,@RTErdogan,2024-02-01T11:51:28.000Z,1.0,Diyanet Akademisi Başkanlığı 1'inci Dönem Aday Din Görevlileri Mezuniyet Merasimi,1.2K,3.7K,10K,456K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753023254590079032,tweet_id:1753023254590079032,9.0
