,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,TBMM,@TBMMresmi,2024-02-01T18:20:39.000Z,1.0,"Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, Türkiye Foto Muhabirleri Derneği’nin TBMM Tören Salonu’nda düzenlediği “Yılın Basın Fotoğrafları 2024 Ödül Töreni ve Deprem Fotoğrafları Sergisi”ne katıldı.",131.0,31.0,160.0,14K,[],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753121195900211607,tweet_id:1753121195900211607,0.0,0.0,0.0
1,TBMM,@TBMMresmi,2024-02-01T16:33:13.000Z,1.0,"#CANLIYAYIN  Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, Türkiye Foto Muhabirleri Derneği tarafından düzenlenen Yılın Basın Fotoğrafları Ödül Töreni'nde konuşuyor",16.0,9.0,72.0,12K,['#CANLIYAYIN'],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753094162084409759,tweet_id:1753094162084409759,1.0,1.0,1.0
2,TBMM,@TBMMresmi,2024-02-01T15:46:07.000Z,1.0,"Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, 20 ilden gelen Anadolu Sivil Toplum Platformu temsilcilerini kabul etti.",36.0,32.0,201.0,19K,[],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753082308691624228,tweet_id:1753082308691624228,2.0,2.0,2.0
3,TBMM,@TBMMresmi,2024-02-01T13:52:44.000Z,1.0,"Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, Gençlik ve Spor Bakanlığı bünyesinde I. Meclis'te gerçekleştirilen ""Diplomat Akademi Kampı Kapanış Dersi""nde öğrencilerle bir araya geldi.",27.0,21.0,148.0,15K,[],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753053773910474932,tweet_id:1753053773910474932,3.0,3.0,3.0
4,TBMM,@TBMMresmi,2024-02-01T11:17:11.000Z,1.0,"#CANLIYAYIN  Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, Gençlik ve Spor Bakanlığı bünyesinde 1. Meclis'te gerçekleştirilen ""Diplomat Akademi Kampı Kapanış Dersi""nde konuşuyor",21.0,17.0,126.0,12K,['#CANLIYAYIN'],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753014627414556877,tweet_id:1753014627414556877,4.0,4.0,4.0
5,TBMM,@TBMMresmi,2024-02-01T16:33:13.000Z,1.0,"#CANLIYAYIN  Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, Türkiye Foto Muhabirleri Derneği tarafından düzenlenen Yılın Basın Fotoğrafları Ödül Töreni'nde konuşuyor",16.0,9.0,72.0,12K,['#CANLIYAYIN'],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753094162084409759,tweet_id:1753094162084409759,5.0,5.0,5.0
6,TBMM,@TBMMresmi,2024-02-01T15:46:07.000Z,1.0,"Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, 20 ilden gelen Anadolu Sivil Toplum Platformu temsilcilerini kabul etti.",36.0,32.0,201.0,19K,[],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753082308691624228,tweet_id:1753082308691624228,6.0,6.0,6.0
7,TBMM,@TBMMresmi,2024-02-01T18:20:39.000Z,1.0,"Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, Türkiye Foto Muhabirleri Derneği’nin TBMM Tören Salonu’nda düzenlediği “Yılın Basın Fotoğrafları 2024 Ödül Töreni ve Deprem Fotoğrafları Sergisi”ne katıldı.",131.0,31.0,161.0,14K,[],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1753121195900211607,tweet_id:1753121195900211607,7.0,7.0,7.0
8,Numan Kurtulmuş,@NumanKurtulmus,2024-01-31T21:20:43.000Z,1.0,Birleşik Arap Emirlikleri programımız ,214.0,100.0,602.0,55K,[],[],['\\U0001f1e6\\U0001f1ea'],https://pbs.twimg.com/profile_images/1652758532771414024/VD5ZGvGF_normal.jpg,https://twitter.com/NumanKurtulmus/status/1752804122875535413,tweet_id:1752804122875535413,8.0,8.0,8.0
9,TBMM,@TBMMresmi,2024-01-31T19:41:07.000Z,1.0,"Türkiye Büyük Millet Meclisi Başkanımız Numan Kurtulmuş, Birleşik Arap Emirlikleri (BAE) Devlet Başkanı Yardımcısı, Başbakan ve Dubai Emiri Şeyh Muhammed bin Raşid Al Mektum ile görüştü.",23.0,30.0,220.0,19K,[],[],[],https://pbs.twimg.com/profile_images/1664929283091968003/qvjE32UN_normal.jpg,https://twitter.com/TBMMresmi/status/1752779060218917225,tweet_id:1752779060218917225,9.0,9.0,9.0
