,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-02-03T13:08:42.000Z,1.0,,5,19,67,7.7K,[],[],['\\U0001f5d3\\ufe0f'],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1753767466818298367,tweet_id:1753767466818298367,https://pbs.twimg.com/media/GFaiNpdWAAAtgAa?format=jpg&name=small,,
1,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-02-03T13:30:59.000Z,1.0, Yaralarımızı sarmak için sosyal yardımlara yönelik neler yaptık?#AsrınBirlikteliği,1,6,23,3.7K,['#AsrınBirlikteliği'],[],['\\U0001f4cc'],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1753773078000148620,tweet_id:1753773078000148620,https://pbs.twimg.com/media/GFanUF-WUAAjW9p?format=jpg&name=small,,
2,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-02-03T14:02:45.000Z,1.0, Yaralarımızı sarmak için çocuklara yönelik neler yaptık?#AsrınBirlikteliği,2,6,19,1.6K,['#AsrınBirlikteliği'],[],['\\U0001f4cc'],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1753781070921666892,tweet_id:1753781070921666892,https://pbs.twimg.com/media/GFaulbFWUAArDz-?format=jpg&name=small,,
3,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-02-02T16:42:13.000Z,1.0,,170.0,182.0,546,39K,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1753458813720481900,tweet_id:1753458813720481900,,0.0,0.0
4,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-02-02T15:23:28.000Z,1.0,,19.0,50.0,164,9.9K,[],[],[],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1753438993788678173,tweet_id:1753438993788678173,https://pbs.twimg.com/media/GFV3bZFWgAEC5lI?format=jpg&name=360x360,1.0,1.0
5,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-02-02T13:57:53.000Z,1.0,,14.0,40.0,154,7.9K,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1753417459346898998,tweet_id:1753417459346898998,https://pbs.twimg.com/media/GFVj2ImWMAEIzh9?format=jpg&name=360x360,2.0,2.0
6,T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-01-31T10:30:54.000Z,1.0,,49.0,116.0,341,19K,[],[],[],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1752640594202005673,tweet_id:1752640594202005673,https://pbs.twimg.com/ext_tw_video_thumb/1752640488757248000/pu/img/hYY4LDW3-TKkSPiu.jpg,3.0,3.0
7,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-30T19:09:51.000Z,1.0,,208.0,239.0,832,41K,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1752408802375205026,tweet_id:1752408802375205026,https://pbs.twimg.com/amplify_video_thumb/1752408591636533249/img/nVDxdkcJMW0v6MQX.jpg,4.0,4.0
8,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-30T16:49:10.000Z,1.0,,119.0,233.0,606,39K,[],[],"['\\u2b07\\ufe0f', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1752373399832113679,tweet_id:1752373399832113679,https://pbs.twimg.com/amplify_video_thumb/1752373330256998408/img/d942I98igJMJCNq2.jpg,5.0,5.0
9,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-30T14:39:14.000Z,1.0,,109.0,183.0,701,34K,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1752340699058454990,tweet_id:1752340699058454990,https://pbs.twimg.com/media/GFGQkuSXQAAbDBv?format=jpg&name=360x360,6.0,6.0
10,Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-29T10:38:04.000Z,1.0,Sosyal medya üzerinden aldığım bir davet vesilesiyle çok özel bir haneye misafir oldum.Minik yavrumuza can bağıyla bağlı olan Ayşegül Hanım nezdinde koşulsuz sevgileriyle yavrularımıza sıcacık bir yuva olan tüm koruyucu ailelerimize minnetle…,136.0,224.0,1.2K,52K,[],[],['\\U0001f90d'],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1751917622097002626,tweet_id:1751917622097002626,https://pbs.twimg.com/media/GFAPyh_XUAAAWkh?format=jpg&name=small,7.0,7.0
