,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0
0,Recep Tayyip Erdoğan,@RTErdogan,2024-02-03T14:42:09.000Z,True,"Hatay’da depremin ilk anından itibaren devlet-millet el ele yaptığımız, asrın birlikteliğini ortaya koyan çalışmaları kısaca hatırlayalım…",139,558,1.6K,44K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753790984394051939,tweet_id:1753790984394051939,https://pbs.twimg.com/media/GFablVTWEAEKkKX.jpg,,,
1,Recep Tayyip Erdoğan,@RTErdogan,2024-02-03T13:55:11.000Z,True,Hatay Deprem Konutları Kura ve Anahtar Teslim Töreni,282,1.1K,2.8K,125K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753779167089263073,tweet_id:1753779167089263073,,0.0,,
2,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-03T12:18:50.000Z,True,"Cumhurbaşkanımız  ve eşi Emine Erdoğan, tedavi gördüğü hastanede hayatını kaybeden yazar ve mütefekkir Alev Alatlı'nın cenaze törenine katıldı.",52,205,1.1K,58K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753754919713001729,tweet_id:1753754919713001729,https://pbs.twimg.com/media/GFaWtdJXIAAAGKm?format=jpg&name=small,1.0,,
3,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-02T18:22:45.000Z,True,"Cumhurbaşkanımız , İsveç Başbakanı Ulf Kristersson ile bir telefon görüşmesi gerçekleştirdi.

Görüşmede, İsveç'in NATO üyelik süreci, terörle mücadele, Türkiye-İsveç ilişkileri ile bölgesel ve küresel konular ele alındı. 

Cumhurbaşkanımız Erdoğan, Türkiye'nin NATO'ya üyeliklerinin gerçekleşmesi sonrası İsveç’in, müttefiklik ruhuna uygun biçimde üçlü muhtıradan kaynaklanan yükümlülüklerini yerine getireceğine inandığını ifade etti.

Cumhurbaşkanımız Erdoğan, iki ülkenin Güvenlik Alanında İşbirliği Mekanizması’nı işletmeye başlatması gerektiğini ve İsveç’in terörle mücadelede Türkiye’ye gerekli desteği vermesinin önemli olduğunu söyledi.",233,306,1.3K,127K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753484115456758217,tweet_id:1753484115456758217,,2.0,0.0,
4,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-02T17:07:06.000Z,True,“Bu yola Büyük Türkiye idealini gerçeğe dönüştürmek gayesiyle çıktık” https://tccb.gov.tr/haberler/410/150971/-bu-yola-buyuk-turkiye-idealini-gercege-donusturmek-gayesiyle-ciktik-…,111,162,667,38K,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753465074495201503,tweet_id:1753465074495201503,https://pbs.twimg.com/media/GFWPMGOWwAA05CA?format=jpg&name=small,3.0,1.0,0.0
5,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-02T15:33:59.000Z,True,"Emine Erdoğan, ""Büyüklerimiz Değerlerimiz Projesi""nin tanıtımına katıldı https://tccb.gov.tr/haberler/410/150970/emine-erdogan-buyuklerimiz-degerlerimiz-projesi-nin-tanitimina-katildi…",73,203,865,49K,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753441643628290264,tweet_id:1753441643628290264,https://pbs.twimg.com/media/GFV54LFWoAEQMJy?format=jpg&name=360x360,4.0,2.0,1.0
6,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T14:28:47.000Z,True,Sivil Toplum Kuruluşlarıyla Buluşma Programı,589,1.9K,5.3K,209K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753425236026961984,tweet_id:1753425236026961984,,5.0,3.0,2.0
7,Recep Tayyip Erdoğan,@RTErdogan,2024-02-02T13:45:15.000Z,True,"Vefatını derin bir teessürle öğrendiğimiz Alev Alatlı hocamıza Allah’tan rahmet diliyorum. 

Ülkemizin son dönemde yetiştirdiği en önemli münevverlerden, tarihten bugüne ve geleceğe tespitle beraber teklif de üreten, perspektifler sunabilen, Cumhurbaşkanlığı Kültür ve Sanat Büyük Ödülü sahibi Alev Alatlı hocamız, eserleri ve fikirleriyle aramızda yaşamaya devam edecektir. 

Kıymetli Alev hocamızın ailesine, sevenlerine, okurlarına ve milletimize başsağlığı diliyorum.",567,4.2K,17K,508K,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1753414276591628545,tweet_id:1753414276591628545,https://pbs.twimg.com/media/GFVfWXvXYAAeOAp?format=jpg&name=small,6.0,4.0,3.0
8,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-02T17:07:06.000Z,True,“Bu yola Büyük Türkiye idealini gerçeğe dönüştürmek gayesiyle çıktık” https://tccb.gov.tr/haberler/410/150971/-bu-yola-buyuk-turkiye-idealini-gercege-donusturmek-gayesiyle-ciktik-…,111,162,668,38K,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753465074495201503,tweet_id:1753465074495201503,https://pbs.twimg.com/media/GFWPMGOWwAA05CA?format=jpg&name=small,7.0,5.0,4.0
9,T.C. Cumhurbaşkanlığı,@tcbestepe,2024-02-02T15:33:59.000Z,True,"Emine Erdoğan, ""Büyüklerimiz Değerlerimiz Projesi""nin tanıtımına katıldı https://tccb.gov.tr/haberler/410/150970/emine-erdogan-buyuklerimiz-degerlerimiz-projesi-nin-tanitimina-katildi…",73,203,865,49K,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1753441643628290264,tweet_id:1753441643628290264,https://pbs.twimg.com/media/GFV54LFWoAEQMJy?format=jpg&name=360x360,8.0,6.0,5.0
