,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Unnamed: 0.1,Unnamed: 0
0,Yusuf Tekin,@Yusuf__Tekin,2024-02-02T11:57:54.000Z,1.0,"Bir büyüğümüzü, ablamızı kaybettik.

80 yıllık yaşamına sığdırdığı birçok eseriyle fikir dünyamızı derinden etkileyen; ait olduğu aziz milletini, toprağını ve medeniyetini ilerilere taşıma gayreti ve münevver şahsiyetiyle çalışmalarını sürdüren Alev Alatlı ablamızın vefat haberini büyük bir teessürle öğrendim.

Alev Alatlı’ya yüce Allah’tan rahmet, ailesine ve yakınlarına başsağlığı diliyorum.

Mekânı cennet olsun inşallah.",17.0,42.0,153,35K,[],[],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1753387261108846916,tweet_id:1753387261108846916,0.0,
1,Millî Eğitim Bakanlığı,@tcmeb,2024-02-01T14:29:23.000Z,1.0,"Bir maarif elçisiydi Barış Manço!

Çocuklarımız onun şarkılarından öğrendi bayramlarda erken kalkmayı…
Onun şarkıları öğütledi çocuklarımıza okumayı, insanı sevmeyi, cana hürmeti…

“Değer”imiz #BarışManço’yu vefat yıl dönümünde rahmet ve özlemle anıyoruz.",26.0,319.0,1.3K,75K,['#BarışManço'],[],[],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1753062997080121767,tweet_id:1753062997080121767,1.0,0.0
2,Millî Eğitim Bakanlığı,@tcmeb,2024-02-01T09:00:12.000Z,1.0,“2024 Yılı İlköğretim ve Ortaöğretim Kurumları Bursluluk Sınavı”na (İOKBS) İlişkin Sıkça Sorulan Soruların Cevapları Yayımlandı http://meb.ai/UxyOIur,56.0,348.0,771,121K,[],[],['\\U0001f449'],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1752980156338069703,tweet_id:1752980156338069703,2.0,1.0
3,Millî Eğitim Bakanlığı,@tcmeb,2024-01-31T16:43:07.000Z,1.0,,78.0,151.0,687,81K,[],['@Yusuf__Tekin'],[],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1752734265043829017,tweet_id:1752734265043829017,3.0,2.0
4,Millî Eğitim Bakanlığı,@tcmeb,2024-02-01T14:29:23.000Z,1.0,"Bir maarif elçisiydi Barış Manço!

Çocuklarımız onun şarkılarından öğrendi bayramlarda erken kalkmayı…
Onun şarkıları öğütledi çocuklarımıza okumayı, insanı sevmeyi, cana hürmeti…

“Değer”imiz #BarışManço’yu vefat yıl dönümünde rahmet ve özlemle anıyoruz.",26.0,319.0,1.3K,75K,['#BarışManço'],[],[],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1753062997080121767,tweet_id:1753062997080121767,4.0,3.0
5,Millî Eğitim Bakanlığı,@tcmeb,2024-01-31T15:55:34.000Z,1.0,"Millî Eğitim Bakanı , Azerbaycan’daki Programı Kapsamında Başbakan Ali Esedov ile Bir Araya Geldi.

Bakan Tekin ardından Bakü Bilim Merkezi, Bakü Uluslararası Maarif Okulu ve Bakü Türk Anadolu Lisesini ziyaret etti.http://meb.ai/UoCEhpg",27.0,109.0,444,56K,[],['@Yusuf__Tekin'],['\\U0001f449'],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1752722296526012513,tweet_id:1752722296526012513,5.0,4.0
6,Millî Eğitim Bakanlığı,@tcmeb,2024-01-31T09:50:03.000Z,1.0,,119.0,156.0,627,66K,[],"['@Yusuf__Tekin', '@EminAmrullayev']",[],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1752630314365595869,tweet_id:1752630314365595869,6.0,5.0
7,Millî Eğitim Bakanlığı,@tcmeb,2024-01-31T08:41:34.000Z,1.0,"Millî Eğitim Bakanı , Resmî Temaslarda Bulunmak Üzere Bulunduğu Bakü'de, Azerbaycan'ın bir Önceki Cumhurbaşkanı Haydar Aliyev'in Kabri ile Türk ve Azerbaycan Şehitliklerini Ziyaret Ettihttp://meb.ai/Uv3JCBG",90.0,135.0,528,58K,[],['@Yusuf__Tekin'],['\\U0001f449'],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1752613076774314243,tweet_id:1752613076774314243,7.0,6.0
8,Millî Eğitim Bakanlığı,@tcmeb,2024-01-31T08:35:43.000Z,1.0,Millî Eğitim Bakanlığı “2024-2028 Stratejik Planı” Yayımlandıhttp://meb.ai/l0OuAh,187.0,465.0,1K,305K,[],[],['\\U0001f449'],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1752611605202739300,tweet_id:1752611605202739300,8.0,7.0
9,Millî Eğitim Bakanlığı,@tcmeb,2024-01-31T07:00:30.000Z,1.0,,52.0,217.0,461,52K,[],[],['\\U0001f4fd\\ufe0f'],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1752587643743822224,tweet_id:1752587643743822224,9.0,8.0
