,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Photo Link,Unnamed: 0.1,Unnamed: 0
0,A Para,@apara_tv,2024-02-03T13:05:00.000Z,True, Türk pamuğuna DNA’lı takip  Ticaret Bakanlığı’nın hazırladığı taslak tebliğle pamukta DNA barkodlu kimliklendirme yapılacak.  Tekstilde Türkiye’nin rekabet gücünün artırılması için pamuk üretiminde standartlaşma sağlanacak.,0,2,12,2.7K,[],[],"['\\U0001f534', '\\U0001f4cc', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1628498045766709248/3eg1mI-l_normal.jpg,https://twitter.com/apara_tv/status/1753766536362500605,tweet_id:1753766536362500605,https://pbs.twimg.com/amplify_video_thumb/1753763994974703616/img/hHT_t3v6aYxXGll8.jpg,,
1,T.C. Ticaret Bakanlığı,@ticaret,2024-02-03T08:43:16.000Z,True,"Ticaret Bakanlığı Gümrük Muhafaza ekiplerince, Gürbulak Gümrük Kapısında yürütülen uyuşturucu operasyonunda 6 kilo 168 gram sıvı metamfetamin ele geçirildi.

Konuyla ilgili tahkikat Doğubayazıt Cumhuriyet Başsavcılığı nezdinde devam etmekte olup, şüpheli şahıs çıkarıldığı Mahkemece tutuklanarak cezaevine gönderildi.",0,13,45,2.5K,[],[],[],https://pbs.twimg.com/profile_images/1665304758846980098/EfSr7TH-_normal.jpg,https://twitter.com/ticaret/status/1753700668433420433,tweet_id:1753700668433420433,https://pbs.twimg.com/amplify_video_thumb/1753700592269033472/img/hucZWDZWIYSNOCta.jpg,0.0,
2,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T16:39:13.000Z,True,"Malatya organize sanayi bölgesinde yer alan bölge sanayisinin gelişimi ve kalkınmasında önemli faaliyetlerde bulunan Talu Tekstil fabrikasını ziyaret ederek fabrikada hali hazırda bulunan işçi kardeşlerimiz ile sohbet ettik. 

Talu Tekstil Yüksek kalite, çevre bilinci ve enerji dostu bir üretim felsefesi ile yılda ortalama 13 milyon adet ürünü, 7 ülkede 20’den fazla markaya ihraç gerçekleştirerek, katma değerli üretim anlayışı ile ülke ekonomimize katkıda bulunmaktadır. 

Bölge ekonomisi ve refah seviyesinin artması için yatırımları teşvik edecek politikaları uygulayarak sanayicimizin, iş insanımızın, üreticimizin yanında olmaya devam edeceğiz.",3,17,73,4.2K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753458060079542585,tweet_id:1753458060079542585,https://pbs.twimg.com/media/GFWIzyaWYAER2Ws?format=jpg&name=360x360,1.0,0.0
3,T.C. Ticaret Bakanlığı,@ticaret,2024-02-02T15:36:25.000Z,True,"Türkiye-Yunanistan Karma Ekonomik Komisyonu 6’ncı Dönem Toplantısı, Ticaret Bakan Yardımcımız Mustafa Tuzcu ve Yunanistan Dışişleri Bakan Yardımcısı Konstantinos Fragkogiannis başkanlığında İstanbul’da gerçekleştirildi. 

Sayın Cumhurbaşkanımızın Atina ziyareti sırasında kararlaştırılan KEK toplantısında, Türkiye ve Yunanistan'ın ticaret ve karşılıklı yatırımları ile gümrükler, enerji, sanayi ve turizm alanındaki çok yönlü ekonomik ilişkileri ele alındı ve bu doğrultuda önümüzdeki dönemde atılabilecek somut adımları içeren KEK Protokolü imzalandı.

Toplantı marjında iki ülke iş insanlarının geniş ve güçlü katılımları ile gerçekleştirilen İş Forumu'nda da iki ülke Devlet Başkanlarınca ortaya konulan 10 milyar dolarlık ticaret hedefi doğrultusunda iki ülke iş insanlarıyla ticaretimizin yol haritası tartışıldı.",0,3,26,2.8K,[],[],[],https://pbs.twimg.com/profile_images/1665304758846980098/EfSr7TH-_normal.jpg,https://twitter.com/ticaret/status/1753442255111626842,tweet_id:1753442255111626842,https://pbs.twimg.com/media/GFV6ahGWoAA5PfI?format=jpg&name=360x360,2.0,1.0
4,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T14:43:24.000Z,True,"Malatya’da gerçekleştirdiğimiz programlar çerçevesinde ülkemizi derinden sarsan depremlerin ardından şehrimizde faaliyete geçen ticari konteyner kente ziyarette bulunduk. Hükümetimizin plan ve projeleri kapsamında Malatya’da ekonomik hayatın sağlıklı şekilde sürdürülebilmesi, esnafımızın ve tacirlerimizin ticari hayatlarına devam edebilmesi için faaliyete geçirilen ticari konteyner kentimizde ticaret erbabımızla bir araya geldik.",5,23,102,5K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753428910379765869,tweet_id:1753428910379765869,https://pbs.twimg.com/media/GFVuTCOXgAAdG98?format=jpg&name=360x360,3.0,2.0
5,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T13:46:32.000Z,True,"Turkuvaz Medya Grubu'nun düzenlediği İhracat Seferberliği Zirvesi'nde ihracatçılarımıza hitap etme fırsatı bulmaktan büyük mutluluk duydum.

6 Şubat depremlerinden etkilenen Malatya ilimizin de dahil olduğu deprem bölgesine yönelik, ticari ve ekonomik faaliyetlerin sağlıklı bir şekilde devam edebilmesi için hükümet olarak birçok destek, teşvik ve hibe paketleri hazırlayıp devreye soktuk. Özel sektörün bölgeye yönelik yatırımlarını artıracak uygulamaları ve programları öncelikli hale getirdik.

Yaşanan acı felaketin altından kalkabilmenin yegane yolu güçlü yönetim ve kararlı iradeye bağlıdır. Bu kapsamda; Malatya’mızda gerçekleştirilen bu önemli etkinlik, ülkemizin ihracat potansiyelini artırma ve ekonomik büyümemizi hızlandırma hedeflerimize ulaşmakta bizim için önemli bir yer teşkil ediyor.

Malatya gibi dinamik bir şehrin, bu süreçte önemli bir merkez olacağına ve Türkiye'nin ihracat hedeflerine önemli katkılar sağlayacağına inancımız tam. Tüm sektör temsilcileri ve ihracatçılarımızla birlikte, ülkemizi daha yüksek ihracat rakamlarına taşıyacak seferberliğin bir parçası olmaktan gurur duyuyorum.

Asrın Birlikteliği",8,20,96,6.6K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753414601373356266,tweet_id:1753414601373356266,https://pbs.twimg.com/media/GFVhSL6WMAAdFR1?format=jpg&name=small,4.0,3.0
6,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T11:00:54.000Z,True,"Malatya'da ekonomik kalkınmaya odaklanan, deprem felaketinin yaralarını sarmaya çalışan ve ticaretin gelişimini destekleyen Sivil Toplum Kuruluşlarımızın kıymetli temsilcileri ile bir araya gelmekten büyük mutluluk duydum.

İhracat ve yeniden yapılanma odaklı politikalarımızla Malatya'nın ve ülkemizin refahını artırmaya, yerel ve ulusal ekonomiyi güçlendirmeye adanmış durumdayız. 

Birlik ve beraberliğin vazgeçilmez unsuru olan sivil toplum kuruluşlarının ve iş dünyasının kalkınma açısından üstlendiği rol büyük önem taşımaktadır. İş birliği içinde Türkiye Yüzyılı hedeflerimizi gerçekleştirme yolunda çalışacak, ticaret potansiyelimizi daha da ileriye taşıyarak hem Malatya'mızın hem de ülkemizin parlak geleceğine doğru ilerlemeyi sürdüreceğiz.",22,26,125,5.6K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753372917230874683,tweet_id:1753372917230874683,https://pbs.twimg.com/media/GFU7X1hX0AALgrG?format=jpg&name=small,5.0,4.0
7,AA Ekonomi Finans,@aa_finans,2024-02-02T09:47:38.000Z,True,"Tarihin en yüksek ocak ayı ihracat rekoru kırıldıSon 12 aylık ihracat da 256,5 milyar dolar ile yeni rekor seviyesine ulaştıİşte ihracat verilerinin grafiklere yansımasıhttp://v.aa.com.tr/3125665",0,5,15,5K,[],[],"['\\U0001f1f9\\U0001f1f7', '\\U0001f3af', '\\U0001f4ca', '\\U0001f447']",https://pbs.twimg.com/profile_images/1676240579305299968/pGdh2eOa_normal.jpg,https://twitter.com/aa_finans/status/1753354481528402353,tweet_id:1753354481528402353,https://pbs.twimg.com/media/GFUqC3AXYAA7Mwn?format=jpg&name=small,6.0,5.0
8,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T09:27:29.000Z,True,"2024 yılının ilk Dış Ticaret Verileri Toplantısını Malatya’da gerçekleştirdik. Kaynaklarımızı etkin, verimli ve katma değerli alanlara yönlendirerek, hem ihracatımızı artıracak hem de ekonomik büyümemize devam edeceğiz.

İnovasyon-yatırım-üretim-ihracat-istihdam-adil bölüşüm önümüzdeki dönemde temel önceliklerimiz olurken, şehirlerimizin büyümesi, kalkınması ekonomik refaha toplumsal olarak ulaşması Ticaret Bakanlığı olarak öncelikli hedefimiz olacaktır. 

Hem Hükümet olarak hem Ticaret Bakanlığı olarak bu ilkeler çerçevesinde Malatya'mıza desteğimiz her zaman devam edecek ve en önemli ticaret şehirlerimizden birisi olacaktır. Bu vesile ile açıkladığımız 2024 yılı Ocak ayı dış ticaret rakamlarımız ülkemize hayırlı olsun.",9,38,132,6K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753349407674700095,tweet_id:1753349407674700095,https://pbs.twimg.com/media/GFUl-G7XQAAVbKj?format=jpg&name=360x360,7.0,6.0
9,Prof. Dr. Ömer Bolat,@omerbolatTR,2024-02-02T08:46:53.000Z,True,"Yeni yılın ilk ayında ihracatımız ekonominin lokomotifi olmaya devam ediyor.

2024 yılı Ocak ayında geçen yılın aynı ayına göre ihracat %3,6 oranında artış göstererek 20 milyar 28 milyon dolara ulaştı. Bu rakam tüm zamanların en yüksek Ocak ayı ihracat rakamı olarak tarihe geçti. 

Bununla birlikte ithalatımız geçen yılın Ocak ayına göre %22,0 oranında azalış göstermiş ve ihracatın ithalatı karşılama oranı 18,9 puan artarak %76,4 olarak gerçekleşmiştir.

Geçtiğimiz yıl yaşadığımız deprem felaketinin ardından hükümetimiz yeniden yapılanma ve afetlere dayanıklı konut inşa etme çalışmalarına vakit kaybetmeden başlamıştır. Bu süreçte, deprem bölgelerindeki yeniden inşa faaliyetlerinin yanı sıra, Malatya başta olmak üzere etkilenen tüm şehirlerimizde ekonomik ve ticari yapının güçlendirilmesi için çeşitli destekler sağlanmıştır.

Küresel ekonomik dalgalanmalar ve pandemi gibi zorluklara rağmen Türkiye'nin ihracat performansının artarak devam ettiğini ve dış ticaret açığımızın azalma eğiliminde olduğunu görmekteyiz. Bu başarı, ülkemizin ekonomik direncini ve küresel pazardaki konumunu güçlendiriyor.

İhracatımızın ve dış ticaret dengemizin olumlu yönde ilerlemesi, ülkemiz ekonomisinin büyüme potansiyelini artırmakta ve cari işlemler açığımızın azaltılmasına katkı sağlamaktadır. Hükümet olarak, ticaret ve ekonomiyi daha da güçlendirme, kaynaklarımızı etkin ve verimli kullanma ve ülkemizi yatırımlar için cazibe merkezi haline getirme çalışmalarımıza devam edeceğiz.",36,77,208,44K,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1753339190811787313,tweet_id:1753339190811787313,https://pbs.twimg.com/media/GFUcsuiWcAABDH7?format=jpg&name=360x360,8.0,7.0
