,Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID,Unnamed: 0.1,Unnamed: 0
0,Yılmaz TUNÇ,@yilmaztunc,2024-02-02T11:22:16.000Z,1.0,"Kültür, sanat ve edebiyat dünyamızın önemli isimlerinden Cumhurbaşkanlığı Kültür ve Sanat Büyük Ödülü sahibi, yazar ve eğitimci Alev Alatlı’ya Allah’tan rahmet, ailesine ve yakınlarına başsağlığı diliyorum.

Mekanı cennet olsun.",10,20.0,110.0,4K,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753378295779893663,tweet_id:1753378295779893663,0.0,0.0
1,Yılmaz TUNÇ,@yilmaztunc,2024-02-02T11:06:31.000Z,1.0,,111,21.0,97.0,4.8K,[],[],"['\\U0001f4f7', '\\U0001f4f7', '\\U0001f4f7']",https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753374331504062569,tweet_id:1753374331504062569,1.0,1.0
2,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T21:57:28.000Z,1.0,,98,61.0,258.0,48K,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753175758997004579,tweet_id:1753175758997004579,2.0,2.0
3,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T20:53:50.000Z,1.0,,529,71.0,423.0,28K,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753159748864692715,tweet_id:1753159748864692715,3.0,3.0
4,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T20:21:13.000Z,1.0,,1.1K,74.0,403.0,21K,['#Bartın'],[],"['\\U0001f539', '\\U0001f539', '\\U0001f539']",https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753151539655352651,tweet_id:1753151539655352651,4.0,4.0
5,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T17:32:32.000Z,1.0,,417,62.0,352.0,17K,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753109090023403854,tweet_id:1753109090023403854,5.0,5.0
6,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T16:12:23.000Z,1.0,,317,63.0,418.0,26K,['#Bartın'],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753088918445064372,tweet_id:1753088918445064372,6.0,6.0
7,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T15:20:42.000Z,1.0,,462,123.0,562.0,33K,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753075910880706581,tweet_id:1753075910880706581,7.0,7.0
8,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T14:13:17.000Z,1.0,"Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın teşrifleriyle gerçekleştirilen Diyanet Akademisi Başkanlığı 1'inci Dönem Aday Din Görevlileri Mezuniyet Merasimi’ne katıldık.

Mezun olan kardeşlerimizi tebrik ediyor, görevlerinde başarılar diliyorum.",334,79.0,441.0,24K,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753058944526766429,tweet_id:1753058944526766429,8.0,8.0
9,Yılmaz TUNÇ,@yilmaztunc,2024-02-01T11:49:14.000Z,1.0,,167,156.0,907.0,202K,[],[],['\\U0001f7e5'],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1753022695451591042,tweet_id:1753022695451591042,9.0,9.0
