Name,Handle,Timestamp,Content
Alparslan Bayraktar,@aBayraktar1,2024-01-25T12:00:16.000Z,"Bugün itibarıyla lisanssız yenilenebilir yatırımları için 7 bin 500 megavatlık ilave kapasiteyi ilan ediyoruz.

Aynı tüketim noktası ve şehirdeki yatırımcılara belli bir kapasiteye kadar öncelik verilecek. Özellikle sanayicilerimiz, başta güneş ve rüzgar olmak üzere yenilenebilir…"
Alparslan Bayraktar,@aBayraktar1,2024-01-24T17:09:39.000Z,"Cumhurbaşkanımız Sayın  ve İran Cumhurbaşkanı Sayın İbrahim Reisi’nin katılımı ile Cumhurbaşkanlığı Külliyesi’nde düzenlenen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi Sekizinci Toplantısı’na iştirak ettik. 

Toplantı sonrasında Bakanlığımız ile İran Petrol…"
Alparslan Bayraktar,@aBayraktar1,2024-01-24T11:43:37.000Z,Cumhurbaşkanımız ve Genel Başkanımız Sayın ‘ın liderliğinde Ankara'yı yeniden eser siyaseti ile buluşturmak için #HazırızKararlıyızAnkara Büyükşehir Belediye Başkan Adayımız Sayın  başta olmak üzere tüm ilçe belediye başkan adaylarımızla Başkentimizi…
Alparslan Bayraktar,@aBayraktar1,2024-01-24T09:59:40.000Z,"Hollanda Büyükelçisi Sayın Joep Wijnands’ı Bakanlığımızda kabul ettik.

İki ülke arasındaki mevcut enerji iş birliklerini değerlendirerek özellikle yeşil enerji dönüşümü kapsamında ortak çalışma imkanlarını ele aldık."
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T16:18:18.000Z,"Mezun olduğum Karadeniz Teknik Üniversitesi'nde ""#UFEST KTÜ’den Başarı Hikayeleri Programı""na katıldık.

Dünümü, bugünümü ve yarınımı gençlerimizle paylaştım.

Ulaşımdan haberleşmeye mega projelerden gelecek için tasarladığımız eserlere kadar birçok konuyu konuştuk.UFEST,…"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T14:26:27.000Z,Ulaşımın her modunun neşe ve keyifle birleştiği yegâne yer; #UFEST'teydik!Eğlencenin ulaştıran yüzü olan festival aracılığıyla Trabzon'da Türkiye Yüzyılı'nın aydınlık gençleriyle buluştuk. #BakanKampüste#TürkiyeHızlanıyor 
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T13:06:33.000Z,"AK Parti Trabzon İl Başkanlığı'nda dava arkadaşlarımızla bir araya geldik.

Trabzon için hep birlikte çalışmaya devam edeceğiz.#TürkiyeHızlanıyor Trabzon"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T16:18:18.000Z,"Mezun olduğum Karadeniz Teknik Üniversitesi'nde ""#UFEST KTÜ’den Başarı Hikayeleri Programı""na katıldık.

Dünümü, bugünümü ve yarınımı gençlerimizle paylaştım.

Ulaşımdan haberleşmeye mega projelerden gelecek için tasarladığımız eserlere kadar birçok konuyu konuştuk.UFEST,…"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T12:18:22.000Z,Ortahisar'dan başlayarak Meydan'da biten bir şehir turu attık.Trabzon
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T10:29:15.000Z,"Trabzon Valiliğini ziyaret ederek Valimiz Sayın Aziz Yıldırım ile makamında bir araya geldik.

Karadeniz'in incisi şehrimizin ihtiyaçları hakkında kendisinden bilgi aldık.

Trabzon'umuz, Türkiye Yüzyılı’nın öncü şehri olmaya devam edecek.Trabzon"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T10:04:41.000Z,"Karadeniz'in en mavisi Trabzon'umuzu daha çevreci, daha erişilebilir bir şehir haline getirmek ve ulaşım ağını daha fonksiyonel kılmak amacıyla tasarlanan ""Trabzon Sürdürülebilir Kentsel Ulaşım Planı Projesi Açılış Töreni""ni gerçekleştirdik. Yenilenebilir, temiz,…"
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T08:09:25.000Z,#Canlı |  Trabzon Sürdürülebilir Kentsel Ulaşım Planı Projesi Açılış Töreni | Trabzon
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T08:01:32.000Z,Karadeniz'in bordo mavisi#Trabzon'dayız.
Abdulkadir URALOĞLU,@a_uraloglu,2024-01-26T06:00:49.000Z,"Ülkemizi kesintisiz, yerli ve millî raylı sistem ağlarıyla donatıyor; Türkiye’nin en derin metro istasyonu ""Gayrettepe - Kağıthane Metro Hattı"" ile metrobüsü ve ulaşımın tüm modlarını İstanbul Havalimanı'na kesintisiz bağlıyoruz! ""Gayrettepe – Kağıthane Metro Hattı’’…"
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T18:57:45.000Z,Güzel İzmir yarın daha güzel olacak. İzmir Şehir Hastanesi açılıyor.
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T16:23:16.000Z,"İnsanlık, adaletin geri dönüşünü bekliyor.
Uluslararası Adalet Divanı, Gazze’de 26 Bin masum insanın ölümüne yol açan insanlık dışı saldırıları sebebi ile İsrail’in soykırım suçlamasıyla yargılanmasına karar verdi, soykırım kapsamındaki fiillerin işlenmesinin önlenmesi için…"
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T15:53:58.000Z,"Dünyaya gelecek yavrumuz için tabiat şartlarıyla mücadele… Ağrı'da yolu kar sebebiyle kapalı bir mezrada yaşayan hastamız, paletli ambulansla alınarak hastaneye ulaştırıldı. Ekiplerimiz, bugünlerde benzer şartlardaki anneler ve yavrularımız için bunu yapmaya hazır."
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T11:37:52.000Z,"Dünyanın ilk 6’lı çapraz karaciğer nakli ameliyatı Malatya İnönü Üniversitesi Karaciğer Nakil Enstitüsünde yapıldı. Daha önce de ilk dörtlü ve beşli çapraz karaciğer nakilleri bu merkezde gerçekleştirilmişti.
 
Çapraz nakil ameliyatları, hastaların vericileri olmasına rağmen kan…"
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T09:39:58.000Z,"Kastamonu Taşköprü Alatarla mevkiinde bir otobüsün devrilmesi sonucu meydana gelen kazada 6 kişi hayatını kaybetmiş, biri ağır 33 kişi yaralanmıştır. Olay yerine görevlendirilen 15 adet ambulans ve 1 UMKE timi ile yararılar hastanelere nakledilmiş olup tedavilerine hızla…"
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-25T13:24:02.000Z,16.04’te Malatya Battalgazi’de 5.2 büyüklüğünde deprem meydana gelmiştir. Ekiplerimiz depremin hissedildiği fakat olumsuz çağrı alınmadığını bildirdiler. Bölgeyi taramak üzere 2 UMKE timi görev başında. Geçmiş olsun Malatya.
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-24T11:15:39.000Z,"Farzımuhal Hastalık. DSÖ’nün verdiği isimle X hastalığı. Gerçek hayatta karşılığı yok. İleride bir gün bir salgın yaşanacak olursa, ona hazırlıksız yakalanmamak için yapılan çalışmalarda teorik anlamda geçiyor. Siz rahat olun. Ve kendinizi soğuk algınlığından koruyun."
