Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Hakan Fidan,@HakanFidan,2024-01-18T18:41:06.000Z,True,"Bugün dost ve kardeş Ürdün'ün başkenti Amman’da; Kral II. Abdullah, Prens Hasan Bin Tallal ve mevkidaşım Eymen Safedi ile görüşmeler gerçekleştirdim.

İstikrarlı yapısıyla Orta Doğu jeopolitiğinde kilit rol oynayan, Kudüs'teki kutsal mekanların hamisi Ürdün'le istişarelere önem…",374,848,4 B,337 B,[],[],[],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1748052912251490471,tweet_id:1748052912251490471
Hakan Fidan,@HakanFidan,2024-01-12T19:48:13.000Z,True,"Şehadete eren kahramanlarımıza Allah’tan rahmet; kıymetli ailelerine, yakınlarına ve aziz milletimize başsağlığı ve sabır diliyorum. Şehitlerimizin mekanları cennet, makamları âli olsun. 

Yaralanan askerlerimizin bir an önce sağlıklarına kavuşmasını Cenab-ı Allah’tan niyaz…",1 B,4 B,24 B,775 B,[],[],[],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1745895477797659130,tweet_id:1745895477797659130
Hakan Fidan,@HakanFidan,2024-01-12T07:29:52.000Z,True,"Pençe-Kilit Operasyonu bölgesinde şehit olan Piyade Uzman Çavuş Samet Aslan’a  Allah’tan rahmet, ailesine ve aziz milletimize başsağlığı, yaralanan askerimize acil şifa diliyorum. ",257,1 B,9 B,441 B,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1745709663612510290,tweet_id:1745709663612510290
Recep Tayyip Erdoğan,@RTErdogan,2024-01-07T13:20:05.000Z,True,"Bugün İstanbul’daki aday açıklama toplantımızı teşrif eden kardeşlerime aşkı, sevdası, salonlara sığmayan muhabbeti için şükranlarımı sunuyorum.

Türkiye Yüzyılı Şehirleri İçin Hazırız, Kararlıyız! …",2 B,8 B,31 B,1 Mn,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1743985859701907863,tweet_id:1743985859701907863
Hakan Fidan,@HakanFidan,2023-12-31T16:01:37.000Z,True,"Cumhuriyetimizin 100’üncü, Hariciyemizin temellerinin atılmasının 500’üncü yılını geride bıraktık.

Uluslararası sistemin belirsizlikler içerdiği ve küresel düzeyde istikrarsızlığın söz konusu olduğu bu dönemde; Sayın Cumhurbaşkanımızın liderliğinde yürüttüğümüz Türkiye eksenli…",501,1 B,10 B,641 B,[],[],[],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1741489796747276450,tweet_id:1741489796747276450
Hakan Fidan,@HakanFidan,2023-12-23T16:50:19.000Z,True,"Pençe-Kilit Harekâtı bölgesinde şehadete eren askerlerimize Allah'tan rahmet, kahramanlarımızın ailelerine ve aziz milletimize başsağlığı, yaralanan askerimize acil şifa diliyorum. ",895,3 B,20 B,725 B,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1738602950723817592,tweet_id:1738602950723817592
Hakan Fidan,@HakanFidan,2023-12-22T19:48:26.000Z,True,"Irak’ın kuzeyinde şehit düşen kahramanlarımıza Allah’tan rahmet, kederli ailelerine sabır ve yaralanan kahramanlarımıza şifa diliyorum. Aziz milletimizin başı sağ olsun. Terör örgütleri ve uzantılarına karşı mücadelemiz kararlılıkla sürecek.",1 B,4 B,24 B,765 B,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1738285388177821726,tweet_id:1738285388177821726
Hakan Fidan,@HakanFidan,2024-01-12T19:48:13.000Z,True,"Şehadete eren kahramanlarımıza Allah’tan rahmet; kıymetli ailelerine, yakınlarına ve aziz milletimize başsağlığı ve sabır diliyorum. Şehitlerimizin mekanları cennet, makamları âli olsun. 

Yaralanan askerlerimizin bir an önce sağlıklarına kavuşmasını Cenab-ı Allah’tan niyaz…",1 B,4 B,24 B,775 B,[],[],[],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1745895477797659130,tweet_id:1745895477797659130
Hakan Fidan,@HakanFidan,2024-01-12T07:29:52.000Z,True,"Pençe-Kilit Operasyonu bölgesinde şehit olan Piyade Uzman Çavuş Samet Aslan’a  Allah’tan rahmet, ailesine ve aziz milletimize başsağlığı, yaralanan askerimize acil şifa diliyorum. ",257,1 B,9 B,441 B,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1688460626199216128/UNO61_DC_normal.jpg,https://twitter.com/HakanFidan/status/1745709663612510290,tweet_id:1745709663612510290
Recep Tayyip Erdoğan,@RTErdogan,2024-01-07T13:20:05.000Z,True,"Bugün İstanbul’daki aday açıklama toplantımızı teşrif eden kardeşlerime aşkı, sevdası, salonlara sığmayan muhabbeti için şükranlarımı sunuyorum.

Türkiye Yüzyılı Şehirleri İçin Hazırız, Kararlıyız! …",2 B,8 B,31 B,1 Mn,[],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1743985859701907863,tweet_id:1743985859701907863
