Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T14:50:12.000Z,True,"Kadına Yönelik Şiddetle Mücadele Veri ve İstatistik İstişare Toplantımızı gerçekleştirdik.

Kadına yönelik şiddet meselesini ülkemizin gündeminden sonsuza kadar çıkarmakta kararlıyız!

Devletimizin tüm kurumları, akademi dünyası, sivil toplum kuruluşları, medya camiası ve diğer…",106,119,432,17 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750893908156932264,tweet_id:1750893908156932264
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,776 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T13:10:36.000Z,True,"Uluslararası Adalet Divanı’nın İsrail’in soykırım suçuyla yargılanmasına yönelik ara kararı umut vericidir.

İsrail ihtiyati tedbir kararına acilen uymalı, durmaksızın gerçekleştirdiği insanlık suçuna bir an önce son vermeli ve insani yardımların önünü açmalıdır.

Yitirilen…",30,106,378,18 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750868843046522927,tweet_id:1750868843046522927
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T08:16:48.000Z,True,"Kastamonu'nun Taşköprü ilçesinde meydana gelen otobüs kazasında hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, yakınlarına baş sağlığı diliyorum.

Yaralı olan vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum. Can kaybımızın artmaması en büyük temennimiz.",23,76,337,14 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750794905473982753,tweet_id:1750794905473982753
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T15:25:55.000Z,True,"Türkiye Harp Malulü Gaziler Şehit Dul ve Yetimleri Derneği Başkanı Sn. Mustafa Işık, Türkiye Muharip Gaziler Derneği
Başkanı Sn. Beyazıt Yumuk ve beraberlerindeki heyeti Bakanlığımızda misafir ettik.

Aziz şehitlerimizin kıymetli emanetlerinin ve kahraman gazilerimizin…",462,198,902,40 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750540507418153226,tweet_id:1750540507418153226
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T14:50:12.000Z,True,"Kadına Yönelik Şiddetle Mücadele Veri ve İstatistik İstişare Toplantımızı gerçekleştirdik.

Kadına yönelik şiddet meselesini ülkemizin gündeminden sonsuza kadar çıkarmakta kararlıyız!

Devletimizin tüm kurumları, akademi dünyası, sivil toplum kuruluşları, medya camiası ve diğer…",106,119,432,17 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750893908156932264,tweet_id:1750893908156932264
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,776 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T13:27:46.000Z,True,"Malatya’da meydana gelen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun. Bakanlık olarak ASYA ve PSD ekiplerimizle vatandaşlarımızın yanındayız.

Rabbim, ülkemizi ve milletimizi her türlü afetten korusun.",37,93,431,18 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750510776220041659,tweet_id:1750510776220041659
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-25T09:18:29.000Z,True,"Ulaştırma ve Altyapı Bakanımız Sayın Abdulkadir Uraloğlu'nu ziyaret ederek, Bakanlıklarımız arası hizmet modellerimizin geliştirilmesi ve muhtemel yeni iş birliği alanlarımıza yönelik değerlendirmelerde bulunduk.

Milletimize hizmet etmek için omuz omuza çalışmaya devam edeceğiz.…",98,111,666,20 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750448039574008104,tweet_id:1750448039574008104
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T17:53:56.000Z,True,Türkiye-İran İş Forumu,1 B,3 B,9 B,348 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750215370101674004,tweet_id:1750215370101674004
