Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-26T10:06:59.000Z,True,"Dostumuz ve komşumuz Gürcistan ile ülkelerimiz arasındaki yakın ilişkileri daha da güçlendirmek üzere yeni bir adım daha attık. 

Gürcistan'ın Başbakan Yardımcısı ve aynı zamanda Kültür ve Spor Bakanı olan Sayın Thea Tsulukiani ile bugün 'da 2024-2028 yılları için…",5,32,191,5 B,[],['@AkmIstanbul'],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1750822636391715179,tweet_id:1750822636391715179
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-25T13:26:45.000Z,True,"Geçmiş olsun Malatya...

Malatya'da meydana gelen ve çevre illerde de hissedilen 5.2 şiddetindeki depremden etkilenen tüm hemşehrilerime ve vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.",5,29,212,11 B,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1750510518375182804,tweet_id:1750510518375182804
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-24T16:46:47.000Z,True,"Cumhurbaşkanımızın ev sahipliğinde  gerçekleşen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi 8. Toplantısı'na katıldık. 

Toplantının ardından İran Kültür ve İslamî İrşad Bakanı Sayın Mohammad Mehdi Esmaili ile ülkelerimiz arasında gerçekleştirilebilecek kültür, sanat ve turizm…",6,32,234,10 B,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1750198472463061149,tweet_id:1750198472463061149
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T15:59:50.000Z,True,İran Cumhurbaşkanı İbrahim Reisi ile Anlaşmaların İmza Töreni ve Ortak Basın Toplantısı,921,3 B,10 B,423 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750186655112126942,tweet_id:1750186655112126942
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-24T14:14:57.000Z,True,"Ülkemizden kaçırılan eserleri ait olduğu topraklara geri getirmeye devam ediyoruz!

Ülkemizden yasadışı yollarla çıkartılan 10 pişmiş toprak eserimiz İtalyan Kültür Polisi tarafından Floransa'da yakalanarak Roma Büyükelçimiz Sayın Ömer Gücük ve Bakanlığımız yetkililerine teslim…",8,63,343,17 B,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1750160263410487475,tweet_id:1750160263410487475
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-26T10:06:59.000Z,True,"Dostumuz ve komşumuz Gürcistan ile ülkelerimiz arasındaki yakın ilişkileri daha da güçlendirmek üzere yeni bir adım daha attık. 

Gürcistan'ın Başbakan Yardımcısı ve aynı zamanda Kültür ve Spor Bakanı olan Sayın Thea Tsulukiani ile bugün 'da 2024-2028 yılları için…",5,32,191,5 B,[],['@AkmIstanbul'],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1750822636391715179,tweet_id:1750822636391715179
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-25T13:26:45.000Z,True,"Geçmiş olsun Malatya...

Malatya'da meydana gelen ve çevre illerde de hissedilen 5.2 şiddetindeki depremden etkilenen tüm hemşehrilerime ve vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.",5,29,212,11 B,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1750510518375182804,tweet_id:1750510518375182804
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-24T16:46:47.000Z,True,"Cumhurbaşkanımızın ev sahipliğinde  gerçekleşen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi 8. Toplantısı'na katıldık. 

Toplantının ardından İran Kültür ve İslamî İrşad Bakanı Sayın Mohammad Mehdi Esmaili ile ülkelerimiz arasında gerçekleştirilebilecek kültür, sanat ve turizm…",6,32,234,10 B,[],[],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1750198472463061149,tweet_id:1750198472463061149
Mehmet Nuri Ersoy,@MehmetNuriErsoy,2024-01-22T19:19:00.000Z,True,AK Parti Antalya Büyükşehir Belediye Başkan Adayımız Sayın  ve Antalya Milletvekillerimiz ile şehrimizin ilçe aday adaylarıyla bir araya geldik.  #YenidenAntalya #HazırızKararlıyız,49,87,415,21 B,"['#YenidenAntalya', '#HazırızKararlıyız']",['@HTutuncu'],[],https://pbs.twimg.com/profile_images/1152892677014347776/Bl6rim4G_normal.jpg,https://twitter.com/MehmetNuriErsoy/status/1749512003863859245,tweet_id:1749512003863859245
TV100,@tv100,2024-01-19T18:15:12.000Z,True,": Galata Kulesi’ndeki şu andaki durum nedir?: Galata Kulesi çok başarılı bir restorasyondan geçti. Orada biliyorsunuz başka sıkıntılar vardı. Çökme vs. gibi. Bakın dünyanın en önemli yapılarından birisine sahipsiniz kafeterya, restoran, personel…",34,12,106,34 B,[],"['@ctisik', '@MehmetNuriErsoy']","['\\U0001f5e3\\ufe0f', '\\U0001f5e3\\ufe0f']",https://pbs.twimg.com/profile_images/1623782620063490051/R-RqQyoR_normal.png,https://twitter.com/tv100/status/1748408782923637234,tweet_id:1748408782923637234
