Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Merkez Bankası,@Merkez_Bankasi,2024-01-25T11:39:24.000Z,True,25 Ocak 2024 Tarihli PPK Kararı: http://tcmb.tl/tta38e8,26,58,197,40 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1750483504628891925,tweet_id:1750483504628891925
Merkez Bankası,@Merkez_Bankasi,2024-01-25T11:47:36.000Z,True,Menkul Kıymet İstatistikleri: http://tcmb.tl/vdd53f4,4,18,70,36 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1750485569514229782,tweet_id:1750485569514229782
Merkez Bankası,@Merkez_Bankasi,2024-01-25T11:46:08.000Z,True,Haftalık Para ve Banka İstatistikleri: http://tcmb.tl/t9f3bb1,6,10,42,21 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1750485196925780087,tweet_id:1750485196925780087
Merkez Bankası,@Merkez_Bankasi,2024-01-25T11:00:29.000Z,True,25 Ocak 2024 Tarihli PPK Kararı: 1 hafta vadeli repo ihale faiz oranı 250 baz puan artırıldı.,87,265,778,821 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1750473711986016422,tweet_id:1750473711986016422
Merkez Bankası,@Merkez_Bankasi,2024-01-25T07:12:41.000Z,True,İmalat Sanayi Kapasite Kullanım Oranı – Ocak 2024: http://tcmb.tl/H409785,6,7,43,29 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1750416381995008464,tweet_id:1750416381995008464
Merkez Bankası,@Merkez_Bankasi,2024-01-25T07:07:15.000Z,True,İktisadi Yönelim İstatistikleri ve Reel Kesim Güven Endeksi – Ocak 2024: http://tcmb.tl/F22415a,7,8,46,26 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1750415014702305712,tweet_id:1750415014702305712
Merkez Bankası,@Merkez_Bankasi,2024-01-24T07:05:15.000Z,True,Finansal Hizmetler İstatistikleri ve Finansal Hizmetler Güven Endeksi – Ocak 2024: http://tcmb.tl/bi0c6ab,6,5,29,23 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1750052124346487062,tweet_id:1750052124346487062
Merkez Bankası,@Merkez_Bankasi,2024-01-19T07:13:24.000Z,True,Uluslararası Yatırım Pozisyonu - Kasım 2023: http://tcmb.tl/xfad611,28,7,46,27 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1748242236838420552,tweet_id:1748242236838420552
Merkez Bankası,@Merkez_Bankasi,2024-01-19T07:09:55.000Z,True,Piyasa Katılımcıları Anketi — Ocak 2024: http://tcmb.tl/j992c0b,19,9,44,27 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1748241361021612086,tweet_id:1748241361021612086
Merkez Bankası,@Merkez_Bankasi,2024-01-18T11:37:48.000Z,True,Haftalık Para ve Banka İstatistikleri: http://tcmb.tl/t9f3bb1,30,18,47,28 B,[],[],[],https://pbs.twimg.com/profile_images/1668165926703837184/VmLKanS7_normal.png,https://twitter.com/Merkez_Bankasi/status/1747946384748110098,tweet_id:1747946384748110098
