Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Alparslan Bayraktar,@aBayraktar1,2024-01-25T12:00:16.000Z,True,"Bugün itibarıyla lisanssız yenilenebilir yatırımları için 7 bin 500 megavatlık ilave kapasiteyi ilan ediyoruz.

Aynı tüketim noktası ve şehirdeki yatırımcılara belli bir kapasiteye kadar öncelik verilecek. Özellikle sanayicilerimiz, başta güneş ve rüzgar olmak üzere yenilenebilir…",37,216,759,223 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750488757134925873,tweet_id:1750488757134925873
T.C. Enerji ve Tabii Kaynaklar Bakanlığı,@TCEnerji,2024-01-25T07:00:12.000Z,True,288 MW kurulu gücü ile Türkiye’nin en büyük rüzgar enerjisi santrali Soma RES.,8,63,208,13 B,[],[],[],https://pbs.twimg.com/profile_images/1665685804180557824/w7KK3v6Y_normal.jpg,https://twitter.com/TCEnerji/status/1750413242868854847,tweet_id:1750413242868854847
Alparslan Bayraktar,@aBayraktar1,2024-01-24T17:09:39.000Z,True,"Cumhurbaşkanımız Sayın  ve İran Cumhurbaşkanı Sayın İbrahim Reisi’nin katılımı ile Cumhurbaşkanlığı Külliyesi’nde düzenlenen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi Sekizinci Toplantısı’na iştirak ettik. 

Toplantı sonrasında Bakanlığımız ile İran Petrol…",4,50,357,16 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750204226448335235,tweet_id:1750204226448335235
Alparslan Bayraktar,@aBayraktar1,2024-01-24T09:59:40.000Z,True,"Hollanda Büyükelçisi Sayın Joep Wijnands’ı Bakanlığımızda kabul ettik.

İki ülke arasındaki mevcut enerji iş birliklerini değerlendirerek özellikle yeşil enerji dönüşümü kapsamında ortak çalışma imkanlarını ele aldık.",6,39,233,11 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750096019147141290,tweet_id:1750096019147141290
T.C. Enerji ve Tabii Kaynaklar Bakanlığı,@TCEnerji,2024-01-24T07:55:31.000Z,True,"Avrupa’nın en büyüğü olan Karapınar Güneş Enerjisi Santrali 3,5 milyon güneş paneli ile yıllık 3 milyar kilovatsaat elektrik üretebiliyor.",7,88,291,12 B,[],[],[],https://pbs.twimg.com/profile_images/1665685804180557824/w7KK3v6Y_normal.jpg,https://twitter.com/TCEnerji/status/1750064772756746653,tweet_id:1750064772756746653
T.C. Enerji ve Tabii Kaynaklar Bakanlığı,@TCEnerji,2024-01-25T07:00:12.000Z,True,288 MW kurulu gücü ile Türkiye’nin en büyük rüzgar enerjisi santrali Soma RES.,8,63,208,13 B,[],[],[],https://pbs.twimg.com/profile_images/1665685804180557824/w7KK3v6Y_normal.jpg,https://twitter.com/TCEnerji/status/1750413242868854847,tweet_id:1750413242868854847
Alparslan Bayraktar,@aBayraktar1,2024-01-24T17:09:39.000Z,True,"Cumhurbaşkanımız Sayın  ve İran Cumhurbaşkanı Sayın İbrahim Reisi’nin katılımı ile Cumhurbaşkanlığı Külliyesi’nde düzenlenen Türkiye-İran Yüksek Düzeyli İş Birliği Konseyi Sekizinci Toplantısı’na iştirak ettik. 

Toplantı sonrasında Bakanlığımız ile İran Petrol…",4,50,357,16 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1750204226448335235,tweet_id:1750204226448335235
Alparslan Bayraktar,@aBayraktar1,2024-01-23T16:32:20.000Z,True,"Venezuela Büyükelçisi Sayın Freddy Eduardo Molina Gutierrez'i Bakanlığımızda kabul ettik. 

Önümüzdeki hafta Venezuela’ya yapacağımız ziyaret öncesi enerji ve madencilik alanında iki ülke arasındaki enerji iş birliği imkanlarını ele aldık.",3,43,281,11 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1749832445849907431,tweet_id:1749832445849907431
Alparslan Bayraktar,@aBayraktar1,2024-01-23T14:42:20.000Z,True,"İran Cumhurbaşkanı Sayın İbrahim Reisi’nin Ankara ziyareti öncesi İran Petrol Bakanı Sayın Javad Owji ve beraberindeki heyet ile Bakanlığımızda bir araya geldik.

Derin ilişkilere sahip olduğumuz İran ile enerji alanındaki iş birliğimizi daha da ileri taşıma konusundaki…",5,53,291,12 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1749804767143207300,tweet_id:1749804767143207300
Alparslan Bayraktar,@aBayraktar1,2024-01-23T09:20:18.000Z,True,"Birleşik Arap Emirlikleri Yatırım Bakanı ve ADQ CEO'su Sayın Mohamed Hassan Alsuwaidi ile Bakanlığımızda bir araya geldik.

Görüşmemizde, geçtiğimiz yıl iki ülke arasında imzalanan enerji anlaşmalarının somutlaştırılmasına yönelik izlenecek yol haritasını ele aldık.

Enerji…",20,58,326,18 B,[],[],[],https://pbs.twimg.com/profile_images/1718013433096867840/3LOQre8O_normal.jpg,https://twitter.com/aBayraktar1/status/1749723724192866643,tweet_id:1749723724192866643
