Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mehmet Fatih KACIR,@mfatihkacir,2024-01-26T20:24:45.000Z,True,"#TEKNOFEST kuşağının ufku uzayda…

Heyecanla, inançla, coşkuyla…#GururDuyTürkiye ",6,58,384,21 B,"['#TEKNOFEST', '#GururDuyTürkiye']",[],"['\\U0001f680', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750978099867500806,tweet_id:1750978099867500806
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T18:42:50.000Z,True,"Bakanımız Sayın , Türkiye’nin Uzay Misyonu hakkında merak edilenleri   özel yayınında cevaplıyor.  / Bursa  #CanlıYayın",4,41,143,11 B,['#CanlıYayın'],"['@mfatihkacir', '@trthaber', '@guhemas']","['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750952453418225863,tweet_id:1750952453418225863
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T18:40:01.000Z,True,"Bakanımız Sayın , Türkiye’nin Uzay Misyonu hakkında merak edilenleri  özel yayınında cevaplıyor.@guhemas/Bursa  #CanlıYayın",1,11,55,4 B,['#CanlıYayın'],"['@mfatihkacir', '@trthaber']","['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750951742823375246,tweet_id:1750951742823375246
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T18:10:37.000Z,True,"Bakanımız Sayın , Türkiye’nin Uzay Misyonu hakkında merak edilenleri   özel yayınında cevaplıyor.@guhemas/Bursa  #CanlıYayın",3,13,77,8 B,['#CanlıYayın'],"['@mfatihkacir', '@trthaber']","['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750944346906501253,tweet_id:1750944346906501253
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T17:28:22.000Z,True,"Bakanımız Sayın , bu akşam  ekranlarında canlı yayın konuğu olacak.  21:00",23,21,132,9 B,[],"['@mfatihkacir', '@trthaber']","['\\U0001f4e1', '\\U0001f558']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750933711476945167,tweet_id:1750933711476945167
TÜBİTAK,@Tubitak,2024-01-26T12:27:34.000Z,True," Ankara Kızılay Meydanı ve İstanbul Taksim Meydanında kurduğumuz planetaryumlarda, ilk astronotumuzun uzay yolculuğu heyecanını yaşatmaya devam ediyoruz!  Bilim Misyonuna dair video gösterimi Uzay ve astronomi hakkında söyleşiler Ödüllü bilgi yarışmaları…",0,14,110,12 B,[],[],"['\\U0001f52e', '\\U0001f468\\u200d\\U0001f680', '\\U0001f3ac', '\\U0001f30c', '\\U0001f465']",https://pbs.twimg.com/profile_images/1717536092600074240/w4ezyite_normal.jpg,https://twitter.com/Tubitak/status/1750858013227798779,tweet_id:1750858013227798779
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T14:46:25.000Z,True,"Bakanımız Sayın , Uluslararası Uzay İstasyonu'ndaki Türkiye'nin ilk Astronotu Alper Gezeravcı ile Canlı Bağlantı  
 / Bursa 
  #CanlıYayın",15,117,447,43 B,['#CanlıYayın'],"['@mfatihkacir', '@guhemas']","['\\U0001f680', '\\U0001f1f9\\U0001f1f7', '\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750892956951695428,tweet_id:1750892956951695428
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T13:56:07.000Z,True,"Bakanımız Sayın , Kompozit Malzeme ve Teknik Tekstil Prototip Üretim ve Uygulama Merkezi Açılış Töreni açıklamalarda bulunuyor.Osmangazi  #CanlıYayın",2,33,155,9 B,['#CanlıYayın'],['@mfatihkacir'],"['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750880296482783642,tweet_id:1750880296482783642
Mehmet Fatih KACIR,@mfatihkacir,2024-01-26T08:47:27.000Z,True,"#TürkUzayBilimMisyonu Deney 5: ALGALSPACE

Türk Uzay Bilim Misyonundaki onüç deneyden biri olan ALGALSPACE deneyi ile;

“Antarktika Ulusal Bilim Seferinde toplanan mikroalglerin uzay koşullarında üretimi mümkün mü?”

sorusunun cevabı aranıyor.",7,79,485,38 B,"['#TürkUzayBilimMisyonu', '']",[],"['\\U0001f52c', '\\U0001f9ea', '\\U0001f33f', '\\U0001f9eb', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750802619302363324,tweet_id:1750802619302363324
Mehmet Fatih KACIR,@mfatihkacir,2024-01-25T17:19:16.000Z,True,"#TürkUzayBilimMisyonu Deney 4: VOKALKORD

Türk Uzay Bilim Misyonundaki onüç deneyden biri olan VOKALKORD deneyi ile;

“Mikro yerçekimi ortamında ortaya çıkan rahatsızlıklar sesteki frekans değişimleri ile tespit edilebilir mi?“

sorusunun cevabı aranıyor.…",7,92,524,22 B,['#TürkUzayBilimMisyonu'],[],"['\\U0001f52c', '\\U0001f39a\\ufe0f', '\\U0001f9d1\\u200d\\U0001f680']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750569034821542066,tweet_id:1750569034821542066
