Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T18:49:05.000Z,True,Türkiye olarak bölgesel ve küresel su gündeminde aktif olarak çalışmalarımızı sürdüreceğiz.17 Şubat’ta İstanbul’da düzenlenecek olan Dünya Su Konseyi 86. Guvernörler Toplantısı’na dair detayları Türkiye Su Enstitüsü’nden arkadaşlarımızla ele aldık. ,23,38,180,10 B,[],['@SUEN_gov'],"['\\U0001f4a7', '\\U0001f4ac']",https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750954024382132538,tweet_id:1750954024382132538
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T12:39:55.000Z,True,"9 milyar 374 milyon 88 bin TL tarımsal destekleme ödemesini bugün çiftçilerimizin hesaplarına aktarıyoruz.

Hayırlı ve bereketli olsun.",537,252,582,75 B,[],[],['\\U0001f331'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750861123388068343,tweet_id:1750861123388068343
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T12:28:20.000Z,True,"Tecrübe ve bilgi birikimiyle ülkemizin su politikalarının hayata geçirilmesinde öncü kurumumuz olan  teşkilatımızın kıymetli üyeleriyle İstanbul’da bir araya geldik.

Hem bugünümüz hem de geleceğimiz için büyük öneme sahip suyumuzu etkin kullanarak ve koruyarak,…",41,73,319,14 B,[],['@dsigovtr'],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750858205427626321,tweet_id:1750858205427626321
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T18:49:05.000Z,True,Türkiye olarak bölgesel ve küresel su gündeminde aktif olarak çalışmalarımızı sürdüreceğiz.17 Şubat’ta İstanbul’da düzenlenecek olan Dünya Su Konseyi 86. Guvernörler Toplantısı’na dair detayları Türkiye Su Enstitüsü’nden arkadaşlarımızla ele aldık. ,23,38,180,10 B,[],['@SUEN_gov'],"['\\U0001f4a7', '\\U0001f4ac']",https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750954024382132538,tweet_id:1750954024382132538
İbrahim Yumaklı,@ibrahimyumakli,2024-01-25T13:51:27.000Z,True,"Malatya’nın Battalgazi ilçesinde meydana gelen ve çevre illerden de hissedilen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.

Rabb'im, ülkemizi ve milletimizi her türlü afetten muhafaza eylesin.",15,50,253,17 B,[],[],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750516734883180591,tweet_id:1750516734883180591
Su Verimliliği Seferberliği,@suverimliligiTR,2024-01-25T12:51:09.000Z,True,"Azalt/Yeniden Kullan/Değiştir stratejileri gün içinde kolayca uygulayabileceğiniz tedbirleri kapsar.
Elinizi sabunlarken suyu kapatmak, meyve, sebzeleri su dolu bir kapta yıkayarak biriktirdiğimiz suyu uygun alanlarda yeniden kullanmak, akıtan sızdıran tesisatı tamir…",0,67,133,6 B,[],[],[],https://pbs.twimg.com/profile_images/1695030042525396992/DGgNwu1B_normal.jpg,https://twitter.com/suverimliligiTR/status/1750501559098544389,tweet_id:1750501559098544389
Milli Parklar,@milliparklar,2024-01-25T08:06:23.000Z,True,"Kısa adı KOSKS olan Kış Ortası Su Kuşu Sayımları’na başladık.Her yıl, su kuşlarının mevsimsel göç hareketlerinin en az olduğu, sulak alanlarda kümelendikleri 15 Ocak-15 Şubat tarihleri arasında, gönüllü gözlemcilerin de katılımıyla yüzlerce türden milyonlarca su…",4,77,278,11 B,[],[],"['\\U0001f426', '\\U0001f986', '\\U0001fabf', '\\U0001f9a4', '\\U0001f4cc', '\\U0001f52d']",https://pbs.twimg.com/profile_images/1631548953685635072/FE0GzukO_normal.jpg,https://twitter.com/milliparklar/status/1750429896315109428,tweet_id:1750429896315109428
T.C. Tarım ve Orman Bakanlığı,@TCTarim,2024-01-25T07:24:25.000Z,True,#SudaSıfırKayıp hedefiyle başlattığımız Seferberlikte ‘Su Gönüllüsü’ sevgili çocuklarımızla birlikte daha güçlüyüz.  #SuVerimliliği Seferberliği kapsamında miniklerimize yönelik eğitim dökümanlarına ulaşmak için http://suverimliligi.gov.tr/cocuklar-icin/,16,121,308,11 B,"['#SudaSıfırKayıp', '#SuVerimliliği']",['@tcmeb'],"['\\U0001f467\\U0001f3fb', '\\U0001f466\\U0001f3fb', '\\U0001f447\\U0001f3fb', '\\U0001f517']",https://pbs.twimg.com/profile_images/1720066060555030528/dhucT10M_normal.jpg,https://twitter.com/TCTarim/status/1750419335560991145,tweet_id:1750419335560991145
Tarımsal Araştırmalar ve Politikalar Genel Md.,@TAGEM_ANKARA,2024-01-24T12:47:23.000Z,False,"Bakanlığımız Ar-Ge Destek Programı kapsamında, özel sektör, STK, üniversiteler ve TÜBİTAK Ar-Ge Birimlerinin başvurabileceği 19. Proje Çağrısına çıkılmıştır. Proje çağrı ilanına https://tarimorman.gov.tr/TAGEM/Menu/82/Ar-Ge-Destek-Programi… web adresinden ulaşılabilecektir.   ",1,47,105,11 B,[],"['@TCTarim', '@Tubitak', '@TUBITAK_MAM']",[],https://pbs.twimg.com/profile_images/1633466757435514888/KnuaYIzK_normal.jpg,https://twitter.com/TAGEM_ANKARA/status/1750138226122108976,tweet_id:1750138226122108976
Çanakkale İl Tarım ve Orman Müdürlüğü,@canakkaletom,2024-01-24T09:04:59.000Z,False,Çan İlçe Müdürlüğümüz Hayvan Sağlığı Birimi ve İlçe Jandarma Komutanlığı ile ortaklaşa olarak ''Hayvan Hareketleri  ve Su Ürünleri  Yol Kontrolü'' denetimi gerçekleştirildi.,0,11,60,6 B,[],[],[],https://pbs.twimg.com/profile_images/1747595661481029632/vMZbGr2G_normal.jpg,https://twitter.com/canakkaletom/status/1750082256826159318,tweet_id:1750082256826159318
