Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-26T15:31:15.000Z,True,"Cumhurbaşkanımız , NATO Genel Sekreteri Jens Stoltenberg ile bir telefon görüşmesi gerçekleştirdi.

Görüşmede, küresel ve bölgesel meseleler ve Türkiye'nin İsveç'in NATO üyeliğine verdiği onay ele alındı.",85,244,1 B,98 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750904240220856508,tweet_id:1750904240220856508
T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-01-26T15:04:35.000Z,True,Uluslararası Adalet Divanı’nın İsrail’in Gazze’ye Yönelik Saldırılarına İlişkin Açıkladığı İhtiyati Tedbir Kararı Hk. http://mfa.gov.tr/no_-16_-uluslararasi-adalet-divani-nin-israil-in-gazze-ye-yonelik-saldirilarina-iliskin-acikladigi-ihtiyati-tedbir-karari-hk.tr.mfa…,20,235,0,34 B,[],[],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1750897528780820582,tweet_id:1750897528780820582
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,778 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-26T13:45:07.000Z,True,"Cumhurbaşkanımız , İngiltere Dışişleri Bakanı David Cameron'u Vahdettin Köşkü'nde kabul etti.",144,436,2 B,128 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750877529743687919,tweet_id:1750877529743687919
T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-01-26T11:17:29.000Z,True,"Bakan Yardımcımız Yasin Ekrem Serim, Çalışma ve Sosyal Güvenlik Bakan Yardımcısı Faruk Özçelik ve Göç İdaresi Başkanı Atilla Toros ile Bakanlığımızda biraraya gelmiştir.

Görüşmede, kurumlararası Göç Kurulu Toplantısı öncesinde ortak çalışma konuları değerlendirilmiştir.",2,25,192,11 B,[],[],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1750840377278419258,tweet_id:1750840377278419258
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,778 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-01-26T09:22:43.000Z,True,"Bakanımız , Birleşik Krallık Dışişleri Bakanı David Cameron'u İstinye’deki İstanbul Temsilciliğimizde ağırladı.",34,205,1 B,85 B,[],['@HakanFidan'],"['\\U0001f1f9\\U0001f1f7', '\\U0001f1ec\\U0001f1e7']",https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1750811493950476612,tweet_id:1750811493950476612
T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-01-26T06:29:06.000Z,True,Kariyer memurluğu (Meslek Memuru) sınavı başvuruları bugün sona eriyor! İnternet sitemizi ziyaret ederek başvuru yapabilirsinhttps://mfa.gov.tr/tc-disisleri-bakanligi-aday-meslek-memurlugu-giris-sinavi-duyurusu--25-aralik-2023.tr.mfa…#KöklüGeçmiştenParlakGeleceğe#AsırlarınDiplomasiBirikimi,3,105,217,29 B,"['#KöklüGeçmiştenParlakGeleceğe', '#AsırlarınDiplomasiBirikimi']",[],"['\\u231b', '\\U0001f447', '\\U0001f517']",https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1750767803940946004,tweet_id:1750767803940946004
T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-01-25T17:37:17.000Z,True,"""Gazze'nin geleceği sadece ve sadece Filistinlilere aittir.""",116,1 B,4 B,108 B,[],[],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1750573570382557368,tweet_id:1750573570382557368
T.C. Dışişleri Bakanlığı,@TC_Disisleri,2024-01-25T16:31:12.000Z,True,24-25 Ocak 2024 Tarihlerinde Astana’da Düzenlenen Suriye Konulu Yüksek Düzeyli Toplantı Hk. http://mfa.gov.tr/no_-15_-24-25-ocak-2024-tarihlerinde-astana-da-duzenlenen-suriye-konulu-yuksek-duzeyli-toplanti-hk.tr.mfa…,3,67,282,16 B,[],[],[],https://pbs.twimg.com/profile_images/1664958236930310149/MoyKa-LH_normal.jpg,https://twitter.com/TC_Disisleri/status/1750556938205647117,tweet_id:1750556938205647117
