Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T15:58:06.000Z,True,"Bağcılar Belediye Başkanlığımızı ziyaret ettik.

Belediyemizin eğitime dair çalışmaları hakkında Başkanımız Abdullah Özdemir'den bilgiler aldık.

Konukseverliklerinden dolayı Bağcılar Belediye Başkanı 'e teşekkür ediyorum.#HazırızKararlıyız",767,103,463,352 B,['#HazırızKararlıyız'],['@abdullahozdemir'],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750910997064253813,tweet_id:1750910997064253813
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,777 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T13:57:07.000Z,True,"Bağcılar'dayız.

Bağcılar ilçemizde Ateştuğla Kütüphanesinin açılış törenine katıldık.

Ait olduğumuz kültür ve medeniyetin ilerlemesi, çocuklarımızın bilime meraklı, kültüre sevdalı nesiller olarak yetişmesi maarif anlayışımızın temelleri  arasındadır. Bu bilinçle yerel…",783,137,533,448 B,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750880550087283063,tweet_id:1750880550087283063
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T11:18:53.000Z,True,"Bugün kadim şehir #İstanbul'da Zeytinburnu Bilgi Evi'nin açılışını gerçekleştirerek evlatlarımızın hizmetine sunduk.

Bakanlık olarak çocuklarımız ve gençlerimizin bilgiye ulaşmasını kolaylaştırmak, eğitim çalışmalarını rahatlıkla yapabilecekleri ortamları sağlamak ve…",1 B,167,615,458 B,['#İstanbul'],[],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750840730631754121,tweet_id:1750840730631754121
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T09:41:30.000Z,True,"“Türkiye Yüzyılı”nı yükseltecek öğretmenlerimizle hasbihâlimizi, yarıyıl tatilinde de devam ettirerek sohbet adresimizi dünya kentimiz, güzel İstanbul’umuzla taçlandırıp “Boğaziçi Öğretmenler Buluşması” gerçekleştirdik.

Katılım sağlayan meslektaşlarıma teşekkür ederim.",781,239,993,442 B,[],[],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750816222474641701,tweet_id:1750816222474641701
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T15:58:06.000Z,True,"Bağcılar Belediye Başkanlığımızı ziyaret ettik.

Belediyemizin eğitime dair çalışmaları hakkında Başkanımız Abdullah Özdemir'den bilgiler aldık.

Konukseverliklerinden dolayı Bağcılar Belediye Başkanı 'e teşekkür ediyorum.#HazırızKararlıyız",767,103,463,352 B,['#HazırızKararlıyız'],['@abdullahozdemir'],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750910997064253813,tweet_id:1750910997064253813
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,777 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T13:57:07.000Z,True,"Bağcılar'dayız.

Bağcılar ilçemizde Ateştuğla Kütüphanesinin açılış törenine katıldık.

Ait olduğumuz kültür ve medeniyetin ilerlemesi, çocuklarımızın bilime meraklı, kültüre sevdalı nesiller olarak yetişmesi maarif anlayışımızın temelleri  arasındadır. Bu bilinçle yerel…",783,137,533,448 B,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750880550087283063,tweet_id:1750880550087283063
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T07:20:57.000Z,True,"Bugün sabah saatlerinde İstanbul-Sinop seferini yapan şehirler arası yolcu otobüsünün Kastamonu çıkışında kaza yaptığını üzülerek öğrendim.

Yaşanan elim trafik kazasında yaşamını kaybeden vatandaşlarımıza yüce Allah'tan rahmet, yaralılara acil şifalar diliyorum.",40,103,483,140 B,[],[],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750780850516447251,tweet_id:1750780850516447251
Yusuf Tekin,@Yusuf__Tekin,2024-01-26T06:02:17.000Z,True,"Yarıyıl tatilinin ilk haftasını tamamladık. Eğitim ailesi olarak, okul koridorlarının çocuklarımızın neşeli sesleriyle dolacağı günü heyecanla bekliyoruz.

Bizler de geleceğimizin teminatı olan gençlerimizi güçlü bir tarihi ve kültürel donanımla geleceğe hazırlamak, bilimin…",1 B,298,1 B,486 B,[],[],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750761055540666865,tweet_id:1750761055540666865
