Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Cevdet Yılmaz,@_cevdetyilmaz,2024-01-26T18:57:10.000Z,True,"Sancaktepe Belediyemizin ev sahipliğinde; Doğu ve Güneydoğu Anadolu kanaat önderleri ve hemşehrilerimizle bir araya gelerek hem hasret giderdik hem de çalışmalarımızı ve projelerimizi istişare etme imkânı bulduk. 

31 Mart’ta yapılacak yerel seçimlerle birlikte bütüncül bir bakış…",382,111,510,21 B,[],[],[],https://pbs.twimg.com/profile_images/1666373680102875137/63RCxJiE_normal.jpg,https://twitter.com/_cevdetyilmaz/status/1750956059764666734,tweet_id:1750956059764666734
Cevdet Yılmaz,@_cevdetyilmaz,2024-01-26T17:27:24.000Z,True,Doğu ve Güneydoğu Anadolu Hemşehri BuluşmasıSancaktepe,249,113,500,17 B,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1666373680102875137/63RCxJiE_normal.jpg,https://twitter.com/_cevdetyilmaz/status/1750933468140437975,tweet_id:1750933468140437975
Cevdet Yılmaz,@_cevdetyilmaz,2024-01-26T15:21:17.000Z,True,"Uluslararası Adalet Divanı’nın bugün verdiği kararla İsrail’in, Gazze’de yaptığı soykırımdan dolayı yargılanacağı kesinleşti. 

İnsanlık vicdanında çoktan hüküm giyenler, yaptıkları zulmün hesabını uluslararası mahkemeler önünde de verecektir.
İsrail’in soykırımdan yargılandığı…",79,111,515,22 B,[],[],[],https://pbs.twimg.com/profile_images/1666373680102875137/63RCxJiE_normal.jpg,https://twitter.com/_cevdetyilmaz/status/1750901732392018037,tweet_id:1750901732392018037
Cevdet Yılmaz,@_cevdetyilmaz,2024-01-26T08:26:58.000Z,True,"Anadolu Ajansı muhabirleri ve foto muhabirlerinin 2023 boyunca yurt içinde ve yurt dışında çektikleri fotoğrafları inceleyerek “Yılın Kareleri” yarışması için oylamaya katılarak;

•Haber kategorisinde;  ""Dolunay ve Akıncı""

•Çevre-Yaşam kategorisinde ""İlk Kıblede Namaz""

•Spor…",470,188,1 B,41 B,[],[],[],https://pbs.twimg.com/profile_images/1666373680102875137/63RCxJiE_normal.jpg,https://twitter.com/_cevdetyilmaz/status/1750797462783066245,tweet_id:1750797462783066245
Cevdet Yılmaz,@_cevdetyilmaz,2024-01-26T07:26:56.000Z,True,"Kastamonu’da bir yolcu otobüsünün devrilmesi sonucu meydana gelen kazada hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, ailelerine başsağlığı, yaralılarımıza acil şifalar diliyorum.",48,66,446,23 B,[],[],[],https://pbs.twimg.com/profile_images/1666373680102875137/63RCxJiE_normal.jpg,https://twitter.com/_cevdetyilmaz/status/1750782357739639197,tweet_id:1750782357739639197
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-25T18:20:36.000Z,True,"MGK Bildirisi: “Millî güvenliğimize temel teşkil eden hususlardan biri olan savunma sanayiindeki başarılarımızın yanı sıra uzayda attığımız adımlarla taçlandırılan bilim ve teknolojideki atılımlarımızın, yarınların teminatı olan çocuklarımızın hayalleri, gençlerimizin azmi ve…",223,536,2 B,99 B,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750584470321741961,tweet_id:1750584470321741961
Cevdet Yılmaz,@_cevdetyilmaz,2024-01-25T13:22:52.000Z,True,"#Malatya Battalgazi’de meydana gelen depremden etkilenen vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum. İlgili kurumlarımız sahada çalışmalarını gerçekleştirmektedir. 
İlk belirlemelere göre olumsuz bir durum bulunmamaktadır. 

Rabbim ülkemizi ve milletimizi her türlü…",139,113,786,49 B,['#Malatya'],[],[],https://pbs.twimg.com/profile_images/1666373680102875137/63RCxJiE_normal.jpg,https://twitter.com/_cevdetyilmaz/status/1750509541056225753,tweet_id:1750509541056225753
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T17:53:56.000Z,True,Türkiye-İran İş Forumu,1 B,3 B,9 B,348 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750215370101674004,tweet_id:1750215370101674004
Cevdet Yılmaz,@_cevdetyilmaz,2024-01-24T12:58:13.000Z,True,Ankara için #HazırızKararlıyızAnkara ilçe belediye başkan adaylarımız hayırlı olsun. #AnkaraBizimHepimizin,1 B,272,1 B,51 B,"['#HazırızKararlıyız', '#AnkaraBizimHepimizin']",[],[],https://pbs.twimg.com/profile_images/1666373680102875137/63RCxJiE_normal.jpg,https://twitter.com/_cevdetyilmaz/status/1750140952440627495,tweet_id:1750140952440627495
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T08:59:22.000Z,True,AK Parti Ankara İlçe Belediye Başkan Adayları Tanıtım Toplantısı,1 B,4 B,11 B,541 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750080843291213991,tweet_id:1750080843291213991
