Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-25T11:33:50.000Z,True,"Adalet Bakanımız Sayın Yılmaz Tunç, ‘Yeni Anayasa Genel Değerlendirme Çalıştayı’na katıldı. https://adalet.gov.tr/adalet-bakani-yilmaz-tunc-yeni-anayasa-genel-degerlendirme-calistayi-nda-konustu…",322,37,278,27 B,[],[],['\\u27a1\\ufe0f'],https://pbs.twimg.com/profile_images/1665292242397937664/5gWLDGZv_normal.jpg,https://twitter.com/adalet_bakanlik/status/1750482105165901966,tweet_id:1750482105165901966
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-25T08:03:54.000Z,True,"#Canlı Yayın Adalet Bakanımız Sayın Yılmaz Tunç, Yeni Anayasa Genel Değerlendirme Çalıştayı'nda konuşuyor.",339,82,437,47 B,['#Canlı'],[],['\\U0001f4e1'],https://pbs.twimg.com/profile_images/1665292242397937664/5gWLDGZv_normal.jpg,https://twitter.com/adalet_bakanlik/status/1750429272294961251,tweet_id:1750429272294961251
Yılmaz TUNÇ,@yilmaztunc,2024-01-24T13:04:41.000Z,True," İstanbul Beykent Üniversitesi Start-Up Hukuk Kulübü, Beykent Hukuk Kulübü ve Uluslararası Hukuk Kulübü öğrencilerimizi Bakanlığımızda ağırlamaktan mutluluk duydum.

Pırıl pırıl gençlerimiz, adalete en iyi şekilde hizmet edecek neferlerimiz. Yarınlarımızın güveni ve yükselişi…",585,77,540,44 B,[],[],['\\U0001f4da'],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750142579511902259,tweet_id:1750142579511902259
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-24T13:18:16.000Z,True,"Adalet Bakanımız Sayın Yılmaz Tunç, İstanbul Beykent Üniversitesi Start-Up Hukuk Kulübü, Beykent Hukuk Kulübü ve Uluslararası Hukuk Kulübü öğrencilerini, Bakanlığımızda kabul etti.",176,43,291,22 B,[],[],[],https://pbs.twimg.com/profile_images/1665292242397937664/5gWLDGZv_normal.jpg,https://twitter.com/adalet_bakanlik/status/1750145995688534316,tweet_id:1750145995688534316
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-25T11:33:50.000Z,True,"Adalet Bakanımız Sayın Yılmaz Tunç, ‘Yeni Anayasa Genel Değerlendirme Çalıştayı’na katıldı. https://adalet.gov.tr/adalet-bakani-yilmaz-tunc-yeni-anayasa-genel-degerlendirme-calistayi-nda-konustu…",322,37,278,27 B,[],[],['\\u27a1\\ufe0f'],https://pbs.twimg.com/profile_images/1665292242397937664/5gWLDGZv_normal.jpg,https://twitter.com/adalet_bakanlik/status/1750482105165901966,tweet_id:1750482105165901966
Yılmaz TUNÇ,@yilmaztunc,2024-01-24T08:19:04.000Z,True,"Adalet hizmetlerimizin fiziki ve teknik altyapısını;  Teknolojik imkanlarla donatılmış, Çağın gerekliliklerine uygun, Depreme dayanıklı, 
yeni Adalet Saraylarımızla güçlendiriyoruz.

Vatandaşlarımızın adalete açılan kapısı olan modern Adalet Saraylarımızla…",527,112,507,52 B,[],[],"['\\u2705', '\\u2705', '\\u2705']",https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750070698918150288,tweet_id:1750070698918150288
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-23T11:59:09.000Z,True,"#Canlı Yayın Adalet Bakanımız Sayın Yılmaz Tunç, 'Ombudsman Bartınlılarla Buluşuyor' toplantısında konuşuyor.#Bartın",286,93,416,39 B,"['#Canlı', '#Bartın']",[],"['\\U0001f4e1', '\\U0001f4cd']",https://pbs.twimg.com/profile_images/1665292242397937664/5gWLDGZv_normal.jpg,https://twitter.com/adalet_bakanlik/status/1749763698351038840,tweet_id:1749763698351038840
Yılmaz TUNÇ,@yilmaztunc,2024-01-22T11:48:30.000Z,True,"Türkiye'de yargı, her zamankinden daha bağımsız ve tarafsızdır.

Geçmişte demokrasinin, milli iradenin yanında durmayan yargı varken bugün darbelere ve darbecilere karşı duran, milletimizin hakkını savunan yargı var.",1 B,169,794,110 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1749398629293465917,tweet_id:1749398629293465917
Yılmaz TUNÇ,@yilmaztunc,2024-01-21T20:47:14.000Z,True,"Türkiye’nin AİHM’in ihlal kararlarını yerine getirmediği yönündeki eleştireler haksızdır.

AİHM’in hukuki olarak değil de siyasi baktığı bir kaç başvuru nedeniyle bir genelleme yapılarak algı oluşturulmaya çalışılmaktadır.

AİHM kararlarına tüm ülkelerin uyma oranı ortalaması %…",1 B,199,836,140 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1749171821071532497,tweet_id:1749171821071532497
Yılmaz TUNÇ,@yilmaztunc,2024-01-21T18:37:29.000Z,True,Anayasamız bugüne kadar 184 kez değişiklik gördü. Bu da Anayasamızın maddeleri arasındaki yeknesaklığı bozdu. Anayasa değişikliğinin gerekliliği bu noktada tekrar ortaya çıkıyor.,1 B,174,817,101 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1749139166791598561,tweet_id:1749139166791598561
