Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2023-06-08T15:58:37.000Z,True,DUYURU !,1 B,913,1 B,287 B,[],[],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1666837139751940096,tweet_id:1666837139751940096
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T18:00:30.000Z,True," Türkiye Yüzyılı’nın Emektarları Çalıştayı

SSK ve Bağ-Kur emekli aylıklarının zam oranları Resmî Gazete’de yayımlandıktan sonra oluşan aylık farklar, yaklaşık bir hafta içerisinde emekli vatandaşlarımızın hesabına yatırılacak.#EmeklilerYılı",383,117,263,29 B,['#EmeklilerYılı'],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750941800338964525,tweet_id:1750941800338964525
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T17:16:25.000Z,True,"Türkiye Yüzyılı’nın Emektarları Çalıştayı

2002 yılından günümüze emeklilerimizin haklarının korunması ve iyileştirilmesi için birçok icraat hayata geçirildi. 

2024 Emekliler Yılı kapsamında Bakanlığımız bünyesinde gerçekleştirilecek çalışmalarla emekli vatandaşlarımız sadece…",355,93,174,22 B,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750930705129840695,tweet_id:1750930705129840695
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T15:37:55.000Z,True,"Bakanımız Sayın Prof. Dr. , “Türkiye Yüzyılı’nın Emektarları Çalıştayı”na Katıldı",444,89,199,19 B,[],['@isikhanvedat'],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750905915920764954,tweet_id:1750905915920764954
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T06:15:55.000Z,True,"Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın imzasıyla yayımlanan Resmi Gazete kararına göre devlet ve bağlı kurumlarda çalışan işçilerimizin ilave tediye ödemelerinin birinci yarısı bugün itibarıyla hesaplara yatırılmaya başlandı.

Kamuda çalışan işçilerimiz için hayırlı…",566,159,411,93 B,[],[],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750764483843084541,tweet_id:1750764483843084541
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-24T10:52:08.000Z,True,"Bakanlığımızın Merkez Teşkilatı kadrolarında istihdam edilmek üzere KPSS puanı baz alınarak; Büro Personeli, Destek Personeli 
olmak üzere toplam  sözleşmeli personel alımı yapılacaktır.

Başvurular 24 Ocak 2024 - 4 Şubat 2024 tarihleri arasında Cumhurbaşkanlığı…",398,167,332,54 B,[],[],"['3\\ufe0f\\u20e3', '5\\ufe0f\\u20e3', '2\\ufe0f\\u20e3', '7\\ufe0f\\u20e3', '6\\ufe0f\\u20e3', '2\\ufe0f\\u20e3']",https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750109220144283930,tweet_id:1750109220144283930
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-24T06:44:04.000Z,True,"Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. , TRT Haber’de Çalışma Hayatına İlişkin Değerlendirmelerde Bulundu",820,164,312,33 B,[],['@isikhanvedat'],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750046791813181511,tweet_id:1750046791813181511
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-23T16:23:36.000Z,True,"Çalışma ve Sosyal Güvenlik Bakanımız Sayın Prof. Dr. , bu akşam saat 21:00’da TRT Haber’in yayın konuğu olacaktır.",5 B,1 B,1 B,152 B,[],['@isikhanvedat'],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1749830248122712234,tweet_id:1749830248122712234
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-09T20:35:38.000Z,True,"Bakanımız Sayın Prof. Dr. , Cumhurbaşkanlığı Külliyesi’nde Düzenlenen “Valiler Toplantısı”na Katıldı",312,88,197,22 B,[],['@isikhanvedat'],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1744820247243231718,tweet_id:1744820247243231718
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-06T20:44:17.000Z,True,"Bakanımız Sayın Prof. Dr. , “Mehmet Akif İnan Ödülleri Programı’na Katıldı",317,109,333,29 B,[],['@isikhanvedat'],[],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1743735260431409605,tweet_id:1743735260431409605
