Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T18:57:45.000Z,True,Güzel İzmir yarın daha güzel olacak. İzmir Şehir Hastanesi açılıyor.,642,255,1 B,217 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750956205906735475,tweet_id:1750956205906735475
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T16:23:16.000Z,True,"İnsanlık, adaletin geri dönüşünü bekliyor.
Uluslararası Adalet Divanı, Gazze’de 26 Bin masum insanın ölümüne yol açan insanlık dışı saldırıları sebebi ile İsrail’in soykırım suçlamasıyla yargılanmasına karar verdi, soykırım kapsamındaki fiillerin işlenmesinin önlenmesi için…",386,124,744,171 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750917328416477425,tweet_id:1750917328416477425
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T15:53:58.000Z,True,"Dünyaya gelecek yavrumuz için tabiat şartlarıyla mücadele… Ağrı'da yolu kar sebebiyle kapalı bir mezrada yaşayan hastamız, paletli ambulansla alınarak hastaneye ulaştırıldı. Ekiplerimiz, bugünlerde benzer şartlardaki anneler ve yavrularımız için bunu yapmaya hazır.",193,148,880,140 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750909955144552856,tweet_id:1750909955144552856
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T11:37:52.000Z,True,"Dünyanın ilk 6’lı çapraz karaciğer nakli ameliyatı Malatya İnönü Üniversitesi Karaciğer Nakil Enstitüsünde yapıldı. Daha önce de ilk dörtlü ve beşli çapraz karaciğer nakilleri bu merkezde gerçekleştirilmişti.
 
Çapraz nakil ameliyatları, hastaların vericileri olmasına rağmen kan…",210,272,1 B,133 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750845504659832897,tweet_id:1750845504659832897
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T09:39:58.000Z,True,"Kastamonu Taşköprü Alatarla mevkiinde bir otobüsün devrilmesi sonucu meydana gelen kazada 6 kişi hayatını kaybetmiş, biri ağır 33 kişi yaralanmıştır. Olay yerine görevlendirilen 15 adet ambulans ve 1 UMKE timi ile yararılar hastanelere nakledilmiş olup tedavilerine hızla…",41,81,722,252 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750815837341036896,tweet_id:1750815837341036896
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T16:23:16.000Z,True,"İnsanlık, adaletin geri dönüşünü bekliyor.
Uluslararası Adalet Divanı, Gazze’de 26 Bin masum insanın ölümüne yol açan insanlık dışı saldırıları sebebi ile İsrail’in soykırım suçlamasıyla yargılanmasına karar verdi, soykırım kapsamındaki fiillerin işlenmesinin önlenmesi için…",386,124,744,171 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750917328416477425,tweet_id:1750917328416477425
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T15:53:58.000Z,True,"Dünyaya gelecek yavrumuz için tabiat şartlarıyla mücadele… Ağrı'da yolu kar sebebiyle kapalı bir mezrada yaşayan hastamız, paletli ambulansla alınarak hastaneye ulaştırıldı. Ekiplerimiz, bugünlerde benzer şartlardaki anneler ve yavrularımız için bunu yapmaya hazır.",193,148,880,140 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750909955144552856,tweet_id:1750909955144552856
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-25T13:24:02.000Z,True,16.04’te Malatya Battalgazi’de 5.2 büyüklüğünde deprem meydana gelmiştir. Ekiplerimiz depremin hissedildiği fakat olumsuz çağrı alınmadığını bildirdiler. Bölgeyi taramak üzere 2 UMKE timi görev başında. Geçmiş olsun Malatya.,76,172,1 B,319 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750509836213616736,tweet_id:1750509836213616736
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-26T15:53:58.000Z,True,"Dünyaya gelecek yavrumuz için tabiat şartlarıyla mücadele… Ağrı'da yolu kar sebebiyle kapalı bir mezrada yaşayan hastamız, paletli ambulansla alınarak hastaneye ulaştırıldı. Ekiplerimiz, bugünlerde benzer şartlardaki anneler ve yavrularımız için bunu yapmaya hazır.",193,148,880,140 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750909955144552856,tweet_id:1750909955144552856
Dr. Fahrettin Koca,@drfahrettinkoca,2024-01-24T11:15:39.000Z,True,"Farzımuhal Hastalık. DSÖ’nün verdiği isimle X hastalığı. Gerçek hayatta karşılığı yok. İleride bir gün bir salgın yaşanacak olursa, ona hazırlıksız yakalanmamak için yapılan çalışmalarda teorik anlamda geçiyor. Siz rahat olun. Ve kendinizi soğuk algınlığından koruyun.",530,329,1 B,453 B,[],[],[],https://pbs.twimg.com/profile_images/1233710348986933249/J062hlBz_normal.jpg,https://twitter.com/drfahrettinkoca/status/1750115140744225109,tweet_id:1750115140744225109
