Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Dr. Osman Aşkın Bak,@OA_BAK,2024-01-25T13:31:37.000Z,True,"Malatya’nın Battalgazi ilçesinde meydana gelen ve çevre illerde de hissedilen depremden etkilenen vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.

Rabbim ülkemizi ve milletimizi her türlü afetten korusun.",30,119,422,24 B,[],[],[],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1750511745922134023,tweet_id:1750511745922134023
Dr. Osman Aşkın Bak,@OA_BAK,2024-01-24T07:32:43.000Z,True,"Ruhun şâd olsun 3310…

Diyarbakır’da hizmet ettiği dönemde halkın gönlünü fetheden Emniyet Müdürümüz #AliGaffarOkkan'ı ve onunla birlikte şehit düşen kahramanlarımızı rahmetle yâd ediyorum.",19,249,955,30 B,['#AliGaffarOkkan'],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1750059037759046046,tweet_id:1750059037759046046
Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-01-23T16:05:59.000Z,True,"Yetenek Taraması ve Spora Yönlendirme nedir?

Tam olarak budur...Ecrin'in hikâyesi tüm çocuklarımıza ilham olsun. Gururla sunarız.",14,213,522,26 B,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1749825814974153003,tweet_id:1749825814974153003
Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-01-22T06:55:26.000Z,True,Haftaya Çıldır Gölü’nden muhteşem fotoğraflarla başlıyoruz. ,10,129,423,21 B,[],[],"['\\U0001f4f8', '\\U0001f3d2', '\\u2744\\ufe0f']",https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1749324876609945768,tweet_id:1749324876609945768
Dr. Osman Aşkın Bak,@OA_BAK,2024-01-21T15:07:46.000Z,True,Bugün 10 yaş altı basketbolcularımızın maçına gittik. Heyecanları ve spora olan tutkuları görülmeye değerdi.Çocuklarının ellerinden tutup salonlara getiren kıymetli ailelere de ayrıca teşekkür ediyorum.,31,176,714,27 B,[],[],"['\\U0001f4ab', '\\U0001f44f\\U0001f3fc']",https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1749086388643848530,tweet_id:1749086388643848530
Dr. Osman Aşkın Bak,@OA_BAK,2024-01-24T07:32:43.000Z,True,"Ruhun şâd olsun 3310…

Diyarbakır’da hizmet ettiği dönemde halkın gönlünü fetheden Emniyet Müdürümüz #AliGaffarOkkan'ı ve onunla birlikte şehit düşen kahramanlarımızı rahmetle yâd ediyorum.",19,249,955,30 B,['#AliGaffarOkkan'],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1750059037759046046,tweet_id:1750059037759046046
Gençlik ve Spor Bakanlığı,@gencliksporbak,2024-01-23T16:05:59.000Z,True,"Yetenek Taraması ve Spora Yönlendirme nedir?

Tam olarak budur...Ecrin'in hikâyesi tüm çocuklarımıza ilham olsun. Gururla sunarız.",14,213,522,26 B,[],[],['\\U0001f447'],https://pbs.twimg.com/profile_images/1665417875044155393/kRSedX7U_normal.jpg,https://twitter.com/gencliksporbak/status/1749825814974153003,tweet_id:1749825814974153003
Dr. Osman Aşkın Bak,@OA_BAK,2024-01-21T06:54:05.000Z,True,Güne tarihi bir başarıyla başlıyoruz!Gangwon 2024 Kış Gençlik Olimpiyat Oyunları’nda kısa kulvar sürat pateni 1000m finalinde ikinci olarak oyunlar tarihindeki ilk madalyamızı kazandıran Muhammed Bozdağ’ı kutluyorumTürkiye her branşta adından söz ettirmeye devam edecek!,33,259,1 B,40 B,[],[],"['\\U0001f1f9\\U0001f1f7', '\\U0001f948', '\\U0001f44f\\U0001f3fc']",https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1748962148775014605,tweet_id:1748962148775014605
The Olympic Games,@Olympics,2024-01-21T05:45:21.000Z,True,"When you win your country's first-ever medal at a Winter Olympic event!  

Congratulations to Muhammed Bozdag of Türkiye on winning #Silver in the Men's 1000m Short Track Speed Skating event.  | #Gangwon2024",66,172,1 B,250 B,"['#Silver', '#Gangwon2024']",['@ISU_Speed'],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1428768566317391877/Mrn33c1m_normal.jpg,https://twitter.com/Olympics/status/1748944852073455870,tweet_id:1748944852073455870
Dr. Osman Aşkın Bak,@OA_BAK,2024-01-20T12:56:32.000Z,True,Gururluyuz!#AlperGezeravcı,30,286,1 B,81 B,['#AlperGezeravcı'],[],['\\U0001f1f9\\U0001f1f7'],https://pbs.twimg.com/profile_images/1669257596509847552/YdOKExdN_normal.jpg,https://twitter.com/OA_BAK/status/1748690975977766974,tweet_id:1748690975977766974
