Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T18:49:05.000Z,True,Türkiye olarak bölgesel ve küresel su gündeminde aktif olarak çalışmalarımızı sürdüreceğiz.17 Şubat’ta İstanbul’da düzenlenecek olan Dünya Su Konseyi 86. Guvernörler Toplantısı’na dair detayları Türkiye Su Enstitüsü’nden arkadaşlarımızla ele aldık. ,23,37,179,10 B,[],['@SUEN_gov'],"['\\U0001f4a7', '\\U0001f4ac']",https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750954024382132538,tweet_id:1750954024382132538
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,775 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T12:39:55.000Z,True,"9 milyar 374 milyon 88 bin TL tarımsal destekleme ödemesini bugün çiftçilerimizin hesaplarına aktarıyoruz.

Hayırlı ve bereketli olsun.",537,252,582,75 B,[],[],['\\U0001f331'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750861123388068343,tweet_id:1750861123388068343
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T12:28:20.000Z,True,"Tecrübe ve bilgi birikimiyle ülkemizin su politikalarının hayata geçirilmesinde öncü kurumumuz olan  teşkilatımızın kıymetli üyeleriyle İstanbul’da bir araya geldik.

Hem bugünümüz hem de geleceğimiz için büyük öneme sahip suyumuzu etkin kullanarak ve koruyarak,…",41,73,319,14 B,[],['@dsigovtr'],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750858205427626321,tweet_id:1750858205427626321
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T10:52:18.000Z,True,"Kastamonu-Taşköprü karayolunda yolcu otobüsünün devrilmesi sonucu hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, ailelerine ve sevenlerine başsağlığı diliyorum.

Yaralanan vatandaşlarımızın en kısa sürede sağlıklarına kavuşmalarını temenni ediyorum.",4,37,213,11 B,[],[],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750834040926568655,tweet_id:1750834040926568655
İbrahim Yumaklı,@ibrahimyumakli,2024-01-25T16:20:22.000Z,True,"AK Parti Genel Başkan Yardımcımız, Çevre, Şehir ve Kültür Başkanı Sayın Çiğdem Karaaslan’ı ziyaret ettik. 

Kıymetli Başkanımıza nazik misafirperverlikleri için teşekkür ediyor, sürdürülebilir bir dünya için gerçekleştirdikleri çalışmalarda başarılar diliyorum. ",31,45,312,13 B,[],['@CK_Samsun'],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750554212772020498,tweet_id:1750554212772020498
İbrahim Yumaklı,@ibrahimyumakli,2024-01-25T14:59:03.000Z,True,"AK Parti Genel Başkan Vekilimiz Sayın ’ı ziyaret ettik.

Kıymetli Başkanımıza nazik misafirperverlikleri için teşekkür ediyor, #TürkiyeYüzyılı vizyonumuza yönelik çalışmalarında başarılar diliyorum. AK Parti Genel Merkezi",46,49,370,15 B,['#TürkiyeYüzyılı'],['@mustafaelitas'],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750533749845139899,tweet_id:1750533749845139899
İbrahim Yumaklı,@ibrahimyumakli,2024-01-25T13:51:27.000Z,True,"Malatya’nın Battalgazi ilçesinde meydana gelen ve çevre illerden de hissedilen depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.

Rabb'im, ülkemizi ve milletimizi her türlü afetten muhafaza eylesin.",15,50,253,17 B,[],[],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750516734883180591,tweet_id:1750516734883180591
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T12:28:20.000Z,True,"Tecrübe ve bilgi birikimiyle ülkemizin su politikalarının hayata geçirilmesinde öncü kurumumuz olan  teşkilatımızın kıymetli üyeleriyle İstanbul’da bir araya geldik.

Hem bugünümüz hem de geleceğimiz için büyük öneme sahip suyumuzu etkin kullanarak ve koruyarak,…",41,73,319,14 B,[],['@dsigovtr'],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750858205427626321,tweet_id:1750858205427626321
İbrahim Yumaklı,@ibrahimyumakli,2024-01-26T10:52:18.000Z,True,"Kastamonu-Taşköprü karayolunda yolcu otobüsünün devrilmesi sonucu hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, ailelerine ve sevenlerine başsağlığı diliyorum.

Yaralanan vatandaşlarımızın en kısa sürede sağlıklarına kavuşmalarını temenni ediyorum.",4,37,213,11 B,[],[],[],https://pbs.twimg.com/profile_images/1665808543025430528/6ivAyuED_normal.jpg,https://twitter.com/ibrahimyumakli/status/1750834040926568655,tweet_id:1750834040926568655
