Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-23T19:54:30.000Z,True,"𝟐𝟎𝟐𝟒 𝐄𝐌𝐄𝐊𝐋𝐈̇𝐋𝐄𝐑 𝐘𝐈𝐋𝐈

Sayın Cumhurbaşkanımız ve Hükümetlerimiz kıymetli emeklilerimizi sadece seçim dönemlerinde hatırlamadı. Emeklilerimizin her daim yanında olduk, başımızın tacı yaptık. Bu yüzden 2024 yılını Emekliler Yılı olarak kutlamaya karar verdik.",3 B,533,1 B,128 B,[],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1749883323713781956,tweet_id:1749883323713781956
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T19:36:07.000Z,True,"Türkiye Yüzyılı’nın Emektarları Çalıştayı

Gerçekleştirdiğimiz çalıştayda; emeklilerimizin hayatlarına olumlu noktada etki edecek birçok konu başlığını ele alarak, önerileri değerlendirdik.

Emeklilerimizin refahını ve yaşam kalitelerini artırmak adına ilgili kurumlarımızın,…",625,114,260,20 B,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1750965860989116720,tweet_id:1750965860989116720
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T18:00:30.000Z,True," Türkiye Yüzyılı’nın Emektarları Çalıştayı

SSK ve Bağ-Kur emekli aylıklarının zam oranları Resmî Gazete’de yayımlandıktan sonra oluşan aylık farklar, yaklaşık bir hafta içerisinde emekli vatandaşlarımızın hesabına yatırılacak.#EmeklilerYılı",382,115,260,29 B,['#EmeklilerYılı'],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750941800338964525,tweet_id:1750941800338964525
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T17:16:25.000Z,True,"Türkiye Yüzyılı’nın Emektarları Çalıştayı

2002 yılından günümüze emeklilerimizin haklarının korunması ve iyileştirilmesi için birçok icraat hayata geçirildi. 

2024 Emekliler Yılı kapsamında Bakanlığımız bünyesinde gerçekleştirilecek çalışmalarla emekli vatandaşlarımız sadece…",350,93,173,22 B,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750930705129840695,tweet_id:1750930705129840695
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T15:33:51.000Z,True,"Türkiye Yüzyılı’nın Emektarları Çalıştayı

Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın tensipleriyle ilan ettiğimiz 2024 Emekliler Yılı kapsamında emeklerimizi temsil eden sivil toplum kuruluşları, bakanlıklarımızın bürokratları, üniversitelerimizin temsilcileri ve sosyal…",1 B,224,533,51 B,[],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1750904893601124506,tweet_id:1750904893601124506
T.C. Çalışma ve Sosyal Güvenlik Bakanlığı,@csgbakanligi,2024-01-26T18:00:30.000Z,True," Türkiye Yüzyılı’nın Emektarları Çalıştayı

SSK ve Bağ-Kur emekli aylıklarının zam oranları Resmî Gazete’de yayımlandıktan sonra oluşan aylık farklar, yaklaşık bir hafta içerisinde emekli vatandaşlarımızın hesabına yatırılacak.#EmeklilerYılı",382,115,260,29 B,['#EmeklilerYılı'],[],['\\U0001f4cd'],https://pbs.twimg.com/profile_images/1668561256150626306/XlKcRT_9_normal.jpg,https://twitter.com/csgbakanligi/status/1750941800338964525,tweet_id:1750941800338964525
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T14:54:11.000Z,True,"Uluslararası Adalet Divanı’nın aldığı ara kararla İsrail’in Filistin’e karşı işlediği soykırım suçlarından yargılanmasının önü açıldı.

Geç alınmasına rağmen nihayetini beklediğimiz bu kararın; insani değerlerin korunması ve yaşatılması adına önemli olduğuna inanıyorum.…",314,91,221,19 B,[],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1750894910071320972,tweet_id:1750894910071320972
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,776 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T11:49:34.000Z,True,Canlı Yayın 2024 Emekliler Yılı / Türkiye Yüzyılı’nın Emektarları Çalıştayı,1 B,295,508,50 B,[],[],"['\\U0001f4e1', '\\U0001f4cd']",https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1750848452668371398,tweet_id:1750848452668371398
Prof. Dr. Vedat Işıkhan,@isikhanvedat,2024-01-26T08:09:55.000Z,True,"Kastamonu’nun Taşköprü ilçesinde yolcu otobüsünün devrilmesi sonucu yaşanan elim trafik kazasında hayatını kaybeden vatandaşlarımıza Allah’tan rahmet, ailelerine başsağlığı, yaralılarımıza acil şifalar diliyorum.",71,82,234,23 B,[],[],[],https://pbs.twimg.com/profile_images/1666002000054480896/fsu2_pp8_normal.jpg,https://twitter.com/isikhanvedat/status/1750793172073042176,tweet_id:1750793172073042176
