Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mehmet Özhaseki,@mehmetozhaseki,2024-01-26T15:15:52.000Z,True,"AK Parti Genel Başkanvekilimiz Sayın Mustafa Elitaş ve Genel Başkanvekili Yardımcımız Sayın Hacı Turan ile bir araya gelerek deprem bölgesinde sürdürdüğümüz imar ve ihya çalışmaları hakkında görüş alışverişinde bulunduk. 

Cumhurbaşkanımız Sayın ’ın liderliğinde,…",2 B,110,901,82 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750900368186232896,tweet_id:1750900368186232896
Mehmet Özhaseki,@mehmetozhaseki,2024-01-26T05:37:37.000Z,True,Cumamız mübarek olsun.#HayırlıCumalar,65,41,446,11 B,['#HayırlıCumalar'],[],[],https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750754846783819817,tweet_id:1750754846783819817
Mehmet Özhaseki,@mehmetozhaseki,2024-01-25T13:53:52.000Z,True,"Geçmiş olsun Malatya...

Malatya Battalgazi'de meydana gelen ve çevre illerden de hissedilen 5,2 büyüklüğündeki deprem nedeniyle vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum.

Şu ana kadar herhangi bir olumsuzluk yok. İl Müdürlüğü ekiplerimiz herhangi bir duruma karşı…",217,50,402,32 B,[],[],[],https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750517343040446556,tweet_id:1750517343040446556
Mehmet Özhaseki,@mehmetozhaseki,2024-01-26T15:15:52.000Z,True,"AK Parti Genel Başkanvekilimiz Sayın Mustafa Elitaş ve Genel Başkanvekili Yardımcımız Sayın Hacı Turan ile bir araya gelerek deprem bölgesinde sürdürdüğümüz imar ve ihya çalışmaları hakkında görüş alışverişinde bulunduk. 

Cumhurbaşkanımız Sayın ’ın liderliğinde,…",2 B,110,901,82 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750900368186232896,tweet_id:1750900368186232896
Mehmet Özhaseki,@mehmetozhaseki,2024-01-25T09:34:04.000Z,True,Sizin yüzünüzdeki tebessüm dünyalara bedelBakan amcanız sizi kucak dolusu öpüyor ,1 B,57,382,25 B,[],[],"['\\U0001f9e1', '\\U0001f917']",https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750451963768996124,tweet_id:1750451963768996124
Mehmet Özhaseki,@mehmetozhaseki,2024-01-24T15:50:39.000Z,True,"Depremden etkilenen 11 şehrimizde, ilçe ve köylerimizde tamamladığımız konutlarımızı; Şubat ayı başından itibaren toplu olarak teslim etmeye başlayacağız. 

Kahramanmaraş merkezli depremlerin yıl dönümü 6 Şubat’ta da Cumhurbaşkanımız Sayın 'ın katılımıyla, depremzede…",1 B,197,1 B,135 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750184344994365796,tweet_id:1750184344994365796
Mehmet Özhaseki,@mehmetozhaseki,2024-01-24T10:58:44.000Z,True,"2020'de meydana gelen Elazığ depreminde kaybettiğimiz canlarımızı rahmetle yâd ediyorum. Rabbim mekânlarını cennet, makamlarını âli eylesin.

Cumhurbaşkanımız Sayın 'ın liderliğinde; ülkemizi deprem başta olmak üzere tüm afetlere karşı hazırlıklı hâle getirmekte,…",32,44,282,20 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750110883877933128,tweet_id:1750110883877933128
Mehmet Özhaseki,@mehmetozhaseki,2024-01-24T07:39:38.000Z,True,"Saygı, rahmet ve minnetle...

Uğradıkları hain terör saldırısı sonucu şehit düşen Diyarbakır Emniyet Müdürü Ali Gaffar Okkan'ı ve kahraman polislerimizi şehadetlerinin 23'üncü seneidevriyesinde rahmet ve dualarla yâd ediyorum.

Rabbim mekânlarını cennet, ruhlarını şad eylesin.",20,74,527,23 B,[],[],[],https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1750060778713944429,tweet_id:1750060778713944429
Mehmet Özhaseki,@mehmetozhaseki,2024-01-23T12:39:15.000Z,True,"Yerli ve millî ""Çığ Mobil"" uygulamamızı güncelledik.Çığ alanlarını harita üzerinde gösteren ve  Çığ alanlarına girilmesi hâlinde sesli uyarı vererek güvenli bir rota çizen ""Çığ Mobil"" uygulamamız vatandaşlarımızın hizmetinde.

Potansiyel çığ tehlikesi olan 43 ilimizde,…",1 B,106,560,50 B,[],[],"['\\U0001f4f1', '\\U0001f449', '\\U0001f3d4\\ufe0f', '\\U0001f449']",https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1749773790496674127,tweet_id:1749773790496674127
Mehmet Özhaseki,@mehmetozhaseki,2024-01-23T10:35:41.000Z,True,"Çevre, Şehircilik ve İklim Değişikliği Bakanlığı Meteoroloji Genel Müdürlüğümüzün hava tahmin raporuna göre;Kars, Ardahan, Ağrı, Erzurum, Muş, Bitlis, Van, Siirt, Şırnak ve Hakkari'de yer yer yoğun karla karışık yağmur ve kar yağışı bekliyoruz. Çığ, tipi, buzlanma, don…",57,56,359,47 B,[],[],"['\\U0001f4cc', '\\u2744\\ufe0f', '\\U0001f327\\ufe0f']",https://pbs.twimg.com/profile_images/1455106730220826625/jcTCbVYW_normal.jpg,https://twitter.com/mehmetozhaseki/status/1749742692672708977,tweet_id:1749742692672708977
