Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mehmet Simsek,@memetsimsek,2024-01-26T11:17:07.000Z,True,"İhracatın ana belirleyicisi yurt dışı talep olup kurun önemli bir etkisi yoktur. 

2003-13 döneminde nominal sepet kur yıllık ortalama yüzde 3,3; reel ihracatımız yüzde 7,1 artmıştır. 2018-23 döneminde ise kur yüzde 36,4 artarken, ihracatımız sadece yüzde 5 artmıştır. 

Dünya…",872,995,5 B,1 Mn,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1750840282654867734,tweet_id:1750840282654867734
William Dalrymple,@DalrympleWill,2024-01-26T04:07:34.000Z,True,"The most heartbreaking photograph... The bare feet, the entwined bodies of two small kids... Take a moment to consider what the IDF sniper has done... This is a massacre of innocent civilians that your blank cheque to the most right wing, pro-Settlement anti-Two State government… https://twitter.com/QudsNen/status/1750551194164986250…",423,6 B,11 B,620 B,[],[],[],https://pbs.twimg.com/profile_images/1400762145365794817/_766A2iY_normal.jpg,https://twitter.com/DalrympleWill/status/1750732186553356568,tweet_id:1750732186553356568
Sky News,@SkyNews,2024-01-23T14:52:50.000Z,True,"""How dare we have a conversation about trade when there are children right now being treated without anaesthetic?"" responds to UK and US airstrikes on Houthi targets in Yemen and calls for a 'ceasefire' in Gaza. https://trib.al/NMfoMuE Sky 501",514,1 B,5 B,350 B,[],['@MyriamFrancoisC'],['\\U0001f4fa'],https://pbs.twimg.com/profile_images/1604907328242962433/P_79at43_normal.jpg,https://twitter.com/SkyNews/status/1749807406253801550,tweet_id:1749807406253801550
Mehmet Simsek,@memetsimsek,2024-01-23T08:47:34.000Z,True,"Orta Vadeli Program’da taahhüt ettiğimiz Kamu İktisadi Teşebbüsleri (KİT) reformunun ilk aşamasını hayata geçirmek için çalışmalarımızı tamamladık. 

KİT’lerin daha etkin ve verimli çalışmasını sağlayarak ekonomimize katkılarını artıracağız.",23 B,1 B,4 B,1 Mn,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1749715486231683476,tweet_id:1749715486231683476
AA Ekonomi Finans,@aa_finans,2024-01-22T09:41:26.000Z,True,"Enerji ve Tabii Kaynaklar Bakanı Alparslan Bayraktar:Elektrik kurulu gücünde geçen yılki artışın yüzde 99,5'ini yenilenebilir enerji oluşturduHedefimiz, 2035 yılında yenilenebilirin kurulu güç içindeki payını yüzde 65'e, üretim içindeki payını ise yüzde 55'e yükseltmek…",49,72,394,122 B,[],[],"['\\U0001f4e2', '\\U0001f343', '\\U0001f3af']",https://pbs.twimg.com/profile_images/1676240579305299968/pGdh2eOa_normal.jpg,https://twitter.com/aa_finans/status/1749366652381073823,tweet_id:1749366652381073823
William Dalrymple,@DalrympleWill,2024-01-26T04:07:34.000Z,True,"The most heartbreaking photograph... The bare feet, the entwined bodies of two small kids... Take a moment to consider what the IDF sniper has done... This is a massacre of innocent civilians that your blank cheque to the most right wing, pro-Settlement anti-Two State government… https://twitter.com/QudsNen/status/1750551194164986250…",423,6 B,11 B,620 B,[],[],[],https://pbs.twimg.com/profile_images/1400762145365794817/_766A2iY_normal.jpg,https://twitter.com/DalrympleWill/status/1750732186553356568,tweet_id:1750732186553356568
Sky News,@SkyNews,2024-01-23T14:52:50.000Z,True,"""How dare we have a conversation about trade when there are children right now being treated without anaesthetic?"" responds to UK and US airstrikes on Houthi targets in Yemen and calls for a 'ceasefire' in Gaza. https://trib.al/NMfoMuE Sky 501",514,1 B,5 B,350 B,[],['@MyriamFrancoisC'],['\\U0001f4fa'],https://pbs.twimg.com/profile_images/1604907328242962433/P_79at43_normal.jpg,https://twitter.com/SkyNews/status/1749807406253801550,tweet_id:1749807406253801550
Mehmet Simsek,@memetsimsek,2024-01-20T12:06:24.000Z,True,Kayıtdışı ile mücadelemiz her alanda aralıksız devam edecek.,3 B,790,6 B,3 Mn,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1748678359318405388,tweet_id:1748678359318405388
Alan MacLeod,@AlanRMacLeod,2024-01-19T12:14:52.000Z,True,Is this the first time in history where one side proudly posts video evidence of their genocide for all to see?,873,17 B,54 B,1 Mn,[],[],[],https://pbs.twimg.com/profile_images/1412117139071418386/3bmc9Vk7_normal.jpg,https://twitter.com/AlanRMacLeod/status/1748318101119406371,tweet_id:1748318101119406371
Mehmet Simsek,@memetsimsek,2024-01-19T07:28:07.000Z,True,"Seçim ekonomisi iddiaları gerçeği yansıtmıyor.

2024 yılında bütçe hedeflerimizi tutturmakta kararlıyız. 

Sayın Cumhurbaşkanımızın güçlü destekleriyle Program hedeflerimize ulaşmak için gerekli politikaları kararlılıkla uyguluyoruz.",1 B,696,4 B,1 Mn,[],[],[],https://pbs.twimg.com/profile_images/1679569078669787137/3qNA7VET_normal.jpg,https://twitter.com/memetsimsek/status/1748245939725181438,tweet_id:1748245939725181438
