Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mehmet Fatih KACIR,@mfatihkacir,2024-01-10T17:28:33.000Z,True,"“O iş bizde.”

Gurur Duy Türkiye! ",243,1 B,7 B,807 B,[],[],"['\\U0001f680', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1745135554721632653,tweet_id:1745135554721632653
Mehmet Fatih KACIR,@mfatihkacir,2024-01-26T20:24:45.000Z,True,"#TEKNOFEST kuşağının ufku uzayda…

Heyecanla, inançla, coşkuyla…#GururDuyTürkiye ",6,56,362,19 B,"['#TEKNOFEST', '#GururDuyTürkiye']",[],"['\\U0001f680', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750978099867500806,tweet_id:1750978099867500806
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T18:42:50.000Z,True,"Bakanımız Sayın , Türkiye’nin Uzay Misyonu hakkında merak edilenleri   özel yayınında cevaplıyor.  / Bursa  #CanlıYayın",4,41,140,11 B,['#CanlıYayın'],"['@mfatihkacir', '@trthaber', '@guhemas']","['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750952453418225863,tweet_id:1750952453418225863
Mehmet Fatih KACIR,@mfatihkacir,2024-01-10T17:28:33.000Z,True,"“O iş bizde.”

Gurur Duy Türkiye! ",243,1 B,7 B,807 B,[],[],"['\\U0001f680', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1745135554721632653,tweet_id:1745135554721632653
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T14:46:25.000Z,True,"Bakanımız Sayın , Uluslararası Uzay İstasyonu'ndaki Türkiye'nin ilk Astronotu Alper Gezeravcı ile Canlı Bağlantı  
 / Bursa 
  #CanlıYayın",15,117,446,43 B,['#CanlıYayın'],"['@mfatihkacir', '@guhemas']","['\\U0001f680', '\\U0001f1f9\\U0001f1f7', '\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750892956951695428,tweet_id:1750892956951695428
Sanayi ve Teknoloji Bakanlığı,@TCSanayi,2024-01-26T13:56:07.000Z,True,"Bakanımız Sayın , Kompozit Malzeme ve Teknik Tekstil Prototip Üretim ve Uygulama Merkezi Açılış Töreni açıklamalarda bulunuyor.Osmangazi  #CanlıYayın",2,33,153,9 B,['#CanlıYayın'],['@mfatihkacir'],"['\\U0001f4cd', '\\U0001f4e1']",https://pbs.twimg.com/profile_images/1717508340190781440/HYcx68zj_normal.jpg,https://twitter.com/TCSanayi/status/1750880296482783642,tweet_id:1750880296482783642
Mehmet Fatih KACIR,@mfatihkacir,2024-01-26T08:47:27.000Z,True,"#TürkUzayBilimMisyonu Deney 5: ALGALSPACE

Türk Uzay Bilim Misyonundaki onüç deneyden biri olan ALGALSPACE deneyi ile;

“Antarktika Ulusal Bilim Seferinde toplanan mikroalglerin uzay koşullarında üretimi mümkün mü?”

sorusunun cevabı aranıyor.",7,79,484,38 B,"['#TürkUzayBilimMisyonu', '']",[],"['\\U0001f52c', '\\U0001f9ea', '\\U0001f33f', '\\U0001f9eb', '\\U0001f9d1\\u200d\\U0001f680', '\\U0001f1f9\\U0001f1f7']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750802619302363324,tweet_id:1750802619302363324
Mehmet Fatih KACIR,@mfatihkacir,2024-01-25T17:19:16.000Z,True,"#TürkUzayBilimMisyonu Deney 4: VOKALKORD

Türk Uzay Bilim Misyonundaki onüç deneyden biri olan VOKALKORD deneyi ile;

“Mikro yerçekimi ortamında ortaya çıkan rahatsızlıklar sesteki frekans değişimleri ile tespit edilebilir mi?“

sorusunun cevabı aranıyor.…",7,92,524,22 B,['#TürkUzayBilimMisyonu'],[],"['\\U0001f52c', '\\U0001f39a\\ufe0f', '\\U0001f9d1\\u200d\\U0001f680']",https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750569034821542066,tweet_id:1750569034821542066
Mehmet Fatih KACIR,@mfatihkacir,2024-01-25T16:12:36.000Z,True,Afiyet olsun! ,23,130,2 B,250 B,[],[],['\\U0001f60a'],https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750552258771603710,tweet_id:1750552258771603710
Mehmet Fatih KACIR,@mfatihkacir,2024-01-25T10:38:13.000Z,True,"Sizi ve elbette diğer araştırmacılarımızı da bekliyoruz.

Bilim insanlarımızı ülkemize kazandırmak için hazırız. https://tubitak.gov.tr/tr/duyuru/2232-a-uluslararasi-lider-arastirmacilar-programi-ve-2232-b-uluslararasi-genc-arastirmacilar…",12,63,514,92 B,[],[],['\\U0001f4ab'],https://pbs.twimg.com/profile_images/1749877031469281280/mgfoc4w-_normal.jpg,https://twitter.com/mfatihkacir/status/1750468108244893748,tweet_id:1750468108244893748
