Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Prof. Dr. Ömer Bolat,@omerbolatTR,2024-01-26T20:05:03.000Z,True,"Gümrük personelimizin emekleri ülkemizin güvenli ve yasal ticaretini, ekonomisini ve güvenliğini desteklemekte büyük rol oynamaktadır. Her gün gece gündüz demeden gümrük işlemlerinin ve ticaretin aksamadan devam etmesi, dijitalleşme ve operasyonel verimlilikteki başarılarımız,…",9,20,115,12 B,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1750973142669898174,tweet_id:1750973142669898174
Prof. Dr. Ömer Bolat,@omerbolatTR,2024-01-26T17:22:59.000Z,True," Büyüyen Türkiye ile gümrük idarelerimiz de büyüyor, sınırlarla bölünen dünyayı gümrüklerle birleştiriyoruz.  Ülkemizi ekonomik kalkınma yolunda daha ileriye taşıyacak çalışmalarda emeği geçen çok kıymetli mesai arkadaşlarıma şükranlarımı sunuyorum, çalışmalarında başarılar…",9,39,200,7 B,[],[],"['\\U0001f1f9\\U0001f1f7', '\\U0001f6c3']",https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1750932359447253336,tweet_id:1750932359447253336
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,777 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
Prof. Dr. Ömer Bolat,@omerbolatTR,2024-01-26T20:05:03.000Z,True,"Gümrük personelimizin emekleri ülkemizin güvenli ve yasal ticaretini, ekonomisini ve güvenliğini desteklemekte büyük rol oynamaktadır. Her gün gece gündüz demeden gümrük işlemlerinin ve ticaretin aksamadan devam etmesi, dijitalleşme ve operasyonel verimlilikteki başarılarımız,…",9,20,115,12 B,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1750973142669898174,tweet_id:1750973142669898174
Prof. Dr. Ömer Bolat,@omerbolatTR,2024-01-26T10:46:09.000Z,True,"Dünya Gümrük Örgütü tarafından belirlenen “Geleneksel ve Yeni Ortaklarla İşbirliğinde Gümrükler” 2024 yılı teması kapsamında Dünya Gümrük Günü (26 Ocak) etkinliğinde değerli mesai arkadaşlarımla bir araya geldik.

Ticaret Bakanlığı olarak gümrük idarelerimiz büyük bir özveriyle…",15,41,227,8 B,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1750832490892194043,tweet_id:1750832490892194043
T.C. Ticaret Bakanlığı,@ticaret,2024-01-25T21:01:54.000Z,True,"Yağlık Ayçiçeği Tohumu ve Ham Ayçiçeği Yağı İthalatında Tarife Kontenjanı Uygulanması Hakkında Karar ile Bu Kararın Uygulama Usul ve Esaslarına İlişkin Tebliğ Yayımlandı

(26.01.2024)",10,39,231,41 B,[],[],[],https://pbs.twimg.com/profile_images/1665304758846980098/EfSr7TH-_normal.jpg,https://twitter.com/ticaret/status/1750625062586081720,tweet_id:1750625062586081720
T.C. Ticaret Bakanlığı,@ticaret,2024-01-25T16:04:37.000Z,True,"Ev alırken, satarken ya da kiralarken dikkat! 

Ticaret Bakanlığı olarak, taşınmaz ticaretinde işlemlerinizi güvenli bir şekilde yapabilmeniz için düzenlemelerimizi hayata geçirmeye devam ediyoruz.

Taşınmaz ticaretiyle ilgili güncel ve doğru bilgileri içeren kamu spotumuzu…",19,57,155,26 B,[],[],[],https://pbs.twimg.com/profile_images/1665304758846980098/EfSr7TH-_normal.jpg,https://twitter.com/ticaret/status/1750550248605270288,tweet_id:1750550248605270288
Prof. Dr. Ömer Bolat,@omerbolatTR,2024-01-25T14:55:41.000Z,True,"Malatya ilimiz Battalgazi ilçemizde meydana gelen 5.2 büyüklüğündeki depremden etiketlenen tüm Malatyalılara ve etkilenen bölgelerdeki vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum. 

İlk belirlemelere göre olumsuz bir durum bulunmamaktadır. Vatandaşlarımız müsterih…",7,20,149,8 B,[],[],[],https://pbs.twimg.com/profile_images/1713251634447360000/ZLwIPhJD_normal.jpg,https://twitter.com/omerbolatTR/status/1750532902021136669,tweet_id:1750532902021136669
T.C. Ticaret Bakanlığı,@ticaret,2024-01-25T05:33:02.000Z,True,"Ticaret Bakanlığımız Gümrük Muhafaza ekiplerince, İstanbul Sabiha Gökçen Havalimanı’nda 16 kilogram ağırlığında kokain, Kocaeli’de 537 kilogram sodium flouride kimyasal madde ele geçirildi.",10,49,224,17 B,[],[],[],https://pbs.twimg.com/profile_images/1665304758846980098/EfSr7TH-_normal.jpg,https://twitter.com/ticaret/status/1750391306830962762,tweet_id:1750391306830962762
Recep Tayyip Erdoğan,@RTErdogan,2024-01-24T20:50:22.000Z,True,"İran Cumhurbaşkanı Sayın Reisi ve heyetini Yüksek Düzeyli İşbirliği Konseyimizin 8. toplantısı vesilesiyle Ankara’da misafir etmekten büyük memnuniyet duydum.
 
Asırlardır komşumuz olan İran’la ilişkilerimizi ileriye taşımaya devam edeceğiz. ",2 B,3 B,12 B,463 B,[],[],"['\\U0001f1f9\\U0001f1f7', '\\U0001f1ee\\U0001f1f7']",https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750259770722763236,tweet_id:1750259770722763236
