Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T14:50:12.000Z,True,"Kadına Yönelik Şiddetle Mücadele Veri ve İstatistik İstişare Toplantımızı gerçekleştirdik.

Kadına yönelik şiddet meselesini ülkemizin gündeminden sonsuza kadar çıkarmakta kararlıyız!

Devletimizin tüm kurumları, akademi dünyası, sivil toplum kuruluşları, medya camiası ve diğer…",106,119,436,18 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750893908156932264,tweet_id:1750893908156932264
AA Canlı,@AACanli,2024-01-26T11:42:41.000Z,True,"#Canlı: Aile ve Sosyal Hizmetler Bakanı Mahinur Özdemir Göktaş, Kadına Yönelik Şiddetle Mücadelede Veri ve İstatistik İstişare Toplantısında konuşuyor",5,20,74,15 B,['#Canlı'],[],[],https://pbs.twimg.com/profile_images/1664696090799624194/dKye9wqA_normal.jpg,https://twitter.com/AACanli/status/1750846716625015263,tweet_id:1750846716625015263
T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-01-24T08:13:00.000Z,True,"Bakanımız Sayın Mahinur Özdemir Göktaş: ""İhtiyaç sahibi ailelere yönelik hayata geçirdiğimiz Düzenli Doğal Gaz Tüketim Desteği’nde yeni yılın ilk ödemeleri başladı. Ocak ayı ödeme döneminde, 383 bin haneye toplam 304,5 milyon TL ödeme yapılacak."" Haberin devamı için: ",66,103,325,23 B,[],[],"['\\U0001f517', '\\U0001f447\\U0001f3fb']",https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1750069173667926158,tweet_id:1750069173667926158
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-26T14:50:12.000Z,True,"Kadına Yönelik Şiddetle Mücadele Veri ve İstatistik İstişare Toplantımızı gerçekleştirdik.

Kadına yönelik şiddet meselesini ülkemizin gündeminden sonsuza kadar çıkarmakta kararlıyız!

Devletimizin tüm kurumları, akademi dünyası, sivil toplum kuruluşları, medya camiası ve diğer…",106,119,436,18 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1750893908156932264,tweet_id:1750893908156932264
Anadolu Ajansı,@anadoluajansi,2024-01-23T09:00:22.000Z,True,"❝STEM alanlarında kadınların etkin olması neden önemli' diye sorduk ve gördüğünüz üzere yapay zeka bize son derece derli toplu bir cevap verdi❞

Aile ve Sosyal Hizmetler Bakanı Göktaş, teknolojiyle ilgilenen kadınlara yapay zekayla hazırlanan metinden seslendi…",23,22,115,38 B,[],[],[],https://pbs.twimg.com/profile_images/1664695988626378753/N_5Q_Qrk_normal.jpg,https://twitter.com/anadoluajansi/status/1749718705351643261,tweet_id:1749718705351643261
Mahinur Özdemir Göktaş,@MahinurOzdemir,2024-01-22T16:22:34.000Z,True,"Libya Sosyal İşler Bakanı Sayın Vefa Ebubekir Muhammed El-Keylani ve beraberindeki heyetle Bakanlığımızda bir araya gelerek, ülkelerimiz arasındaki ilişkilerimizi daha da derinleştirecek mutabakat muhtırasına imza attık.

İmzaladığımız mutabakat muhtırasıyla Bakanlıklarımız…",205,155,850,33 B,[],[],[],https://pbs.twimg.com/profile_images/1665968833381662720/6v8QnT9W_normal.jpg,https://twitter.com/MahinurOzdemir/status/1749467602856845651,tweet_id:1749467602856845651
TRT Haber Canlı,@trthabercanli,2024-01-22T08:15:47.000Z,True,"Aile ve Sosyal Hizmetler Bakanı Mahinur Özdemir Göktaş, Teknolojinin Lider Yüzleri programında konuşuyor.",18,36,154,34 B,[],[],[],https://pbs.twimg.com/profile_images/1626059783915683840/ib6wKzjz_normal.jpg,https://twitter.com/trthabercanli/status/1749345096859009505,tweet_id:1749345096859009505
T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-01-20T10:26:42.000Z,True,"Aile odaklı sosyal hizmet modellerimiz ile çocuklarımızın aile şefkati ve sıcaklığı ile sağlıklı bireyler olarak yetişmelerini önceliyoruz.

Bu amaçla sağladığımız Sosyal ve Ekonomik Destek (SED) programımız kapsamında, Ocak ayına ilişkin toplam 863 milyon TL ödeme…",72,116,364,28 B,[],[],[],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1748653269470024028,tweet_id:1748653269470024028
T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-01-19T16:48:00.000Z,True, Muş'un Varto ilçesinde 14 yaşındaki iki kız öğrencinin şüpheli ölümüne ilişkin basın açıklamamız,11,69,189,21 B,[],[],['\\u2757'],https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1748386838597759089,tweet_id:1748386838597759089
T.C. Aile ve Sosyal Hizmetler Bakanlığı,@tcailesosyal,2024-01-19T07:56:37.000Z,True,"Bakanımız Sayın Mahinur Özdemir Göktaş: ""81 il müdürlüğümüz koordinasyonunda oluşturduğumuz Kadın Kooperatifleri Çalışma Grupları aracılığıyla bugüne kadar 1.012 yeni kadın kooperatifinin kurulmasını sağladık."" Haberin devamı için: ",36,85,296,15 B,[],[],"['\\U0001f517', '\\U0001f447\\U0001f3fb']",https://pbs.twimg.com/profile_images/1665728524576063488/bjT_UUGj_normal.jpg,https://twitter.com/tcailesosyal/status/1748253111142035672,tweet_id:1748253111142035672
