Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-26T15:31:15.000Z,True,"Cumhurbaşkanımız , NATO Genel Sekreteri Jens Stoltenberg ile bir telefon görüşmesi gerçekleştirdi.

Görüşmede, küresel ve bölgesel meseleler ve Türkiye'nin İsveç'in NATO üyeliğine verdiği onay ele alındı.",85,243,1 B,98 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750904240220856508,tweet_id:1750904240220856508
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-26T14:48:11.000Z,True,"Emine Erdoğan, ""Siirtli Kadınlarla Buluşma"" programına katıldı https://tccb.gov.tr/haberler/410/150885/emine-erdogan-siirtli-kadinlarla-bulusma-programina-katildi…",85,256,1 B,59 B,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750893400784617523,tweet_id:1750893400784617523
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,775 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-26T13:45:07.000Z,True,"Cumhurbaşkanımız , İngiltere Dışişleri Bakanı David Cameron'u Vahdettin Köşkü'nde kabul etti.",144,434,2 B,127 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750877529743687919,tweet_id:1750877529743687919
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-26T13:04:05.000Z,True,(İsrail’e soykırım davası) “Adalet Divanı ve Uluslararası Ceza Mahkemesi’nden olumlu sonuçlar çıkacağına inanıyorum” https://tccb.gov.tr/haberler/410/150877/-israil-e-soykirim-davasi-adalet-divani-ve-uluslararasi-ceza-mahkemesi-nden-olumlu-sonuclar-cikacagina-inaniyorum-…,70,394,1 B,61 B,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750867202893336696,tweet_id:1750867202893336696
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-26T14:48:11.000Z,True,"Emine Erdoğan, ""Siirtli Kadınlarla Buluşma"" programına katıldı https://tccb.gov.tr/haberler/410/150885/emine-erdogan-siirtli-kadinlarla-bulusma-programina-katildi…",85,256,1 B,59 B,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750893400784617523,tweet_id:1750893400784617523
Recep Tayyip Erdoğan,@RTErdogan,2024-01-26T14:03:11.000Z,True,"Uluslararası Adalet Divanında Gazze'deki insanlık dışı saldırılarla ilgili alınan ihtiyati tedbir kararını değerli buluyor, memnuniyetle karşılıyorum. 
      
Filistinli masum sivillere yönelik işlenen savaş suçlarının cezasız kalmaması için sürecin takipçisi olmayı sürdüreceğiz.…",1 B,5 B,16 B,775 B,[],[],[],https://pbs.twimg.com/profile_images/1653157500986744832/wu0ArmY8_normal.jpg,https://twitter.com/RTErdogan/status/1750882077971456234,tweet_id:1750882077971456234
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-25T18:20:36.000Z,True,"MGK Bildirisi: “Millî güvenliğimize temel teşkil eden hususlardan biri olan savunma sanayiindeki başarılarımızın yanı sıra uzayda attığımız adımlarla taçlandırılan bilim ve teknolojideki atılımlarımızın, yarınların teminatı olan çocuklarımızın hayalleri, gençlerimizin azmi ve…",223,536,2 B,99 B,[],[],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750584470321741961,tweet_id:1750584470321741961
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-25T13:50:28.000Z,True,"Millî Güvenlik Kurulu (MGK), Cumhurbaşkanımız ’ın başkanlığında Cumhurbaşkanlığı Külliyesinde toplandı.",297,532,2 B,109 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750516486718779819,tweet_id:1750516486718779819
T.C. Cumhurbaşkanlığı,@tcbestepe,2024-01-25T12:57:29.000Z,True,"Cumhurbaşkanımız , Güney Afrika Cumhuriyeti Cumhurbaşkanı Cyril Ramaphosa ile bir telefon görüşmesi gerçekleştirdi.

Görüşmede, İsrail’in Filistin’e yönelik saldırıları, Türkiye ile Güney Afrika Cumhuriyeti arasındaki ikili ilişkiler, bölgesel ve küresel meseleler ele…",113,366,1 B,107 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1664912837557342210/SvOvhfKd_normal.jpg,https://twitter.com/tcbestepe/status/1750503155077394715,tweet_id:1750503155077394715
