Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Millî Eğitim Bakanlığı,@tcmeb,2024-01-26T16:24:41.000Z,True,"Millî Eğitim Bakanı , Bağcılar’da Ateştuğla Kütüphanesinin Açılış Töreni’ne Katıldıİstanbulhttp://meb.ai/N10CwB",37,96,331,43 B,[],['@Yusuf__Tekin'],"['\\U0001f4cd', '\\U0001f449']",https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750917686995935557,tweet_id:1750917686995935557
Millî Eğitim Bakanlığı,@tcmeb,2024-01-26T14:18:52.000Z,True,"Millî Eğitim Bakanı , Zeytinburnu Telsiz Bilgievi'nin Açılışına Katıldıİstanbul http://meb.ai/ZS9ni8",91,85,261,40 B,[],['@Yusuf__Tekin'],"['\\U0001f4cd', '\\U0001f449']",https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750886023754584194,tweet_id:1750886023754584194
Millî Eğitim Bakanlığı,@tcmeb,2024-01-26T10:59:00.000Z,True,"Öğretmenlerle Buluşmanın Bu Seferki Adresi, “Valide Sultan” ile Boğaz Oldu

Millî Eğitim Bakanı : Türkiye Yüzyılı kavramının yükseleceği yer, kuşkusuz eğitimdir. Öğretmenlerimizle hep beraber “Türkiye Yüzyılı”nı inşa edeceğiz. Öz güvenli, bilimsel donanımlı, millî ve…",96,135,443,51 B,[],['@Yusuf__Tekin'],[],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750835724411142474,tweet_id:1750835724411142474
Millî Eğitim Bakanlığı,@tcmeb,2024-01-26T07:05:13.000Z,True, İlköğretim ve Ortaöğretim Kurumları Bursluluk Sınavı Başvuru ve Uygulama Kılavuzu Yayımlandı Başvurular: 13 Şubat - 1 Mart 2024  Sınav: 21 Nisan 2024 Sonuçlar: 17 Mayıs 2024http://meb.ai/UmcWvKP,27,477,952,192 B,[],[],"['\\U0001f4e2', '\\U0001f5d3\\ufe0f', '\\U0001f5d3\\ufe0f', '\\U0001f5d3\\ufe0f', '\\U0001f449']",https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750776893438103785,tweet_id:1750776893438103785
Millî Eğitim Bakanlığı,@tcmeb,2024-01-25T12:54:00.000Z,True,"MEB, e-Devlet Üzerindeki Dijital Hizmetleriyle Türkiye'nin Başarısına Katkı Sundu

Türkiye, Avrupa Komisyonunun “e-Devlet Karşılaştırma 2023 Analiz Raporu”nda bir önceki yıla göre 10 puanlık artış göstererek dikkat çekici bir yükseliş kaydetti.http://meb.ai/U4gqOKS",31,254,599,53 B,[],[],['\\U0001f449'],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750502277389922372,tweet_id:1750502277389922372
Millî Eğitim Bakanlığı,@tcmeb,2024-01-26T16:24:41.000Z,True,"Millî Eğitim Bakanı , Bağcılar’da Ateştuğla Kütüphanesinin Açılış Töreni’ne Katıldıİstanbulhttp://meb.ai/N10CwB",37,96,331,43 B,[],['@Yusuf__Tekin'],"['\\U0001f4cd', '\\U0001f449']",https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750917686995935557,tweet_id:1750917686995935557
Millî Eğitim Bakanlığı,@tcmeb,2024-01-26T14:18:52.000Z,True,"Millî Eğitim Bakanı , Zeytinburnu Telsiz Bilgievi'nin Açılışına Katıldıİstanbul http://meb.ai/ZS9ni8",91,85,261,40 B,[],['@Yusuf__Tekin'],"['\\U0001f4cd', '\\U0001f449']",https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750886023754584194,tweet_id:1750886023754584194
Millî Eğitim Bakanlığı,@tcmeb,2024-01-25T08:12:52.000Z,True,"Aklımızı, Gözümüzü ve Yüreğimizi Aynı Hizada Buluşturup Zamanı Fotoğraflarla Ölümsüzleştiriyoruz İnsanın ve tabiatın kökenleri  üzerine derinlemesine düşünmeyi sağlayarak ""tabiatla aramızdaki bağa ilişkin farkındalık oluşturmak"" hedefiyle ""insan ve tabiat"" temalı mesleki ve…",253,235,533,65 B,[],[],['\\U0001f4f7'],https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750431527916216694,tweet_id:1750431527916216694
Millî Eğitim Bakanlığı,@tcmeb,2024-01-24T14:19:38.000Z,True,"“Futbol Gelişim Projesi”yle Dört Ayda Yaklaşık 500 Bin Öğrenciye Ulaşıldı  Millî Eğitim Bakanlığı, Gençlik ve Spor Bakanlığı ile Türkiye Futbol Federasyonu iş birliğiyle devam eden proje kapsamında 2023-2024 eğitim öğretim dönemi içinde projeye 316 ilkokul ve 324 ortaokul…",53,164,509,74 B,[],[],"['\\u26bd', '\\U0001f4cc']",https://pbs.twimg.com/profile_images/1665647181628358656/JbMCU7xZ_normal.jpg,https://twitter.com/tcmeb/status/1750161439153631558,tweet_id:1750161439153631558
Yusuf Tekin,@Yusuf__Tekin,2024-01-24T12:48:23.000Z,True,"24 Ocak Uluslararası Eğitim Günü'nde, dünyanın dört bir yanındaki tüm çocukların eğitim hakkına sahip olmasını temenni ediyorum. Özellikle dünya liderlerinin ve uluslararası kuruluşların sessiz kaldığı Filistin'deki masum çocuklar için bu özel günün anlamını daha iyi idrak etmeye…",6 B,328,1 B,232 B,[],[],[],https://pbs.twimg.com/profile_images/1729777312701222912/SscTff_r_normal.jpg,https://twitter.com/Yusuf__Tekin/status/1750138477042139344,tweet_id:1750138477042139344
