Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
TSK,@TSKGnkur,2024-01-26T15:44:48.000Z,True,"Genelkurmay Başkanı Orgeneral Metin GÜRAK, beraberinde Hava Kuvvetleri Komutanı Orgeneral Ziya Cemal KADIOĞLU ve Milli Savunma Bakan Yardımcısı Bilal DURDALI ile 26 Ocak 2024 tarihinde icra edilen Hava Kuvvetleri Komutanlığı ve THK Uçuş Akademisi arasında yapılan ""Başlangıç ve…",27,65,599,62 B,[],[],[],https://pbs.twimg.com/profile_images/1665709245105405954/hrE9-cZd_normal.jpg,https://twitter.com/TSKGnkur/status/1750907648772309099,tweet_id:1750907648772309099
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T15:22:49.000Z,True,"Terör yuvalarına kilit vurmaya devam ediyoruz!

Irak’ın kuzeyindeki Gara'da tespit edilen 3 PKK'lı terörist, Türk Silahlı Kuvvetlerimiz tarafından etkisiz hâle getirildi.   

Terörle ve teröristle mücadelemiz artan bir şiddet ve tempoda kararlılıkla devam edecek!…",25,466,3 B,76 B,[],[],[],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750902118087549087,tweet_id:1750902118087549087
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T14:54:06.000Z,True,"MSÜ Kara ve Deniz Harp Enstitüleri tarafından “2023-2024 Eğitim ve Öğretim Yılı 6'ncı Dönem Komuta ve Kurmay Eğitimi” kapsamında, Kuzey Kıbrıs Türk Cumhuriyeti’ne yurt dışı müşahede gezisi icra edildi.#MillîSavunmaBakanlığı",13,64,780,51 B,['#MillîSavunmaBakanlığı'],[],[],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750894889481507161,tweet_id:1750894889481507161
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T12:35:14.000Z,True,"Millî Savunma Bakanı Yaşar Güler, beraberinde Kara Kuvvetleri Komutanı Orgeneral Selçuk Bayraktaroğlu ile Hatay’daki birlik ziyaretlerine devam ediyor. 2’nci Hudut Alay Komutanlığının ardından 8’inci Komando Tugay Komutanlığına geçen Bakan Yaşar Güler, inceleme ve denetlemelerde…",10,140,1 B,54 B,[],[],[],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750859943350005988,tweet_id:1750859943350005988
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T12:22:04.000Z,True,"Teröristler için hiçbir yer güvenli değil!

Kahraman Türk Silahlı Kuvvetlerimiz, Suriye'nin kuzeyindeki Zeytin Dalı ve Barış Pınarı bölgelerinde tespit ettiği 5 PKK/YPG'li teröristi etkisiz hâle getirdi.#MillîSavunmaBakanlığı",33,469,3 B,70 B,['#MillîSavunmaBakanlığı'],[],[],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750856628209959025,tweet_id:1750856628209959025
TSK,@TSKGnkur,2024-01-26T15:44:48.000Z,True,"Genelkurmay Başkanı Orgeneral Metin GÜRAK, beraberinde Hava Kuvvetleri Komutanı Orgeneral Ziya Cemal KADIOĞLU ve Milli Savunma Bakan Yardımcısı Bilal DURDALI ile 26 Ocak 2024 tarihinde icra edilen Hava Kuvvetleri Komutanlığı ve THK Uçuş Akademisi arasında yapılan ""Başlangıç ve…",27,65,599,62 B,[],[],[],https://pbs.twimg.com/profile_images/1665709245105405954/hrE9-cZd_normal.jpg,https://twitter.com/TSKGnkur/status/1750907648772309099,tweet_id:1750907648772309099
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T15:22:49.000Z,True,"Terör yuvalarına kilit vurmaya devam ediyoruz!

Irak’ın kuzeyindeki Gara'da tespit edilen 3 PKK'lı terörist, Türk Silahlı Kuvvetlerimiz tarafından etkisiz hâle getirildi.   

Terörle ve teröristle mücadelemiz artan bir şiddet ve tempoda kararlılıkla devam edecek!…",25,466,3 B,76 B,[],[],[],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750902118087549087,tweet_id:1750902118087549087
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T11:38:56.000Z,True,"Elimiz tetikte, gözümüz hedefte.#MillîSavunmaBakanlığı#GününFotoğrafı",41,402,3 B,78 B,"['#MillîSavunmaBakanlığı', '#GününFotoğrafı']",[],['\\U0001f3af'],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750845775569924307,tweet_id:1750845775569924307
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T10:22:19.000Z,True,"Millî Savunma Bakanı Yaşar Güler, beraberinde Kara Kuvvetleri Komutanı Orgeneral Selçuk Bayraktaroğlu ile gittiği Hatay’da Valilik ziyaretinin ardından 2’nci Hudut Alay Komutanlığına geçerek inceleme ve denetlemelerde bulundu.#MillîSavunmaBakanlığı #YaşarGüler",22,153,1 B,61 B,"['#MillîSavunmaBakanlığı', '#YaşarGüler']",[],[],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750826491972092232,tweet_id:1750826491972092232
T.C. Millî Savunma Bakanlığı,@tcsavunma,2024-01-26T09:52:17.000Z,True,"Millî Savunma Bakanı Yaşar Güler beraberinde Kara Kuvvetleri Komutanı Orgeneral Selçuk Bayraktaroğlu ile Hatay’a gitti.

Hatay Valisi Mustafa Masatlı ve 2’nci Ordu Komutanı Korgeneral Metin Tokel tarafından karşılanan Bakan Yaşar Güler, Valiliği ziyaret ederek kentteki…",7,130,1 B,64 B,[],[],[],https://pbs.twimg.com/profile_images/1665694453355487233/PjyLwg7d_normal.jpg,https://twitter.com/tcsavunma/status/1750818933597200547,tweet_id:1750818933597200547
