Name,Handle,Timestamp,Verified,Content,Comments,Retweets,Likes,Analytics,Tags,Mentions,Emojis,Profile Image,Tweet Link,Tweet ID
Yılmaz TUNÇ,@yilmaztunc,2024-01-26T13:01:43.000Z,True,"İsrail’in BM Soykırım Suçunun Önlenmesi ve Cezalandırılması Sözleşmesi'ni ihlal ettiği gerekçesiyle açılan davada, Uluslararası Adalet Divanının ihtiyati tedbir kararı vermesi, Filistin’de akan kanın durdurulması ve insanlık suçunun sona erdirilmesi açısından olumludur.

İsrail,…",422,165,579,66 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750866609592217700,tweet_id:1750866609592217700
Yılmaz TUNÇ,@yilmaztunc,2024-01-26T06:23:11.000Z,True,"Kastamonu-Taşköprü karayolunda, İstanbul-Sinop seferini yapan yolcu otobüsünün devrilmesi sonucu hayatını kaybeden 6 vatandaşımıza Allah’tan rahmet, yaralı vatandaşlarımıza da acil şifalar diliyorum.

Kazayla ilgili Taşköprü Cumhuriyet Başsavcılığı tarafından adli soruşturma…",139,51,307,28 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750766314895954111,tweet_id:1750766314895954111
Yılmaz TUNÇ,@yilmaztunc,2024-01-25T18:06:33.000Z,True,"Çok sayıda maddesi değişen, vesayetçi ruhun izlerini taşıyan, yürürlükteki 1982 Anayasası'nın yerine, sivil ve demokratik yeni bir anayasanın hazırlanması son derece önemlidir.

TBMM 28. Dönemi'nde yeni anayasa için kararlılıkla hareket edileceğine ve tarihe geçecek bir adım…",1 B,133,617,37 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750580932048781545,tweet_id:1750580932048781545
Yılmaz TUNÇ,@yilmaztunc,2024-01-25T17:28:09.000Z,True,"Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan'ın başkanlığında Milli Güvenlik Kurulu Toplantımızı gerçekleştirdik. 

Toplantıda aldığımız kararların, ülkemiz ve milletimiz için hayırlara vesile olmasını diliyorum.",414,95,598,31 B,[],['@RTErdogan'],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750571270637297836,tweet_id:1750571270637297836
Yılmaz TUNÇ,@yilmaztunc,2024-01-25T14:06:41.000Z,True,"#Malatya'nın Battalgazi ilçesinde meydana gelen 5.2 büyüklüğündeki depremden etkilenen tüm vatandaşlarımıza geçmiş olsun dileklerimi iletiyorum. 

Rabbim, ülkemizi ve milletimizi tüm afetlerden korusun.",242,67,389,33 B,['#Malatya'],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750520570415071357,tweet_id:1750520570415071357
Yılmaz TUNÇ,@yilmaztunc,2024-01-25T10:17:29.000Z,True,"‘Yeni Anayasa Genel Değerlendirme Çalıştayı’nda; TBMM Adalet Komisyonu Başkanımız, Cumhurbaşkanlığı Hukuk Politikaları Kurulu Başkanvekilimiz, Barolar Birliği Başkanımız, politikalar kurulu üyelerimiz ve akademisyenlerimizle bir araya geldik.

Milletimize borcumuz olan yeni bir…",732,144,688,41 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750462887888339289,tweet_id:1750462887888339289
T.C. Adalet Bakanlığı,@adalet_bakanlik,2024-01-25T08:03:54.000Z,True,"#Canlı Yayın Adalet Bakanımız Sayın Yılmaz Tunç, Yeni Anayasa Genel Değerlendirme Çalıştayı'nda konuşuyor.",339,82,437,47 B,['#Canlı'],[],['\\U0001f4e1'],https://pbs.twimg.com/profile_images/1665292242397937664/5gWLDGZv_normal.jpg,https://twitter.com/adalet_bakanlik/status/1750429272294961251,tweet_id:1750429272294961251
Yılmaz TUNÇ,@yilmaztunc,2024-01-24T22:08:24.000Z,True,"İstanbul Üniversitesi Hukuk Fakültesinde birlikte eğitim aldığımız dönem arkadaşlarımızla bir araya geldik.

Avukat, hakim ve savcı olarak her biri yargının değişik kademelerinde, adaletin tecellisi için görev yapan değerli arkadaşlarımla bir yandan eski günleri yad ettik, diğer…",308,106,765,49 B,[],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750279411125862579,tweet_id:1750279411125862579
Yılmaz TUNÇ,@yilmaztunc,2024-01-24T13:04:41.000Z,True," İstanbul Beykent Üniversitesi Start-Up Hukuk Kulübü, Beykent Hukuk Kulübü ve Uluslararası Hukuk Kulübü öğrencilerimizi Bakanlığımızda ağırlamaktan mutluluk duydum.

Pırıl pırıl gençlerimiz, adalete en iyi şekilde hizmet edecek neferlerimiz. Yarınlarımızın güveni ve yükselişi…",585,77,540,44 B,[],[],['\\U0001f4da'],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750142579511902259,tweet_id:1750142579511902259
Yılmaz TUNÇ,@yilmaztunc,2024-01-24T11:04:15.000Z,True,"Cumhurbaşkanımız Sayın Recep Tayyip Erdoğan’ın açıkladığı AK Parti Ankara ilçe belediye başkan adaylarımız hayırlı olsun.

Başkentimiz Ankara’yı ve ilçelerimizi #TürkiyeYüzyılı belediyeciliği ile yöneterek şehrimize her alanda değer katacak Büyükşehir Belediye Başkanı Adayımız…",330,75,451,24 B,['#TürkiyeYüzyılı'],[],[],https://pbs.twimg.com/profile_images/1668011494351486976/oQFJeKae_normal.jpg,https://twitter.com/yilmaztunc/status/1750112269751443544,tweet_id:1750112269751443544
